;Unnamed: 0;name;area;min_salary;max_salary;employer;created_at;days_passed;experience;employment;schedule;description;responsibility;requirement;conditions;key_skills
853;853;Разработчик 1С;Москва;140000.0;150000.0;Бонолит - Строительные решения;2019-12-03;1;От 3 до 6 лет;Полная занятость;Полный день;"Обязанности: Ведение разработки на платформе 1С 8.3 (1C ERP, УТ): разработка и внедрение новых механизмов; Поддержка обмена между узлами РИБ и центральным узлом 1С ERP; Разработка механизмов обмена между сайтом и УТ (участие в новом проекте); Обновление доработанных конфигураций на новые релизы 1С; Ведение технической документации. Требования: Отличное знание механизмов платформы, в том числе РИБ, web-сервисы, XDTO, СКД; Опыт разработки механизмов обмена в форматах xml, json; Опыт работы с 1С Конвертация данных; Знание механизмов администрирования 1С и MS SQL; Приветствуется знание подсистем БНУ и ЗУП в 1С ERP. Условия: Все социальные гарантии, предусмотренные ТК, &quot;белая&quot; заработная плата. Уровень заработной платы обсуждается с успешным кандидатом. Работа в крупной группе компаний, перспективы развития. Место работы: Московская область, Ногинский район, г. Старая Купавна (35 км. от МКАД).";Ведение разработки на платформе 1С 8.3 (1C ERP, УТ): разработка и внедрение новых механизмов. Поддержка обмена между...;Отличное знание механизмов платформы, в том числе РИБ, web-сервисы, XDTO, СКД. Опыт разработки механизмов обмена в форматах xml, json. ;;"1С: Управление Торговлей;1С программирование;XML;1С: Торговля;MS SQL"
474;474;Разработчик 1С;Москва;;;Просвещение, Издательство;2019-12-03;1;От 3 до 6 лет;Полная занятость;Полный день;"Перед кандидатом мы ставим следующие задачи:  программное сопровождение учетной информационной системы Издательства на базе 1С 8.2 УПП; модификация и обновление существующих документов, отчетов, обработок, модулей и подсистем бухгалтерского, оперативного и управленческого учета; написание технической и сопроводительной документации к разрабатываемым модулям и подсистемам.  Для нас важно на данной позиции:  высшее образование; опыт программирования на платформе 1С8 от 2-х лет; опыт сопровождения и доработки типовых конфигураций под функционал заказчика, разработка и внедрение нетиповых конфигураций 1С УПП; владение технологией обмена данных (конвертация, планы обмена); знания в области МСФО, бухучете, расчете заработной платы, производстве приветствуются.  Мы предлагаем Вам:  оформление по ТК РФ, белая заработная плата (обсуждается по результатам встречи) + премия; работа в крупнейшей и динамично развивающемся Компании, лидере рынка; удобное расположение офиса: м. Новослободская/Достоевская (5 минут от метро); график работы - 5/2 с 9:00 до 18:00, пятница - сокращённый рабочий день; социальный пакет: ДМС, корпоративные скидки; решение амбициозных и интересных задач; обучение и развитие в Компании; насыщенную социальную жизнь (корпоративные мероприятия, праздники), участие в благотворительной деятельности. ";Программное сопровождение учетной информационной системы Издательства на базе 1С 8.2 УПП. Модификация и обновление существующих документов, отчетов, обработок...;Высшее образование. Опыт программирования на платформе 1С8 от 2-х лет. Опыт сопровождения и доработки типовых конфигураций под...;;
629;629;Разработчик 1С;Москва;;;ИТЕКО;2019-12-03;1;От 1 года до 3 лет;Полная занятость;Полный день;"Обязанности: · Разработка/доработка корпоративной информационной системы на платформе 1С 8 (нетиповая конфигурация). · Доработка и обновление конфигураций 1С для логистических процессов · Создание и доработка отчетов и обработок по техническим заданиям и заявкам пользователей Требования: · Опыт работы в качестве разработчика 1С в логистических процессах от 1 года. · Опыт создания отчетов и обработок, работа с расширениями конфигурации, обновление нетиповых конфигураций. · Опыт разработки информационных систем с нуля. · Знания и опыт работы с разнообразными механизмами интеграции · Знакомство с конфигурацией CARGO является плюсом · Опыт автоматизации процессов транспортной логистики Условия: · Работа в лидирующей Транспортно-экспедиционной компании, возможность развиваться и получать опыт; · Оформление в соответствии с ТК РФ; · Белая заработная плата; · Мотивация обсуждается на собеседовании с финалистом; · Корпоративная сотовая связь.";Разработка/доработка корпоративной информационной системы на платформе 1С 8 (нетиповая конфигурация). Доработка и обновление конфигураций 1С для логистических...;Опыт работы в качестве разработчика 1С в логистических процессах от 1 года. Опыт разработки информационных систем с нуля. ;;"1С: Предприятие 8;1С программирование;Транспортная логистика;1С: Торговля"
717;717;Разработчик 1С;Москва;;;ДОМ.РФ;2019-11-25;9;От 1 года до 3 лет;Полная занятость;Полный день;Задачи:  Развитие и сопровождение ПП 1С: Предприятие 8.х Бизнес-анализ потребностей, формализованная постановка задач Развитие и поддержка нетиповых конфигураций 1С Консультационная поддержка пользователей по текущим вопросам (1С Бухгалтерия 3.0, Аванкор ПИФ) Обновления нетиповых конфигураций ПП 1С Взаимодействие с представителями вендора, контроль выполнения задач Разработка интеграционных решений со смежными системами Написание инструкций, регламентов для пользователей 1С: Предприятие.  Требования:  Опыт разработки информационных систем на базе 1С: Предприятие 8.3 Знание, опыт внедрения и сопровождения типовых решений 1С Опыт разработки интеграционных решений систем 1С с внешними ИС Опыт работы в территориально распределенных ИС Инициативность, организованность, стрессоустойчивость Будет преимуществом наличие сертификатов 1С: Специалист по платформе 8.3, 1С: Специалист (типовые решения), 1С: Специалист-консультант (типовые решения), знание ПП 1С Аванкор ПИФ.  Мы предлагаем:  Офис в самом центре Москвы (ст.м. Арбатская) Оформление в соответствии с ТК РФ Конкурентный уровень заработной платы + премии Расширенную ДМС Оплату занятий спортом (фитнес, хоккей, футбол) Компенсация обучения Оплата по больничному до 100% оклада ;Развитие и сопровождение ПП 1С: Предприятие 8.х. Бизнес-анализ потребностей, формализованная постановка задач. Развитие и поддержка нетиповых конфигураций...;Опыт разработки информационных систем на базе 1С: Предприятие 8.3. Знание, опыт внедрения и сопровождения типовых решений 1С. ;;
1510;1510;Разработчик 1С;Москва;;;Газпром бурение;2019-11-25;9;От 3 до 6 лет;Полная занятость;Полный день;"Обязанности:  разработка и внедрение программных модулей и информационных систем (&quot;1С: Управление производственным предприятием&quot; или &quot;1С: Управление холдингом&quot;) подготовка технической документации по выполненным работам консультации пользователей  Требования:  высшее техническое образование опыт работы в данной должности не менее 3х лет умение вести разработку ПО на платформе 1С: Предприятие 8.3  Условия:  График работы: понедельник - пятница - рабочие дни, суббота, воскресение - выходные дни. Возможны командировки Оформление и предоставление отпусков согласно ТК РФ. ";"Разработка и внедрение программных модулей и информационных систем (&quot;1С: Управление производственным предприятием&quot; или &quot;1С: Управление холдингом&quot;). ";Высшее техническое образование. Опыт работы в данной должности не менее 3х лет. Умение вести разработку ПО на платформе 1...;;
1704;1704;Разработчик 1С;Нижний Новгород;;;Опытное Конструкторское Бюро Машиностроения им. И.И. Африкантова;2019-11-11;23;Нет опыта;Полная занятость;Полный день;"Обязанности:   программирование на базе 1С;   разработка руководств пользователей;   обучение и техническая поддержка пользователей;   разработка технических решений по автоматизации процессов управления предприятием;   выполнение заявок на предоставление прав доступа и настройка прав доступа к системе 1С.   Требования:   высшее техническое или экономическое;   опыт программирования 1С приветствуется (если нет - мы готовы обучать);   знания и навыки программирования;   свободное владение офисным ПО (Word, Excel, PowerPoint);   приветствуются знания в части разработки веб-иетерфейсов, мобильных приложений (HTML, JavaScript, CSS, PHP, AJAX).   Личностные качества:  математический склад ума; желание и готовность обучаться; умение работать в команде; стрессоустойчивость. ";Программирование на базе 1С. Разработка руководств пользователей. Обучение и техническая поддержка пользователей. Разработка технических решений по автоматизации процессов управления...;Высшее техническое или экономическое. Опыт программирования 1С приветствуется (если нет - мы готовы обучать). Знания и навыки программирования. ;;"1С программирование;Мало опыта;CSS;HTML;Ajax;JavaScript"
