;Unnamed: 0;name;area;min_salary;max_salary;employer;created_at;days_passed;experience;employment;schedule;description;responsibility;requirement;conditions;key_skills
1595;1595;Full-stack разработчик;Екатеринбург;75000.0;120000.0;Тензор;2019-12-02;2;От 1 года до 3 лет;Полная занятость;Гибкий график;"Систему СБИС придумали, создали и постоянно совершенствуют почти 1500 разработчиков в 11 филиалах по стране. У нас есть фанаты дата-майнинга, эксперты в разработке кроссплатформенных приложений и высоконагруженных систем, разработчики мобильных, настольных и веб-приложений, специалисты по обработке, анализу и хранению больших массивов данных. Мы ищем людей, способных реализовывать крупные проекты от идеи до “продакшена”. Присоединившись к нашей команде, у вас будет возможность усовершенствовать систему СБИС. Результатом вашей работы будут пользоваться более миллиона людей – на компьютерах, планшетах и смартфонах. Предстоит заниматься разработкой функционала сервиса трансляции вебинаров. Поэтому мы ищем специалиста, обладающего опытом со следующими технологиями:  обязательны знания принципов ООП; опыт работы с реляционными БД, естественно знание SQL; знания HTML, CSS, javaScript, node.js; опыт работы с каким-нибудь клиентским MVC-фреймворком (Angular, Backbone, etc.) Плюсом будет знание и опыт работы с: GIT, Docker, Nginx, браузерные API.  Ждем от Вас:  умение много общаться с коллегами, правильно интегрировать свои решения. развитое абстрактное мышление, желание писать правильный и красивый код и требовать того же от коллег. готовность к работе в динамично развивающейся компании, понимать что это относится к каждому, в том числе и к вашим проектам.  Мы предлагаем:  официальное трудоустройство по ТК РФ; оклад &quot;чистыми&quot; в зависимости от квалификации и уровня ответственности премии по результатам работы от 5 до 20%; возможности для карьерного и профессионального роста; интересные проекты; активную корпоративную жизнь и компенсацию занятий спортом. ";;Обязательны знания принципов ООП. Опыт работы с реляционными БД, естественно знание SQL. Знания HTML, CSS, javaScript, node.js. Опыт работы с...;;"JavaScript;CSS;HTML;PostgreSQL;Node.js"
244;244;Full-stack разработчик;Москва;;;Новые Облачные Технологии;2019-11-28;6;От 1 года до 3 лет;Полная занятость;Полный день;Наша компания разрабатывает платформу МойОфис - продукт для организации корпоративной рабочей среды и совместной работы с документами в государственных организациях и крупных коммерческих компаниях, включающий в себя полный набор современных офисных приложений для всех популярных операционных систем, веб-браузеров и мобильных платформ.Значительное внимание в компании уделяется всем аспектам качества: от дизайна и удобства использования до чистоты кода и уровня покрытия тестами. На данный момент мы ищем full-stack разработчика.   Ваши будущие задачи:  разработка/поддержка серверной части почтового решения разработка/поддержка серверной части контактов разработка/поддержка серверной части календарей разработка/поддержка фронтенд продукта в целом решение инфраструктурных задач связанных с продуктом    Для нас важно:  отличное знание PHP7 знание SQL, опыт работы с PostgreSQL и MySQL, понимание разницы, преимуществ и недостатков каждой СУБД знание ОС Linux - выше среднего уверенное владение и опыт разработки на JavaScript (функциональный и объектно-ориентированный) умение верстать на стандартном HTML/CSS, знание Sass/Less фреймворков английский язык на уровне чтения технической документации, уверенное использование RFC и англоязычных источников опыт работы с Git, Jira и т.д.    Мы предлагаем:  интересные задачи корпоративные мероприятия, тимбилдинги работа в коллективе профессионалов, возможность перенять уникальный опыт оформление по ТК РФ, полностью официальная заработная плата по результатам собеседования комфортный офис в центре Москвы, метро Тверская/Пушкинская/Чеховская возможность изучения английского языка в офисе график работы: 5/2 с 10:00 до 19:00/11:00 - 20:00 оплачиваемые обеды ;Разработка/поддержка серверной части почтового решения. Разработка/поддержка серверной части контактов. Разработка/поддержка серверной части календарей. Разработка/поддержка фронтенд продукта...;Отличное знание PHP7. Знание SQL, опыт работы с PostgreSQL и MySQL, понимание разницы, преимуществ и недостатков каждой СУБД. ;;
627;627;Full-stack разработчик;Москва;;;Publicis Groupe;2019-12-02;2;От 1 года до 3 лет;Полная занятость;Полный день;"Ищем в команду Full-stack разработчика с упором во frontend (30/70). Наша небольшая, но нужная команда занимается разработкой внутренних и внешних инструментов для автоматизации различных задач, а также совершенно новых продуктов компании. Все стадии: от задумки (да, мы придумываем продукты, потому проактивность, желание разобраться в чужих проблемах, понять их, помогать и предлагать решения - необходимые навыки), формализации и до реализации. Чем предстоит заниматься:   Разрабатывать интерактивные интерфейсы и standalone/PWA веб-приложения;   Разрабатывать серверную часть (backend) (node, mongodb);   Сопровождать код юнит и интеграционными тестами исполняемыми в рамках пайплайнов CI;   Получать фидбек (и спасибо) от пользователей и чувствовать, что ваша работа нужна и ценится.   Мы ожидаем и ищем человека со следующими компетенциями:   Отличные знания Javascript (es6, async) и React (hooks, router, native context / redux)   PostgreSQL / Mongodb   Webpack, Gulp, Grunt, SASS / LESS   Работа с системами контроля версий GIT (мы используем Gitlab)   Опыт работы с UI kits: bootstrap / material ui и др   HTML5 / CSS3 / Canvas   Node.js / (Express | Meteor | Hapi etc)   Использование инструментов разработки и отладки в браузере   Применение IDE, полезных приёмов и средств автопроверки кода   Если у вас есть опыт работы со следующим инструментарием, то это будет большим плюсом:   Vue.js, Angular   Библиотеки lodash, underscore, moment и т.п.   Jest   Websockets   Docker, docker-compose   Представление о настройке пайплайнов для тестирования и деплоя приложений (Gitlab CI)   Python / Django (REST)   AWS (Lambda, SQS)   Условия:  Работа в лидирующем западном рекламном холдинге; Современный офис, расположенный в историческом памятнике Москвы на Белорусской Молодой, профессиональный коллектив; Возможность карьерного и профессионального роста; Доступ к передовым технологическим разработкам Publics Media и возможность применения их на практике; Социальный пакет (медицинское страхование, занятия йогой в офисе, возможность изучения иностранных языков в офисе компании); Оформление по ТК Уровень заработной платы обсуждается с успешным кандидатом ";Разрабатывать интерактивные интерфейсы и standalone/PWA веб-приложения. Разрабатывать серверную часть (backend) (node, mongodb). Сопровождать код юнит и интеграционными тестами...;Отличные знания Javascript (es6, async) и React (hooks, router, native context / redux). PostgreSQL / Mongodb. Webpack, Gulp, Grunt, SASS / LESS. ;;"Python;JavaScript;Bootstrap;СУБД;Автоматизация;PostgreSQL;MongoDB;HTML5;CSS3;Node.js"
