;Unnamed: 0;name;area;min_salary;max_salary;employer;created_at;days_passed;experience;employment;schedule;description;responsibility;requirement;conditions;key_skills
191;191;Frontend Developer (React);Москва;;;Aero;2019-12-02;2;Нет опыта;Полная занятость;Полный день;Aero – eCommerce агентство №1 в России. Вот уже 13 лет мы помогаем выстраивать эффективную электронную коммерцию международным ритейлерам и производителям. Каждый пятый рубль в российском eСommerce тратится в интернет-магазинах, реализованных при нашем непосредственном участии. В команду крупнейшего банка России нужен Frontend разработчик с любовью к чистовой вёрстке под разные платформы и браузеры.Предстоит много интересной работы над b2b порталом для крупного бизнеса по созданию новых React-компонентов страниц, доработке и оптимизации существующих решений. Наш стек:  React+Redux. Webpack для сборки. Кое-где используется jQuery. На серверах Java.  Требования  Умение и желание верстать. Отличное знание HTML/CSS. Кросс-браузерная, мобильная вёрстка. Работаем с IE11+. Хорошее знание JavaScript (ES5, ES6). Умение работать с DOM без jQuery. Опыт работы с npm, Webpack, gulp. Опыт работы с Git7 Понимание принципов работы http, REST. Умение отлаживать код в разных браузерах. Умение и желание верстать.  Приветствуются  Опыт работы с React. Опыт работы с препроцессорами/постпроцессорами CSS. Понимание методологии БЭМ. Знание нюансов скорости работы интерфейсов в разных браузеров и путей её оптимизации. Понимание хороших и плохих UI-решений и практик. Опыт разработки на любом серверном языке.  Тебя ожидает:  Красивый офис с дружественной атмосферой. График 5/2, с гибким началом дня и возможностью иногда работать из дома. Отсутствие бюрократии. ДМС со стоматологией или 50% компенсации за занятия английским. Уютные пятничные вечеринки с просмотром фильмов на проекторе, игрой в аерохоккей и в дартс.   ;Aero – eCommerce агентство №1 в России. Предстоит много интересной работы над b2b порталом для крупного бизнеса по созданию...;Умение и желание верстать. Отличное знание HTML/CSS. Кросс-браузерная, мобильная вёрстка. Работаем с IE11+. Хорошее знание JavaScript...;;"JavaScript;jQuery;CSS;Git;HTML5;React;БЭМ;Redux"
1054;1054;Frontend Developer (React);Москва;;;ДОМ.РФ;2019-11-22;12;От 1 года до 3 лет;Полная занятость;Гибкий график;"Мы ищем в команду крутых фронтенд-разработчиков уровня Middle и/или Senior. Что можем сказать о нас: Мы – банк ДОМ.РФ. Разрабатываем сложные, высоконагруженные сервисы, которыми пользуются сотни тысяч человек. Основной функционал системы – кредитный конвейер, продуктовая линейка.   Каким мы видим идеального коллегу:   Огонь в глазах при виде кода на JS.   Отлично знает библиотеку Vanila.js   Изучил React + Redux вдоль и поперек   Командный игрок со своим мнением и инициативой   Любит Unix-системы   Стремится развиваться     Требования:   Высшее техническое образование;   Стаж работы в front-end разработчика от 2 лет;   Отличное знание JavaScript (ES5/6);   Опыт работы с технологиями:   Node.js (nvm), Npm, Yarn,   JavaScript ES5/6, TS,   React, Redux, Redux Form или Vue, Vuex,   HTML5 + CSS3 (LESS, PostCSS),   Webpack,   ESlint, Stylelint, TSlint,   GIT,   JIRA,   Karma/mocha/chai, Cypress,   Docker, Kubernetes,   Паттерны проектирования.       Обязанности:   Разработка компонентов с бизнес-логикой сервиса.   Жить в парадигме SCRUM   Участие в декомпозиции, описании задач и code-review   Покрытие кода автотестами.   Условия работы:   Офис находится в центре Москвы;   Молодая и амбициозная команда;   Профильные курсы;   Оформление в соответствии с ТК РФ;   Конкурентный уровень заработной платы (оклад + квартальная премия);   ДМС, оплата занятий спортом.    ";Разработка компонентов с бизнес-логикой сервиса. Жить в парадигме SCRUM. Участие в декомпозиции, описании задач и code-review. ;Огонь в глазах при виде кода на JS. Отлично знает библиотеку Vanila.js. Изучил React + Redux вдоль и поперек. ;;
1065;1065;Frontend Developer (React);Нижний Новгород;;;МегаФон;2019-11-13;21;От 1 года до 3 лет;Полная занятость;Полный день;Основные области ответственности: Разрабатывать интерфейсы совместно с командами: backend-разработки, аналитики и дизайна.Вырабатывать архитектурные решений.Контролировать качество кода: Code review, Refactoring.Вести документацию по собственным задачам. Требования: Практический опыт проектирования и разработки на React+Redux.Знание JavaScript и особенностей языка.Уверенное знание HTML, CSS и особенностей кросс-браузерной вёрстки.Умение работать в Unix-окружении.Умение писать структурированный и читаемый код (и разбираться в чужом) .Уверенное владение: Gitlab, Jenkins, k8s, Docker.Понимание культуры Agile (Scrum, Kanban).Будет здорово, если:У тебя есть стремление превосходить ожидания, быть лучшим, привносить новое.Твоя внутренняя ценность - независимость, но ты понимаешь и разделяешь принципы командной работы.Тебе нравится обсуждать как технические, так и продуктовые идеи.    ;Разрабатывать интерфейсы совместно с командами: backend-разработки, аналитики и дизайна. Вырабатывать архитектурные решений. Контролировать качество кода: Code review, Refactoring. ;Основные области ответственности: Практический опыт проектирования и разработки на React+Redux. Знание JavaScript и особенностей языка. Уверенное знание HTML, CSS и...;;"JS;React;Redux;Scrum"
1760;1760;Frontend Developer (React);Москва;;;Леруа Мерлен;2019-11-24;10;От 3 до 6 лет;Полная занятость;Полный день;Леруа Мерлен – французская компания, которая является безоговорочным лидером на рынке товаров для ремонта и обустройства дома. Главный фокус компании направлен на клиента и удовлетворение его потребностей. В настоящее время мы развиваем свои продукты для клиентов и отказываемся от Enterprise-решений в пользу собственной разработки, поэтому постоянно расширяем штат разработчиков. Мы ищем опытного человека на проект по разработке платформы для построения микрофронтендных веб-приложений на базе изоморфного реакта. Тебе предстоит:   Разработка архитектуры Развитие функционала платформы Подключение новых проектов к платформе Изучение и внедрение новых технологий  Мы с удовольствием пообщаемся, если у тебя есть опыт:  Javascript (ES6+) React.js Webpack / Babel Понимание микросервисной архитектуры Уверенные знания git и подходов непрерывной интеграции CI/CD  В работе тебе пригодится:  Базовые знания Node.js и общие навыки бэкенд разработки Опыт работы с автотестами (мы используем Jest) Английский язык на уровне чтения и письменной коммуникации  Мы предлагаем:  Работу в стабильной компании-лидеров DIY рынка с уникальной корпоративной культурой Участие в конференциях вместе с нашей международной командой (Россия, Франция, Испания, Бразилия) Возможности для профессионального развития и изучения иностранных языков Белую заработную плату и систему премирования ДМС и расширенный социальный пакет Компенсацию питания и мобильной связи ;Разработка архитектуры. Развитие функционала платформы. Подключение новых проектов к платформе. Изучение и внедрение новых технологий.;Javascript (ES6+). React.js. Webpack / Babel. Понимание микросервисной архитектуры. Уверенные знания git и подходов непрерывной интеграции CI/CD. ;;"JavaScript;Node.js;React.js;Webpack;Babel"
