;Unnamed: 0;name;area;min_salary;max_salary;employer;created_at;days_passed;experience;employment;schedule;description;responsibility;requirement;conditions;key_skills
639;639;Разработчик .NET;Москва;100000.0;;СИСЛИНК;2019-12-03;1;От 3 до 6 лет;Полная занятость;Полный день;"Одному из ведущих EDI провайдеров, работающей на рынке B2B коммерции, разработчику собственного ПО, в связи с новыми проектами и активным ростом на постоянную работу требуется Разработчик .NET для участия в проектах по разработке продуктов электронной коммерции класса B2B и систем обмена данными.   Требования:  Знание .NET Framework 4, C#. Желателен опыт работы: ASP.NET MVC, LINQ, web-сервисы, WCF, XML. Навыки разработки web-сайтов . Профилирование и оптимизация для ASP.NET. Уверенное знание SQL, T-SQL, будет преимуществом. Опыт работы в группе, использование инструментов контроля версий: TFS.    Обязанности:  Работа над крупным web-приложением (ASP.NET/MS SQL).    Условия:  Отличные возможности для профессионального роста, и получения опыта работы с ведущими зарубежными компаниями из списка Fortune 500; Просторный кондиционированный офис в 5 мин. ходьбы от м. &quot;Водный Стадион&quot;; Ежеквартальные бонусы; Возможность использования новых технологий и подходов; Возможность оплаты обучения на курсах; Полное соблюдение ТК РФ - отпуск, официальная заработная плата, больничный лист, пятидневная рабочая неделя; Дружный коллектив. Уровень заработной платы по результату собеседования. ";;Знание .NET Framework 4, C#. Желателен опыт работы: ASP.NET MVC, LINQ, web-сервисы, WCF, XML. Навыки разработки web-сайтов . ;;".NET Framework;ASP.NET;MS SQL;C#"
466;466;Разработчик .NET;Москва;;;Manzana Group;2019-12-01;3;От 1 года до 3 лет;Полная занятость;Полный день;" 1 из 4 наиболее успешных партнеров Microsoft в мире для ритейла (по признанию штаб-квартиры Microsoft) Более 13 лет на рынке. Мы умеем слаженно работать и с отрывом веселиться.  Приглашаем присоединиться к нам, чтобы помочь российскому ритейлу стать супер-удобным и эффективным. Это отличная возможность для вас видеть в повседневной жизни реальные результаты вашей работы и гордиться ими. Есть интересная работа для разработчика .Net! Что нужно будет делать:  разрабатывать интеграции со сторонними системами (web-сервисы и windows-службы); дорабатывать наш Web API; поддерживать имеющихся решений компании.  Нужно иметь:  уверенное владение C#; умение самостоятельно находить информацию и работать с ней; опыт работы в группе разработчиков от года.  Будет круто, если есть:  опыт работы с ASP (MVC, Web API, OData), Open API (Swagger), JavaScript, SQL, очередями и CI; опыт работы или желание изучить ASP.Net Core, микро-сервисы и Azure; умение общаться, понимать мысли, а также доносить свои до не IT-специалистов (контактируем только с «внутренними заказчиками»); опыт работы со средствами коллективной разработки, мы используем Git для кода, Redmine для ведения задач и TeamCity для CI; английский на уровне чтения технической литературы.  Вместе с резюме присылайте ссылки на все, чем вы можете похвастаться. Что мы предлагаем:  оформление по условиям трудового кодекса; собственный график работы – время работы выбираете сами; работу на технологиях и вместе с командой Microsoft – у нас плотная совместная работе с Microsoft и крутой партнерский статус: Microsoft Managed ISV (Independent Software Vendor); возможность проявить себя на проектах в ритейле, здравоохранении, e-commerce, банковской сфере; офис в шаговой доступности от ст. м. Нагатинская; а еще у нас ДМС (в том числе льготные условия для членов семей), кикер, печеньки и чай/кофе и много разных полезных и не очень активностей (от марафонов и покера до выездов в другие города и страны).  Клиентов много, задач еще больше. Обещаем – скучать точно не будете!";Разрабатывать интеграции со сторонними системами (web-сервисы и windows-службы). Дорабатывать наш Web API. Поддерживать имеющихся решений компании.;Уверенное владение C#. Умение самостоятельно находить информацию и работать с ней. Опыт работы в группе разработчиков от года. ;;
635;635;Разработчик .NET;Екатеринбург;;;Экстрим про;2019-11-11;23;От 1 года до 3 лет;Полная занятость;Удаленная работа;"Разработчик .NET (удаленно) Группа компаний Экстрим – один из лидирующих разработчиков ПО для государственных заказчиков, крупный уральский интегратор, 25 лет стабильно на рынке. Мы приглашаем Разработчика .NET на удаленное сотрудничество, в интересные и социально-важные проекты уровня города, региона, страны. Ваша задача - проектирование и реализация распределенных многопользовательских систем на .NET, в том числе с использованием веб-технологий. Для этого тебе понадобятся:  хорошее знание платформы .NET Framework версии 4.0 и выше, язык C#; знание SQL, опыт работы реляционными базами данных (предпочтительнее Postgres) и NoSQL решениями; опыт работы от 2 лет в роли разработчика на .NET; умение работать самостоятельно и в команде; интерес к изучению новых языков программирования, фреймворков, технологий разработки; хороший технический английский.  Будет плюсом:  опыт работы с .NET Core; опыт работы с ORM решениями (предпочтительнее Entity Framework и EF Core); знание технологий используемых для frontend разработки (JavaScript, Angular, Vue.js или другие); знание структур данных, алгоритмов и паттернов создания enterprise приложений; опыт создания приложений с микросервисной архитектурой; опыт создания масштабируемых приложений; опыт работы с Docker (Docker Compose, Docker Swarm, Kubernetes); опыт работы с системами учета версий, автоматической сборки и непрерывной интеграции (Git, Teamcity, Gitlab).  Мы используем в проектах:  agile-практики (SCRUM, Kanban); технологии для .NET-разработки: .NET 4.7/.NET Core, C#, EF Core, WebAPI, Angular, PostgreSQL, Mongodb, ElasticSearch, Riak, RabbitMQ, СКЗИ «КриптоПро CSP»; инструментарий: Visual Studio 2017, JIRA, Fisheye+Crucible, Confluence, GIT, Teamcity+Octopus Deploy/Gitlab, Docker.  Мы готовы предложить: Комфорт:  расширенный соц. пакет: добровольное медицинское страхование со стоматологией, ежегодная вакцинация, а также компенсация занятий спортом; гибкий рабочий график, пятидневная рабочая неделя, 8-часовой рабочий день; персональное предложение по зарплате в зависимости от уровня твоих навыков; удаленная работа или комфортный офис (Екатеринбург/Севастополь).  Возможности: - мы предлагаем работу в командах высококлассных профессионалов с многолетним опытом, среди них тренеры Microsoft (MCT) и ведущие разработчики (MCPD); - возможность профессионального развития, обмен опытом между сотрудниками внутри компании; наличие собственной корпоративной библиотеки. Атмосфера:   отзывчивая сплоченная команда; мы ценим обратную связь; для нас важно мнение каждого сотрудника;   у нас насыщенная корпоративная жизнь, организованы активности по интересам.   Перспектива: - мы ценим готовность каждого сотрудников брать на себя ответственность и поддерживаем в стремлении расти.    ";Ваша задача - проектирование и реализация распределенных многопользовательских систем на .NET, в том числе с использованием веб-технологий. Интерес к изучению...;Для этого тебе понадобятся: Хорошее знание платформы .NET Framework версии 4.0 и выше, язык C#. Знание SQL, опыт работы...;;
