;Unnamed: 0;name;area;min_salary;max_salary;employer;created_at;days_passed;experience;employment;schedule;description;responsibility;requirement;conditions;key_skills
1686;1686;Web-программист;Москва;50000.0;100000.0;Осепян Антон Ефремович;2019-12-04;0;Нет опыта;Полная занятость;Гибкий график;Обязанности:  Постоянная работа с сайтом в плане интеграции новых технологий и их оптимизации Разработка и внедрение новых разделов сайта  Требования:  Знать php, css, html и т.д Умение работать в команде  Условия:  В офисе и удаленно   ;Постоянная работа с сайтом в плане интеграции новых технологий и их оптимизации. Разработка и внедрение новых разделов сайта.;Знать php, css, html и т.д. Умение работать в команде.;;"CSS;HTML;HTML5;phpMyAdmin;CSS3;PHP"
1858;1858;Web-программист;Киров;30000.0;;Золотая Леди;2019-12-02;2;От 1 года до 3 лет;Полная занятость;Полный день;Крупная торгово-производственная компания в связи с расширением и увеличением объема задач приглашает на работу php-программиста Обязанности:  Разработка интернет-проектов: Интернет-магазины, сайты, CRM Битрикс24  Требования:   Знания PHP, MySQL, HTML, JS, основ ООП.   Приветствуется опыт работы с CMS 1C-Битрикс   Плюсом будут умение работать в команде и обучаемость   Условия:  интересные задачи, возможность профессионального роста возможность роста заработной платы профессиональный коллектив  корпоративное обучение, повышение квалификации   заработная плата - оклад +премии   современная техника   график работы 5/2 с 8.00 до 17.00   есть своя столовая на территории  ;Разработка интернет-проектов: Интернет-магазины, сайты. CRM Битрикс24.;Знания PHP, MySQL, HTML, JS, основ ООП. Приветствуется опыт работы с CMS 1C-Битрикс. Плюсом будут умение работать в...;;"MySQL;1С-Битрикс;JavaScript;PHP;JS;ООП"
243;243;Web-программист;Москва;80000.0;;Спейс Тревел;2019-11-09;25;От 3 до 6 лет;Полная занятость;Полный день;"В крупную туроператорскую компанию требуется специалист в области программирования сайтов. Обязанности  frontend разработка; backend разработка; верстка и поддержка основного сайта и портал компании Bitrix24. создание сайтов с нуля и поддержка уже существующих лендинговых страниц.  интеграция сторонних сервисов по API. Требования:  опыт работы в этой области от 3-х лет; знания PHP 5, PHP 7, JavaScript, HTML5, CSS3, SQL (MySql), XML; приветствуются знания Bootstrap,PostgreSQL, MS SQL, nginx,apache;  Условия:  полная занятость. работа на территории работодателя. достойная и стабильная заработная плата с потенциалом на увеличение (обсуждается с каждым кандидатом отдельно от 75 тысяч на руки); интересные задачи; комфортабельный офис в двух минутах от м. Технопарк. ";Frontend разработка. Backend разработка. Верстка и поддержка основного сайта и портал компании Bitrix24. Создание сайтов с нуля и поддержка...;Опыт работы в этой области от 3-х лет. Знания PHP 5, PHP 7, JavaScript, HTML5, CSS3, SQL...;;"JavaScript;MySQL;jQuery;HTML5;CSS3;PHP7;XML;SQL"
785;785;Web-программист;Орел;;;СЕНЛА;2019-11-13;21;От 1 года до 3 лет;Полная занятость;Гибкий график;"SENLA в связи с ростом отдела, ищет в свою команду WEB разработчика! Мы занимаемся заказной разработкой программного обеспечения и решений для бизнеса. Уже более 5 лет мы помогаем лидерам создавать программное обеспечение, которое меняет бизнес и мир к лучшему. В нашей компании уже более 150 человек из различных стран СНГ, а также мы активно растим офисы в Европе. Вы можете стать частью нашей дружной профессиональной команды. Требования:  Уверенные знания native JavaScript, HTML5, CSS3, LESS/SASS, AJAX/CORS, JQuery; Опыт работы с REST API web services Уверенные знания фронт фреймворка (предпочтительнее React/Angular/Vue); Умение работать в команде, отсутствие коммуникативных проблем.  Дополнительные требования:  Знание Git, Node.js;  Условия:   Конкурентоспособную заработную плату   Курсы английского языка в офисе   Мощный компьютер и 2 монитора   Тихий уютный офис   Корпоративную программу поддержки   Прозрачную систему карьерного роста   Возможность профессионального развития   Работу в команде профессионалов   Официальное трудоустройство   Заработная плата обсуждается с каждым кандидатом индивидуально и зависит от уровня вашей технической подготовки и опыта. Мы учитываем пожелания кандидатов.";;Уверенные знания native JavaScript, HTML5, CSS3, LESS/SASS, AJAX/CORS, JQuery. Опыт работы с REST API web services. ;;"JavaScript;HTML5;CSS3;AJAX/CORS;jQuery;React;AngularJS;vue"
1004;1004;Web-программист;Москва;;;Трансконтинентальная МедиаКомпания;2019-11-21;13;От 3 до 6 лет;Полная занятость;Полный день;"Знание английского языка – обязательно  Обязанности:  Поддержка и модернизация текущих проектов; Разработка Backend/Frontend Решение задач автоматизации процессов; Интеграция с внешними сервисами (API); Оптимизация кода под нужды SEO; Разработка сайта и web-приложений Разработка, заточка под ТТ HTML баннеров Оптимизация загрузки сайтов(pagespeed, Pingdom, w3 …) Аудит сайтов компании, SEO-продвижение Размещение информации на сайтах(механика/автоматизация)  Требования:  Уверенное знание и опыт работы с PHP, JavaScript (jQuery), Node.js, XML, HTML и CSS Опытный пользователь Smarty, WordPress, Djem, Bitrixcms, backend frontend Опыт работы с СУБД Опыт разработки, доработка сайтов smarty Опыт разработки HTML баннеров по ТТ Владение Linux на уровне пользователя Опыт в современных видах верстки, опыт отладки, скорость Соблюдение чистоты кода, codereview, ведение технической документации, отчетность; Высокий уровень ответственности  Условия:  Официальное трудоустройство по ТК РФ, оплачиваемый отпуск, больничный; График работы: с 10 до 19 часов, понедельник-пятница; Офис в шаговой доступности от м. Римская/ Площадь Ильича; Заработная плата обсуждается индивидуально с успешными кандидатами. ";Поддержка и модернизация текущих проектов. Разработка Backend/Frontend. Решение задач автоматизации процессов. Интеграция с внешними сервисами (API). Оптимизация кода под...;Уверенное знание и опыт работы с PHP, JavaScript (jQuery), Node.js, XML, HTML и CSS. Опытный пользователь Smarty, WordPress, Djem, Bitrixcms...;;"JavaScript;jQuery;CSS;HTML;CMS Wordpress;Adobe Acrobat;Node.js;MySQL;XML;Smarty;SEO;Djem;bitrix;Animate cc/Google Web Designer;Adobe Photoshop;Adobe InDesign;Adobe Illustrator;Xenu;GA;ЯМетрика;Pingdom Tools;Pagespeed"
1097;1097;Web-программист;Санкт-Петербург;;;Business Kernel;2019-11-29;5;От 1 года до 3 лет;Полная занятость;Полный день;Обязанности:  Поддержка и разработка интернет-магазина компании на базе 1С Битрикс  Требования:  Опыт в WEB программировании Опыт работы и знание того как устроен Битрикс Высокий уровень знаний в работе с API Bitrix Уверенные знания PHP, HTML, CSS, JS, JQuery, AJAX Опыт работы с GIT  Условия:  Работа в центре График работы 5/2 до 18 час Стабильная з/плата, обсуждается с успешным кандидатом ;Поддержка и разработка интернет-магазина компании на базе 1С Битрикс.;Опыт в WEB программировании. Опыт работы и знание того как устроен Битрикс. Высокий уровень знаний в работе с API Bitrix. ;;"jQuery;1С-Битрикс;JavaScript;PHP5;Git"
1126;1126;Web-программист;Нижний Новгород;;;Бизнес Финанс Групп;2019-12-02;2;Нет опыта;Полная занятость;Гибкий график;Мы не занимаемся аутсорсом ни в каком его виде. Мы не стартап — наш сервис имеет стабильно растущую базу постоянных платных клиентов. Здесь в Нижнем Новгороде мы делаем конкурентоспособный продукт самого высокого качества. Присоединяйтесь и вы.   Обязанности:  Поддержка HTML/CSS кода виджетов на getsitecontrol.com Участие в создание новых виджетов    Требования:  Знание HTML5/CSS3 Опыт кроссбраузерной адаптивной верстки  Опыт работы с Javascript приветствуется     Условия:  Работа в настоящей продуктовой компании (не аутсоурс, не фриланс, не стартап) Интересные проекты и задачи Конкурентоспособная заработная плата Гибкий график работы Пространство для профессионального роста Комфортный офис в центре города (пл. Горького) Уровень дохода обсуждается индивидуально ;Поддержка HTML/CSS кода виджетов на getsitecontrol.com. Участие в создание новых виджетов.;Знание HTML5/CSS3. Опыт кроссбраузерной адаптивной верстки. Опыт работы с Javascript приветствуется.;;"CSS3;HTML5;CSS;HTML;Пользователь ПК"
1529;1529;Web-программист;Новосибирск;;;Хоккейная Нация;2019-11-27;7;От 1 года до 3 лет;Полная занятость;Полный день;Ищем целеустремленных программистов, готовых реализовываться, учиться и развиваться. Стрессоустойчивых  и способных решать задачи нестандартным подходом. Обязанности:  Front-end разработка Back-end разработка Поддержание и обновление веб-портала компании  Требования:  Знание HTML, HTML5, CSS, CSS3, PHP, MySQL, JavaScript Опыт работы с Базами Данных  Условия:  Работа в Новосибирске Работа как в офисе компании, так и на дому Возможность развиваться в активной, молодой команде ;Front-end разработка. Back-end разработка. Поддержание и обновление веб-портала компании.;Знание HTML, HTML5, CSS, CSS3, PHP, MySQL, JavaScript. Опыт работы с Базами Данных.;;"HTML5;CSS3;JavaScript;PHP;Ajax;MySQL"
