;Unnamed: 0;name;area;min_salary;max_salary;employer;created_at;days_passed;experience;employment;schedule;description;responsibility;requirement;conditions;key_skills
593;593;Веб-программист;Москва;40000.0;60000.0;Алеф ван лтд;2019-11-25;9;От 1 года до 3 лет;Полная занятость;Удаленная работа;"Обязанности:  Выполнять поставленные задачи в срок Находиться на связи и оперативно реагировать на поставленные задачи в течение рабочего дня  Требования:  Хорошо знать: PHP, MySQL. Немного знать (на уровне правки готового кода): HTML/CSS, JS/JQuery, Bootstrap; Желательно: знакомство с WordPress.  Условия:  Удаленная работа, Полный рабочий день с понедельника по пятницу.  Заработная плата равными частями 2 раза в месяц.";Выполнять поставленные задачи в срок. Находиться на связи и оперативно реагировать на поставленные задачи в течение рабочего дня.;Хорошо знать: PHP, MySQL. Немного знать (на уровне правки готового кода): HTML/CSS, JS/JQuery, Bootstrap. Желательно: знакомство с WordPress.;;
966;966;Веб-программист;Барнаул;35000.0;80000.0;АЛТАСИБ;2019-11-14;20;Нет опыта;Полная занятость;Полный день;Выберите Вашу цель:  Мечтаете научиться программировать? Уперлись в потолок и хочется что-то нового? Может, хотите сидеть на двух-трех проектах и пилить их до совершенства до бесконечности? Есть другие причины прийти к нам?  Что у нас за компания? Мы являемся старейшими на Алтае разработчиками на платформе 1С-Битрикс и первыми золотыми партнерами 1С-Битрикс. Уже больше 12 лет мы работаем с веб-технологиями и всегда рады новым талантливым сотрудникам. Чем заниматься:  Сопровождение веб-сайтов на 1С-Битрикс Разработка веб-сайтов на 1С-Битрикс Работа с Битрикс24 Разработка сервисов и приложений для различных веб-проектов.  Требования:  Знание PHP (для новичков хотя бы базовые знания) Желание программировать (и постоянно развиваться!)  Всему остальному научим. Условия:  Работа в офисе. Полный рабочий день. График оговаривается (можно даже с обеда) Отпуска в обязательном добровольно-принудительном порядке каждый год (две недели летом гарантированы!). Чай, кофе, печеньки имеются Кушать можно на кухне - есть холодильник, микроволновка и все такое. Два монитора (если кому это важно) Дружный коллектив и отзывчивое руководство. ;Сопровождение веб-сайтов на 1С-Битрикс. Разработка веб-сайтов на 1С-Битрикс. Работа с Битрикс24. ;Знание PHP (для новичков хотя бы базовые знания). Желание программировать (и постоянно развиваться!).;;"PHP;HTML;JavaScript;MySQL;CSS;jQuery;HTML5;Linux;Git;1С-Битрикс;PHP5;bitrix24;Битрикс24"
372;372;Веб-программист;Сочи;50000.0;;АСКА недвижимость;2019-12-03;1;От 1 года до 3 лет;Полная занятость;Полный день;"В крупное агентство недвижимости требуется Веб программист! Обязанности: Разработка модулей для CRM-систем; Доработки, улучшения, написание скриптов и модулей, обновления, интеграции и т. д.;Работа над различными проектами; Требования: Опыт разработки с применением технологий: HTML5, CSS3, PHP, JavaScript, JQuery, Ajax, MySQL;Умение грамотно планировать свою работу и придерживаться установленных сроков;Желание работать на результат; Условия: Возможность карьерного роста;Динамично развивающаяся компания;Дружный коллектив;Офис в центре города;";Разработка модулей для CRM-систем. Доработки, улучшения, написание скриптов и модулей, обновления, интеграции и т. д.. Работа над различными проектами.;Опыт разработки с применением технологий: HTML5, CSS3, PHP, JavaScript, JQuery, Ajax, MySQL. Умение грамотно планировать свою работу и...;;
1060;1060;Веб-программист;Санкт-Петербург;90000.0;;БТК девелопмент;2019-11-22;12;От 3 до 6 лет;Полная занятость;Полный день;"Обязанности:  Обеспечивать поддержку функционирования интернет-магазина и связанных с ним приложений на CMS Magento; Обеспечивать проведение акций с помощью доработки функционала; Осуществлять поддержку передачи данных между системами; Осуществлять поддержку функционирования хранилища данных; Разрабатывать новый функционал;  Требования:  Обязателен опыт работы на Magento 2; Увернные знания и навыки работы с PHP5, MySQL, Apache, Nginx, JavaScript, HTML5, CSS, XML; Опыт работ с *nix серверами; Понимание основ веб-дизайна; Знание и опыт работ с графическими программами (Adobe Photoshop); Опыт работы на аналогичной должности не менее 3 лет; Высшее экономическое или техническое образование; Личные качества: оперативность, ответственность, пунктуальность, коммуникабельность, доброжелательность;  Условия:  Оформление в соответствии с ТК РФ с первого дня ДМС после испытательного срока 3 месяца График работы 5/2 с 10.00 до 19.00 Офис в центре города, также возможна удалённая работа ";Обеспечивать поддержку функционирования интернет-магазина и связанных с ним приложений на CMS Magento. Обеспечивать проведение акций с помощью доработки функционала. ;Обязателен опыт работы на Magento 2. Увернные знания и навыки работы с PHP5, MySQL, Apache, Nginx, JavaScript, HTML5...;;"Adobe Photoshop;Nginx;Apache HTTP Server;Графика;Графические редакторы"
