;Unnamed: 0;name;area;min_salary;max_salary;employer;created_at;days_passed;experience;employment;schedule;description;responsibility;requirement;conditions;key_skills
457;457;Frontend Developer;Москва;60000.0;100000.0;АЛЬФАКОМ;2019-12-02;2;От 1 года до 3 лет;Полная занятость;Полный день;IT-интегратор ищет в команду Frontend-разработчика под группу государственных многолетних проектов: развивать существующий функционал платформы, разрабатывать новые и сопутствующие сервисы, участвовать в проектировании архитектуры. Должностные обязанности:Разработка новой версии web-портала информационной системы на Vue (vue-cli, eslint, тесты, CI).Поддержка старой части портала на jQuery и XSLT (!!!). Требования к кандидатам:Знание HTML5, CSS3, JavaScript, умение писать на ES6+, понимание основ Vue и Vuex. Плюсом будет:Знание Pug и Stylus (их мы используем в связке с Vue).Опыт работы на Node.js и npm.Опыт работы с Nuxt.Опыт работы с Git и GitLab.Опыт работы с Jira.Навыки кроссбраузерной адаптивной вёрстки, понимание основных принципов UX.Креативное мышление и здоровый перфекционизм. Для вас:Позитивный коллектив, неформальное обсуждение задач.Конкурентная и достойная заработная плата. З\п и условия обсуждаются с успешным кандидатом.График работы с понедельника по пятницу с 10 до 19, который можно пересогласовать с доброжелательным руководством.Оформление согласно ТК РФ.Работа в современном уютном и комфортабельном офисе рядом с метро электрозаводская\Семеновская.;Разработка новой версии web-портала информационной системы на Vue (vue-cli, eslint, тесты, CI). Поддержка старой части портала на jQuery...;Знание HTML5, CSS3, JavaScript, умение писать на ES6+, понимание основ Vue и Vuex. Плюсом будет: Знание...;;"Git;JavaScript;HTML5;CSS3;Atlassian Jira;Vue.js;Angular.js;Node.js;Atlassian Confluence;vuex;es6;XML/Xslt;jQuery;gitlab;nuxt"
1855;1855;Frontend Developer;Новосибирск;80000.0;150000.0;МКК СМСФИНАНС;2019-11-14;20;От 1 года до 3 лет;Полная занятость;Полный день;ООО МФК «СМСФИНАНС» Делаем финансовые услуги более живыми и доступными. Делаем сервис для пользователей нужным и удобным. Задачи:  Разработка веб сайтов компании. Разработка веб UI систем внутреннего пользователя. Осуществление поддержки платформы. Проектирование и разработка новой IT платформы в части WEB.  Требования:  Знание JS. Опыт работы с любым из фреймворков (AngularJS, React.JS). Умение разбираться в чужом коде. Опыт кроссбраузерной адаптивной верстки. Опыт работы с Git.  Будет плюсом:  Понимание принципов UI/UX оптимизации. Знание HTML5, CSS (опыт работы с любым препроцессором).  Условия:  Официальное трудоустройство. Белая заработная плата. Повышение квалификации за счет компании (обучение, конференции). Уроки английского языка в офисе. ДМС по истечении испытательного срока. ;Разработка веб сайтов компании. Разработка веб UI систем внутреннего пользователя. Осуществление поддержки платформы. Проектирование и разработка новой IT платформы в...;Знание JS. Опыт работы с любым из фреймворков (AngularJS, React.JS). Умение разбираться в чужом коде. Опыт кроссбраузерной адаптивной верстки. ;;"AngularJS;JavaScript;Node.js;HTTP;Git;HTML;CSS;react;vue;angular2+;ООП"
547;547;Frontend Developer;Санкт-Петербург;;;РУСОФТ;2019-11-21;13;От 1 года до 3 лет;Полная занятость;Полный день;"Группа Компаний «РУСОФТ» более 15 лет успешно работает в сфере процессинговых и банковских услуг, предоставляя современные, высокотехнологичные, качественные, безопасные сервисы и программное обеспечение. Мы работаем над масштабным проектом - создаём новое поколение информационных систем для финансового сектора экономики. Адаптированный Agile, гибкий процесс разработки. Мы используем gitlab, jira, wiki, и др. современные средства поддержки разработки. Что мы делаем:  Front-End разработка с использованием инструментов: HTML5, JavaScript, верстка HTML5/CSS3  Что мы ждем от кандидатов:  Отличное знание JavaScript (ES6, прототипы, наследование, контексты, замыкания) CSS пост/препроцессоры Знание хотя бы одного из JS фреймворков (Vue.js, React.js+Redux) Понимание принципов OOП, MVC WebSocket, AJAX, REST API Системы сборки (Webpack) Коммуникабельность, готовность к работе в команде, нацеленность на результат Опыт работы в сфере IT от 1 года  Что будет преимуществом:  Опыт разработки на Node.js  Что мы предлагаем:  Работа в офисе класса &quot;А&quot; БЦ &quot;Gregory&#39;s Palace&quot; м.Лесная/ м.Черная речка Возможность выбора графика работы: 5/2 с 08:00 до 17:00 / 09:00 до 18:00 / 10:00 до 19:00 / 11:00 до 20:00 Возможность участия в разных проектах Возможность профессионального и личного развития Помощь и поддержка от опытных аналитиков и team lead Современный, светлый офис с настольными играми ";Front-End разработка с использованием инструментов: HTML5, JavaScript, верстка HTML5/CSS3.;Отличное знание JavaScript (ES6, прототипы, наследование, контексты, замыкания). CSS пост/препроцессоры. Знание хотя бы одного из JS фреймворков (Vue.js...;;"JavaScript;React.js;HTML5;Redux;CSS3;ES6;Vue.js;Node.js"
649;649;Frontend Developer;Москва;;;Эйчаркетинг;2019-11-29;5;От 3 до 6 лет;Полная занятость;Полный день;Привет! ⚡️ Мы занимаемся продуктом HRketing. Делаем b2b платформу для того, чтобы сотрудникам в компании было удобно оформлять командировки. Начали с рабочих поездок, а постепенно заберем и автоматизируем остальные рутинные корпоративные бизнес-процессы. Для этого мы расширяем команду и этот пост про поиски Frontend Developer. Чем заниматься Ты возьмешь на себя наш фронт и будешь плотно работать с дизайнерами. Мы делаем полный редизайн, поэтому есть возможность сделать всё как надо с нуля. Ты умеешь   Отлично знаешь Javascript/VanillaJS, разрабатывал клиентские приложения на React + Redux Внимательно относишься к вёрстке и деталям. Знаешь особенности современных браузеров Умеешь декомпозировать и оценивать сложные задачи — мы работаем по спринтам и важно грамотно планировать загрузку Работать в команде — не просто выполнять таски, а принимать участие в развитии продукта Знаешь Git, работал со сборщиками, компиляторами, линтерами  Будет плюсом  Знаешь и использовал MobX, RxJS, GraphQL, Angular, Vue, Ember, Knockout, Jest, Enzyme, Karma, Mocha, Mickey, Mouse, React test utils, Docker, Node.JS, Python (скажи потом сколько очков набрал) Не боишься работы с back-end языками и базами данных Умеешь в боевом режиме «верстать в браузере» без готовых макетов  Условия (тепличные)  Возможность попасть в крутой и сложный продукт на старте Большой офис в самом центре — минута от Тверской/Чеховской Гибкий график работы Обеды за счет компании Хорошая зарплата и бонусы ДМС У нас команда геймеров ;Отлично знаешь Javascript/VanillaJS, разрабатывал клиентские приложения на React + Redux. Работать в команде — не просто выполнять таски, а принимать...;Внимательно относишься к вёрстке и деталям. Знаешь особенности современных браузеров. Будет плюсом. Знаешь и использовал MobX, RxJS, GraphQL, Angular, Vue...;;"JavaScript;AngularJS;React;Redux;Node.js"
959;959;Frontend Developer;Москва;;;Сбербанк;2019-11-22;12;Нет опыта;Полная занятость;Полный день;"Весьма необычное подразделение Сбербанка, обеспечивающее сотрудников банков современными сервисами вместо ставшими известными далеко за пределами банка heritage, ищет добровольцев для развития внутренних продуктов по различным направлениям. Если вы хотите получить опыт работы в небольшой команде в пара нормально больших организации, ухитряющихся иметь 1 (одну) встречу-совещание в неделю, Вам к нам##. The Mac is included.  Требования:Знание и понимание нативного JS, знание особенностей языка, например, что такое scope/closure/promise;Уверенное владение HTML, CSS;Кроссбраузерная адаптивная вёрстка(IE11+);LESS / SASS;Понимание CORS;Умение работать с поисковиком;Умение и страсть самостоятельно решать поставленные задачиБудет плюсом:Опыт React, Angular;PUG;Webpack/gulp;Опыт работы с сокетами;Знакомство с JSP;Написание тестов.Кандидат:Позитивное отношение к жизни, Чувство юмора не ниже средне-специальногоNerds are appritiated";Написание тестов. Кандидат:;Знание и понимание нативного JS, знание особенностей языка, например, что такое scope/closure/promise. Уверенное владение HTML, CSS. ;;
