;Unnamed: 0;name;area;min_salary;max_salary;employer;created_at;days_passed;experience;employment;schedule;description;responsibility;requirement;conditions;key_skills
37;37;UX/UI дизайнер;Москва;;;Свекор;2019-11-15;19;От 1 года до 3 лет;Полная занятость;Полный день;В Группу компаний требуется UX/UI дизайнер для реализации и дальнейшего сопровождения/ усовершенствования платформы по совершению сделок с E-commerce и другими. Чем ты будешь заниматься?  Проектированием и прототипированием интерфейса сайта и мобильных приложений Android и iOS. Формированием описаний интерфейсов и требований для разработчиков. Разработкой сценариев поведения пользователей на сайте. Отрисовкой дизайн макетов и графических элементов сайта. Отслеживанием трендов в дизайне и применением их в своей работе.  Что мы ожидаем от тебя? Очень важно для нас наличие у тебя хорошего портфолио. Ты должен владеть Figma, Adobe Photoshop, Adobe Illustrator, уметь работать с компонентами с адаптивными и мобильными интерфейсами. Мы ожидаем, что у тебя есть знание UI/UX и умение создавать удобные и понятные интерфейсы,а так же опыт в проектировании интерфейсов мобильных приложений (Android, iOS). Мы ожидаем, что ты знаешь основы композиции и типографики, а так же имеешь навыки грамотного расположения элементов и текста (верстки), чувство стиля. Понимаешь по какому принципу работают CSS и HTML,принципы вывода информации на сайтах. Огромным плюсом будет наличие у тебя письменной грамотности. Что мы предлагаем? Работу в комфортном офисе (чай/кофе и прочие плюшки) в 10 минутах от станции метро Тульская с понедельника по пятницу. Мы приходим в офис к 9:00, а уходим в 18:00. Мы предоставим всю необходимую аппаратуру по твоему запросу. Тебя ждет достойная оплата труда, размер которой определяется по результатам собеседования. Ждем тебя с нетерпением!;В Группу компаний требуется UX/UI дизайнер для реализации и дальнейшего сопровождения/ усовершенствования платформы по совершению сделок с E-commerce...;Очень важно для нас наличие у тебя хорошего портфолио. Ты должен владеть Figma, Adobe Photoshop, Adobe Illustrator, уметь работать с...;;"Adobe Illustrator;Adobe Photoshop;CSS;HTML;UI;Английский язык"
78;78;UX/UI дизайнер;Москва;;;ТЕХНОСЕРВ;2019-12-03;1;От 3 до 6 лет;Полная занятость;Полный день;"Мы Компания «Техносерв» – крупнейший российский системный интегратор, работающий в России, странах СНГ и Европе, основан в 1992 году. Согласно данным многих изданий, как пример: TAdviser, CNews Analytics и РБК, входим в пятерку лучших российских ИТ-компаний. «Техносерв» является лидером в области комплексных проектов построения инфраструктуры ЦОД, создания ИТ-инфраструктуры и поставки решений для госсектора (CNews Analytics). Также, реализуем проекты и в других интересных областях: Big Data, Cloud, Process Mining. На наши крупные проекты в финансовом секторе ищем себе UX/UI дизайнера: Обязанности:  Создание wireframes; Создание прототипов с точностью low-fidelity и high-fidelity; Прототипирование web/desktop и мобильных приложений; Проектирование адаптивного интерфейса под различные устройства; Дизайн концепций/видений; Разработка интерфейса для новых фич; Постоянное улучшение существующего дизайна; Взаимодействие с разработчиками/аналитиками/РП/заказчиком.    Требования:  Опыт работы в графических редакторах: Adobe Photoshop, Sketch и т.п; Знание гайдлайнов мобильных приложений на базе iOS, Android, Windows Phone; Опыт проектирования и дизайна пользовательских интерфейсов; Опыт разработка концепции дизайна; Знание UI-стандартов, интерфейсов; Опыт составления спецификаций и гайдлайнов для фронтенд-разработчиков; Опыт исследования пользовательского опыта и Customer Development.    Условия:  Удобный офис в центре Москвы; График 5/2; Даем все, что нужно для успешной работы: дополнительные мониторы, мощное железо, компенсируем расходы на мобильную связь;  Полностью белая конкурентная заработная плата;  Пакет льгот для сотрудников от наших партнеров: ДМС, скидки на фитнес, льготное кредитование и страхование; Дружная команда профессионалов и возможности карьерного роста. ";Создание wireframes. Создание прототипов с точностью low-fidelity и high-fidelity. Прототипирование web/desktop и мобильных приложений. Проектирование адаптивного интерфейса...;Опыт работы в графических редакторах: Adobe Photoshop, Sketch и т.п. Знание гайдлайнов мобильных приложений на базе iOS, Android, Windows...;;
111;111;UX/UI дизайнер;Москва;;;ОТП Банк, АО (OTP bank);2019-12-01;3;От 3 до 6 лет;Полная занятость;Полный день;"В нашу agile команду требуется UX/UI дизайнер, чтобы делать вместе с нами интересные проекты. У тебя есть отличная возможность поучаствовать в digital-трансформации Банка и получить уникальный опыт построения проектов нуля.Первая встреча предполагает техническое интервью с максимально быстрой обратной связью. Что тебя ждет:  Анализ, разработка и оптимизация интерфейсных решений в приложениях / системах для оформления комиссионных продуктов сотрудниками банка, агентами, клиентами. Анализ рынка и конкурентов, обследование потребностей клиентов, изучение клиентского опыта. Создание интерактивных прототипов, разработка сценариев использования приложений, проведение коридорного тестирования, проектирование интерфейсов.  Что мы ценим:  Приветствуется опыт разработки и внедрения фронт-приложений для продажи; Формирование ScreenFlow; Моделирование пользовательского поведения; Приветствуется понимание HTML, JS.  Что мы предлагаем:  Реализация своего профессионального потенциала в крупном современном Банке; Привлекательные финансовые условия; Дополнительные интересные бенефиты; Возможность расти и развиваться; Гибкое начало рабочего дня; ";Анализ, разработка и оптимизация интерфейсных решений в приложениях / системах для оформления комиссионных продуктов сотрудниками банка, агентами, клиентами. Анализ рынка и...;Приветствуется опыт разработки и внедрения фронт-приложений для продажи. Формирование ScreenFlow. Моделирование пользовательского поведения. Приветствуется понимание HTML, JS.;;"HTML;ScreenFlow"
367;367;UX/UI дизайнер;Санкт-Петербург;;;The AnyLogic Company;2019-11-13;21;От 3 до 6 лет;Полная занятость;Полный день;"Мы, команда разработчиков AnyLogic, гордимся нашим продуктом. AnyLogic уже является технологическим лидером на мировом рынке инструментов моделирования. Решения AnyLogic используются в сотнях компаний, включая такие гиганты, как General Electric, Ford, Panasonic, Rolls Royce и Google. Вместе с тем, как и многие разработчики, мы хотим создать лучшую версию нашего продукта, и сейчас у нас есть такая возможность! Мы начинаем работать над новым поколением нашего продукта. Сейчас в нашу команду мы ищем UX/UI. Что для нас важно?  опыт в проектировании сложных функциональных интерфейсах от 3 лет; желание разобраться в сложном продукте; умение прототипировать, презентовать и аргументировать свои решения; знание инструментов прототипирования; высокий уровень английского языка (готовность использовать в работе).  Почему стоит выбрать нашу вакансию?  возможность создания с «0» новый дизайн успешного продукта; возможность внедрять самые новые и современные идеи в интерфейсы продукта; использование своего опыта для реализации сложной логики.  Плюс у нас хорошие условия:  конкурентная зарплата, бонусы и система бенефитов (спорт, обучение и другое); ДМС (после испытательного срока); кофе, чай, фрукты, печеньки; регулярные корпоративные мероприятия и корпоративные поездки по всему миру (2011 год - Бразилия и Аргентина; 2014 год - Австралия и Вануату; 2015 год - Коста-Рика; 2016 год - Камчатка; 2017 год - Бали; 2018 год - Южная Африка, Замбия и Ботсвана, 2019 год - Чили). ";Возможность создания с «0» новый дизайн успешного продукта.;Опыт в проектировании сложных функциональных интерфейсах от 3 лет. Желание разобраться в сложном продукте. Умение прототипировать, презентовать и аргументировать свои...;;"Прототипирование;Английский язык;UI;Креативность;Управление временем;Проектирование пользовательских интерфейсов;Дизайн интерфейсов;UX"
804;804;UX/UI дизайнер;Санкт-Петербург;;;ТаймВэб;2019-12-03;1;От 3 до 6 лет;Полная занятость;Полный день;"Хостинг-провайдер Timeweb работает на рынке с 2006 года и в настоящий момент помогает более 150 000 клиентам, обслуживая более 420 000 сайтов. Нашими основными продуктами являются: - Виртуальный хостинг- VDS- Домены- Выделенные серверы Мы считаем, что работа в любой сфере деятельности должна вносить ценность и смысл в жизни людей. Именно поэтому команда Timeweb состоит из лучших профессионалов отрасли, любящих свою работу и желающих помогать людям реализовывать свои цели с помощью наших услуг, меняя мир вокруг. В данный момент мы находимся в поиске Дизайнера интерфейсов. Чем вы будете заниматься:  Решать много сложных и интересных задач по доработке и усовершенствованию существующих продуктов; Создавать новые продукты; Разрабатывать концепции и проектировать веб интерфейсы, как UI так и UX.  Что мы ждем от вас:  Умение работать с инструментами прототипирования (Sketch / Figma) Общее понимание процесса разработки веб продуктов; Умение аргументировать свою точку зрения и принимать на себя ответственность за решения.  Для Вас будет преимуществом:  Опыт работы в команде разработчиков  Мы предлагаем:  Гибкое начало рабочего дня; Официальное трудоустройство и белую заработную плату  Мы всячески приветствуем Здоровый образ жизни и предоставим Вам: оплачиваемые обеды на любой вкус (от вегетарианских предпочтений до домашней кухни); компенсацию Ваших спортивных занятий; ДМС; уютную кухню с вкусными сортами чая и ароматным кофе, молоком и фруктами; комнату отдыха с настольным теннисом и турником.";Решать много сложных и интересных задач по доработке и усовершенствованию существующих продуктов. Создавать новые продукты. Разрабатывать концепции и проектировать веб...;Умение работать с инструментами прототипирования (Sketch / Figma). Общее понимание процесса разработки веб продуктов. Умение аргументировать свою точку зрения и принимать...;;"UX;UI;Веб-дизайн;Web-дизайн;Дизайн интерфейсов;Прототипирование"
