;Unnamed: 0;name;area;min_salary;max_salary;employer;created_at;days_passed;experience;employment;schedule;description;responsibility;requirement;conditions;key_skills
1322;1322;Java developer;Санкт-Петербург;100000.0;120000.0;Москапстрой;2019-12-01;3;От 1 года до 3 лет;Полная занятость;Полный день;"В одно из подразделений одной из ведущих инжиниринговых строительных компаний России приглашается Java developer Что нужно будет делать: Принимать участие в разработке программного продукта автоматизации бизнес-процессов проектного управления с отраслевой &quot;заточкой&quot; под строительство. Например, автоматизировать процессы планирования, контроля за исполнением работ, процессов согласования и утверждения документации и т.д... Сам проект разрабатывается на CUBA.platform - Java фрэймворк, бэк которого пишется на Spring. Наши основные ожидания:  У тебя за плечами опыт разработки 1-3 года Ты имеешь знания и опыт работы со Spring, Maven, Git, любой трекер задач Технический английский Понимаешь зачем нужен DevOPS  Предпочтения отдадим если:  Ты знаешь и имел опыт разработки на JS или Vaadin. Имел дело с CUBA.platform. Знаком с BPMN.  Наши условия:  Комфортабельный офис в Санкт-Петербурге (метро Ладожская); Белая ЗП (зарплатная вилка 100-120 тыс, зависит от уровня) Официальное трудоустройство по ТК, соц.пакет Дресс-код свободный График 5/2 и минимум бюрократии ";"Принимать участие в разработке программного продукта автоматизации бизнес-процессов проектного управления с отраслевой &quot;заточкой&quot; под строительство. Например, автоматизировать процессы планирования...";У тебя за плечами опыт разработки 1-3 года. Ты имеешь знания и опыт работы со Spring, Maven, Git, любой...;;"Git;Spring Framework;Java;Apache Maven;Управление проектами"
455;455;Java developer;Москва;;;EPAM Systems, Inc.;2019-11-26;8;От 1 года до 3 лет;Полная занятость;Полный день;"Добрый день, будущий коллега! Java команда EPAM активно растет в связи с тем, что увеличивается количество проектов и задач у нашей компании (да, это действительно так)! Мы берем людей в компанию, а не под конкретный проект, но, наверняка, вам интересно, какие возможности у вас есть. На данный момент наибольшая потребность в Java разработчиках есть в следующих Business Units:    General Software Engineering (end-to-end solutions для нужд конкретного заказчика: полный цикл, начиная с задумки будущей системы, заканчивая внедрением готового продукта); Digital Engagement Practice (решения по управлению контентом для медиа-холдингов, банков, биржевых и торговых площадок, а также разработка модулей и интеграция e-commerce платформ для ритейлеров федерального уровня); Big Data Competency Center (талантливых core java разработчиков мы рады обучить big data технологиям).  У каждого проекта своя специфика, но в большинстве из них мы используем следующий технологический стек:  Java 8,9,11; Spring (Boot/ Cloud/ Data/ Integration/ Security); JPA / Hibernate / JDBC; RESTful WS / SOAP; Apache Tomcat / JBoss WildFly; Docker /Kubernetes/ Openshift; MySQL / MS SQL / Oracle / MongoDB. В зависимости от проекта, могут использоваться специфические технологии, такие как Google Guava, Hazelcast, Apache Felix, Apache Solr, Apache Camel, BigData, Hadoop, например. Также, где-то нам нужен увлеченный back-end разработчик, а где-то универсальный full-stack. Методология разработки: Scrum, реже Kanban, очень редко Waterfall. Положительно относимся к своевременному тестированию кода, используем unit-tests, TDD, BDD. Также, для нас очень важен ваш уровень владения английским языком, так как подавляющее большинство наших заказчиков находятся в Северной Америке и Европе. Часто команды разработки распределенные. Поэтому мы будем рады, если вы владеете английским на уровне от Intermediate и выше.  После того, как Вы откликнетесь, как правило, Вас ждет несколько этапов:  HR интервью по Skype / по телефону; техническое интервью; интервью с ресурсным менеджером; надеемся, что Job Offer :)  Обычно эти этапы занимают от недели до двух. Как понять, подходите ли Вы нам?  У вас от 2-х (Middle) от 3-х (Senior) от 4- х (Lead) лет опыта в Java разработке (мы заинтересованы в специалистах уровня Middle/Senior и Lead); Вы владеете большинством из перечисленных технологий; Вы считаете, что неплохо владеете английским, можете письменно и устно донести свои мысли до собеседника; Вы не стоите на месте, увлечены программированием, но при этом цените себя как специалиста и собственный комфорт.  Почему стоит идти к нам работать?  Проекты разнообразные и интересные, возможность применить свои знания и опыт в разных сферах; Мы с удовольствием передаем наш опыт и знания (есть даже специальные Центры Компетенций); Абсолютное большинство наших заказчиков находится в США и Европе, а это означает последние тренды в мире разработки и распределенные команды, а также возможность релокации за рубеж; Возможность прозрачного (!) роста и развития в одном из направлений: development, architecture или people/project management; У нас есть все плюшки и бонусы, присущие современным IT компаниям: начиная с ДМС и фитнеса, заканчивая курсами английского на базе компании и наличием в офисе Relax room. ";Digital Engagement Practice (решения по управлению контентом для медиа-холдингов, банков, биржевых и торговых площадок, а также разработка модулей и...;JPA / Hibernate / JDBC. RESTful WS / SOAP. MySQL / MS SQL / Oracle / MongoDB. У вас от 2-х (Middle) от 3-х...;;"Java;Spring Framework;Hibernate ORM;Oracle Pl/SQL;PostgreSQL;Apache Tomcat;Apache Maven;Atlassian Jira;Java Servlets;Java EE;Java SE;Agile Project Management"
708;708;Java developer;Москва;;;Бизнес солюшинс лаб;2019-12-02;2;От 1 года до 3 лет;Полная занятость;Полный день;"Компания BS lab — это опыт решения IT задач любой сложности. Мы уже запустили несколько собственных успешных проектов в сфере авиаобслуживания, такси, деливери и др, и теперь готовы помочь другим компаниям в создании самых разных сервисов — от веб-сайтов до сложных highload проектов.Среди наших партнеров и клиентов — крупные российские компании в авиационном, банковском и ритейл секторе, а также европейские партнеры. Обладаем широкой экспертизой в разработке B2B решений. Задачи:  Разработка backend части для web-приложения; Взаимодействие с разными командами разработки, Data Science, QA и др.; Разработка архитектуры, оценка старого и создание нового.  Требования:  Отличные знания Java;   Знание основных методологий (Agile, DevOps и т.п.) разработки программного обеспечения; Знания Spring и Spring Boot, Docker и Groovy Умение использовать различные инструменты для тестирования кода и приложений различной сложности. JUnit, Spock, Testcontainers; Хорошие знания о работе unix-систем; Знание принципов и шаблонов проектирования; Опыт командной разработки (с использованием Confluence, Jira); Git.  Условия:   Возможность прокачки hard&amp;soft skills на проектах разного уровня сложности;   Индивидуальный подбор оборудования для комфортной работы;   Работа в команде молодых профессионалов, готовых делиться опытом и знаниями;   Самореализация и профессиональный рост, посещение конференций и курсов за счет компании. Расскажите нам о своей профессиональной мечте, возможно, мы поможем вам воплотить ее в жизнь;   Стабильная «белая» заработная плата, трудоустройство по ТК РФ;   Корпоративные мероприятия (будем рады вашему желанию стать частью нашей волейбольной/футбольной команды).  ";Разработка backend части для web-приложения. Взаимодействие с разными командами разработки, Data Science, QA и др.. Разработка архитектуры, оценка старого...;Отличные знания Java. Знание основных методологий (Agile, DevOps и т.п.) разработки программного обеспечения. Знания Spring и Spring Boot, Docker...;;"Java;Spring Framework;Git;Atlassian Jira;Agile Project Management"
1517;1517;Java developer;Санкт-Петербург;;;Дримкас;2019-12-02;2;От 1 года до 3 лет;Полная занятость;Полный день;Добро пожаловать в компанию «Дримкас»! Мы делаем онлайн-кассы и облачные сервисы для автоматизации торговли. У нас ты сможешь быстро прокачаться в новых технологиях и продуктах. Здесь ты узнаешь, что касса давно умеет гораздо больше, чем печатать чеки. Узнаешь, как предприниматель в реальном времени из любой точки мира управляет магазином и следит за выручкой на свой кассе. Вместе с командой ты будешь выбирать и внедрять технологии для проектов и создавать новые фичи. Ты сможешь непосредственно влиять на развитие продукта и развиваться сам. Команда работает итерациями, релиз каждые две недели – скучно не будет! Приглашаем в нашу команду инженера-программиста Java Нужные навыки:  Отличные знания Java SE 8 Знакомы с Kotlin и следите за развитием этой технологии Hibernate SQL (Postgres) Spring (IoC, Data) Spring Boot (WEB) Web (CSS, HTML, JS) Linux (CentOS, Ubuntu) Docker GIT Твердо уверены в том, что только полностью покрытый тестами код может считаться завершенным  Чем будем заниматься:  Разработкой кассового ПО Интеграцией ПО с внешними устройствами (весы, сканер, банковский терминал) Интеграцией SaaS-сервисов с кассами Поддержкой и актуализацией разработанных решений  У нас:  Возможности профессионального развития и роста Интересные продукты и проекты, на результат которых влияете вы Самоорганизующиеся команды ДМС со стоматологией Работа в новом офисе в 10-15 минутах ходьбы от метро «Петроградская» или «Чкаловская»  Почему у нас здорово:  Множество возможностей профессионального развития и роста: оплачиваем курсы, конференции и книги Ваша зарплата привязана к системе грейдов, основанной на прозрачной оценке знаний разработчика Работаем по Agile, а именно – Scrum Гибкое начало рабочего дня, демократичная, творческая атмосфера ;Разработкой кассового ПО. Интеграцией ПО с внешними устройствами (весы, сканер, банковский терминал). Интеграцией SaaS-сервисов с кассами. Поддержкой и актуализацией...;Отличные знания Java SE 8. Знакомы с Kotlin и следите за развитием этой технологии. Hibernate. SQL (Postgres). Spring (IoC, Data). ;;"Java;Git;MySQL;PostgreSQL;Spring Framework;Linux"
1731;1731;Java developer;Москва;;;Datafolks;2019-12-02;2;От 1 года до 3 лет;Полная занятость;Удаленная работа;"Компания Datafolks в связи с расширением приглашает в свою команду java-разработчиков для работы над новым проектом. Требования:  Уверенное знание технологий: Java, Spring (Boot, Core, MVC, JdbcTemplate), PostgreSQL; Умение работать в команде, стремление к качеству, нацеленность на результат; Готовность приехать в московский офис заказчика для интеграции продукта на мощностях заказчика.  Желательно:  Java 11, PostgreSQL 11, Spring Boot 2.1.8, RestFull. Уровень владения английским языком от “Intermediate”;  Мы предлагаем:  Интересную работу в дружной команде профессионалов; Широкие возможности для карьерного и профессионального роста; Возможность удаленной работы; Конкурентную заработную плату (размер обсуждается индивидуально по итогам собеседования). ";;Уверенное знание технологий: Java, Spring (Boot, Core, MVC, JdbcTemplate), PostgreSQL. Умение работать в команде, стремление к качеству, нацеленность на результат. ;;"Java;PostgreSQL;Spring Framework;RestFull"
1907;1907;Java developer;Москва;;;Ростелеком Информационные Технологии;2019-11-12;22;От 3 до 6 лет;Полная занятость;Полный день;"Наша команда создает крупнейший в России IPTV/OTT сервис Интерактивного ТВ, с общим числом пользователей, превышающим 10 миллионов, значительным потенциалом роста и обширной географией. Сейчас мы ищем в нашу команду разработчика, который будет участвовать в разработке высоконагруженного backend для крупнейшего в России сервиса IP телевидения. Обязанности:  Работа с высоконагруженным проектом, имеющим установки во всех регионах РФ; Активное участие в проектах по внедрению и развитию IT-сервисов в компании; Внедрение современных фреймворков и технологий; Участие в процессе найма, проведение собеседований; Формирование слаженной команды, уточнение процессов и стандартов разработки; Проведение code review; Оценка задач по срокам выполнения, а также декомпозиция задач;  Требования:  Опыт работы от 2-х лет; Понимание принципов масштабируемой архитектуры; Уверенные знания Java; Уверенные знания SQL; Знание командной строки Linux (bash); Понимание SOAP, REST, а также опыт работы с XML, JSON; Умение разбираться в чужом коде, писать чистый и понятный код для других разработчиков;  Будет плюсом:  Разумный консерватизм; Жадность к тестам; Навыки работы с Docker, Puppet, Chef, Gitlab CI/DI, Nginx; Опыт оптимизации пулов соединений с базами данных, использования памяти, скорости выполнения приложений; Умение в случае необходимости работать одновременно с несколькими задачами/направлениями; Высшее техническое образование; Английский язык на уровне чтения технической литературы.  Условия:  Отличная команда Офис в центре города, 5 минут от метро Павелецкая\Новокузнецкая\Третьяковская Белая заработная плата + премии Компенсационный пакет с возможностью выбора льгот Гибкий график, иногда можно работать из дома Железо и необходимое ПО на выбор Поездки на профильные конференции Чай/кофе/печеньки/фрукты.   ";Работа с высоконагруженным проектом, имеющим установки во всех регионах РФ. Активное участие в проектах по внедрению и развитию IT-сервисов...;Опыт работы от 2-х лет. Понимание принципов масштабируемой архитектуры. Уверенные знания Java. Уверенные знания SQL. Знание командной строки Linux...;;
1993;1993;Java developer;Санкт-Петербург;;;СПбИАЦ;2019-11-26;8;От 1 года до 3 лет;Полная занятость;Полный день;"«Санкт-Петербургский Информационно-аналитический центр» 38 лет работает над улучшением качества жизни людей путем автоматизации городских процессов и государственных органов. В нашей команде работают 600 профессионалов. В портфолио компании 50 действующих проектов в Санкт-Петербурге и других регионах. Наши проекты побеждают в общероссийских и международных конкурсах. Для работы в проекте &quot;Межведомственная автоматизированная информационная система предоставления в Санкт-Петербурге государственных и муниципальных услуг (МАИС ЭГУ)&quot; нам требуется java-разработчик. Отсутствие опыта работы с какими-либо технологиями может быть компенсировано желанием работать, повышать свой уровень и уровень реализуемых решений. Работы много, скучать не придется. Обязанности:   Разработка веб-приложений и программных компонентов в сфере оказания Государственных электронных услуг Реализация интеграционных решений  Требования:  Успешный опыт разработки Java-приложений от 1 года Понимание принципов ООП и грамотное их применение Знание основных алгоритмов, структур данных, шаблонов проектирования Знание Java 8, Spring Framework, Hibernate Опыт работы c Tomcat/GlassFish  Ваши дополнительные преимущества:  Опыт работы с Oracle, PostgreSQL Знакомство с современной фронтенд-разработкой (JavaScript, jQuery, Backbone, Marionette.js) Знание git  Мы готовы предложить успешным кандидатам:  влиться в большой дружный коллектив, стать частью команды увлеченных, целеустремленных людей; уровень зарплаты обсуждается индивидуально с каждым кандидатом и зависит от Вашего уровня профессионального мастерства; рост заработной платы, соразмерный Вашему вкладу в результат; оплачиваемые переработки, бонусы и премии по результатам работы и по окончанию года; оформление по ТК РФ, официальная заработная плата дважды в месяц, полис ДМС; рабочий график – понедельник-пятница, с 9 до 18 часов; офис около ст. метро «Обводный канал»; возможность внести свой значимый вклад в развитие городской автоматизации!   ";Разработка веб-приложений и программных компонентов в сфере оказания Государственных электронных услуг. Реализация интеграционных решений.;Успешный опыт разработки Java-приложений от 1 года. Понимание принципов ООП и грамотное их применение. Знание основных алгоритмов, структур данных...;;"Java;Spring Framework;Git;Hibernate ORM"
