;Unnamed: 0;name;area;min_salary;max_salary;employer;created_at;days_passed;experience;employment;schedule;description;responsibility;requirement;conditions;key_skills
23;23;DevOps инженер;Москва;;150000.0;Артлоджик;2019-12-01;3;От 1 года до 3 лет;Полная занятость;Удаленная работа;"Если ты опытный DevOps инженер мы приглашаем тебя в команду разработки Pooling.me. Pooling.me — это уникальный сервис, который меняет рынок коммерческих грузоперевозок в России. На площадке Pooling.me производители товаров могут объединяться при доставке своих товаров и за счет этого экономить до 30%. Как BlaBlaCar, только в логистике. Pooling.me несет огромную ценность для своих клиентов, и в пользу этого говорят цифры - за первые полгода работы площадки к нам подключилось более 100 компаний, среди которых многие крупнейшие бренды (Johnson&amp;Johnson, Loreal, Bacardi, Colgate и прочие). Еженедельно через площадку отгружается более 150 машин. Показатель оттока клиентов составляет менее 2% - попробовав работать на площадке один раз, компании делают это регулярно. Благодаря нам небольшие производители товаров получают возможность доставлять свои товары в другие регионы и повышать продажи. Ежедневно наши системы обрабатывают сотни перевозок и обеспечивают взаимодействие отделов логистики, складов, транспортных компаний и клиентов наших заказчиков. Благодаря продуктам Artlogic наши заказчики экономят сотни тысяч рублей, полностью контролируют свою логистику и обеспечивают высокий уровень клиентского сервиса. Мы ждем от тебя:   Практический опыт администрирования Linux, Windows   Понимание процессов CI/CD, опыт их реализации на Jenkins/TeamCity/Gitlab Runner   Умение обращаться с системами мониторинга (Prometheus, Grafana, Zabbix) и логирования (ElasticSearch + Kibana)   Опыт работы с базами данных (MSSQL, PostgreSQL, MySQL, MongoDB)   Опыт работы с экосистемой Docker (OpenShift, Kubernetes)   Опыт балансировки нагрузки (Nginx)   Владение bash, powershell   Мы предлагаем:  Работа в офисе (напротив Москва-сити) или удаленно Дружный коллектив, отсутствие бюрократии, встречи всей командой в Москве раз в год Гибкий график Оплачиваемый отпуск и больничный Agile, ретроспективы, все по правилам.  В процессе работы ты будешь заниматься следующими задачами:   Построение инфраструктуры и обеспечение её бесперебойной работы   Эксплуатация, мониторинг production-систем   Внедрение и поддержка CI/CD-процессов   Участие в оптимизации существующих и проектировании новых технических решений   Помощь разработчикам в развертывании веб-проектов  ";Построение инфраструктуры и обеспечение её бесперебойной работы. Эксплуатация, мониторинг production-систем. Внедрение и поддержка CI/CD-процессов. Участие в оптимизации...;Практический опыт администрирования Linux, Windows. Понимание процессов CI/CD, опыт их реализации на Jenkins/TeamCity/Gitlab Runner. Умение обращаться с...;;"Linux;Jenkins;TeamCity;Zabbix;MS SQL;PostgreSQL;MySQL;MongoDB;Nginx"
772;772;DevOps инженер;Москва;;;Ventra;2019-11-05;29;От 3 до 6 лет;Полная занятость;Полный день;"В одной из крупнейших торговых сетей открыта вакансия DevOps инженера. Основные задачи:  Активное участие в формировании архитектуры Dev Ops решения, дорожной карты его развития Разработка и внедрение CI/CD решения для Digital Platform. Развитие решения CI/CD, интеграция сервисов автоматизации уведомления, постановки задач, мониторинга, тестирования и проверки кода. Участие в проектных обследованиях со стороны Dev Ops экспертизы.    Мы ожидаем от вас:  Практические знания и опыт в построении архитектуры, разработке и внедрении CI/CD решений. Уверенное владение Dev Ops инструментами сборки и развертывания (Jenkins, Gradle, CDN, Jboss EAP) и опыт интеграции и настройки в CI/CD процесс инструментов контроля и тестирования (Sonar, Selenium, Zabbix, Jira и тд) Опыт развертывания и управления инфраструктурой, в том числе облачной Технический английский Почему мы?   Официальное трудоустройство в соответствии с ТК РФ (полностью &quot;белая&quot; заработная плата, ежегодный оплачиваемый отпуск и пр.); Условия оплаты труда - фиксированный оклад, уровень дохода обсуждается на собеседовании; График работы - 5/2; Место работы - офис рядом со ст.м. Нахимовский проспект; Столовая для сотрудников в здании офиса. ";Активное участие в формировании архитектуры Dev Ops решения, дорожной карты его развития. Разработка и внедрение CI/CD решения для Digital...;Практические знания и опыт в построении архитектуры, разработке и внедрении CI/CD решений. Уверенное владение Dev Ops инструментами сборки и...;;
1458;1458;DevOps инженер;Москва;;;ANCOR FinTech;2019-11-05;29;От 1 года до 3 лет;Полная занятость;Полный день;"В крупнейший банк - Топ 3, ищем Senior devops инженеров на проект развития продуктов потребительского кредитования. Работа в кросс-платформенных командах по методологии SCRUM. Обязанности:  развертывание нового банковского программного обеспечения; внедрение доработок и установка исправлений на существующее банковское ПО.  Требования:  опыт работы не менее 2-х лет в области сопровождения или внедрения банковского обеспечения; опыт работы с базами данных Oracle,серверами приложений WebLogic/Tomcat/WebSphere; знакомство с инструментами DevOps-openshift, Docker, Ansible, Git.  Условия:  трудоустройство согласно Законодательству; конкурентная заработная плата; профессиональное обучение и развитие; добровольное медицинское страхование, льготные условия кредитования; корпоративная пенсионная программа, материальная помощь; спортивная жизнь и корпоративные мероприятия; возможность построить карьеру в ведущем банке России. Территориальное расположение: г. Москва, м. Кузнецкий Мост.   ";Развертывание нового банковского программного обеспечения. Внедрение доработок и установка исправлений на существующее банковское ПО.;Опыт работы не менее 2-х лет в области сопровождения или внедрения банковского обеспечения. Опыт работы с базами данных Oracle...;;"ORACLE;Docker;Kubernetes;Ansible"
1915;1915;DevOps инженер;Москва;;;Сбербанк;2019-11-22;12;От 3 до 6 лет;Полная занятость;Полный день;"  В Департамент фронтальных компонентов открыта позиция DevOps инженера. О продукте: Модуль платформы Единой фронтальной системы, отвечающий за конфигурацию маршрутизации и маршрутизацию пользователей на целевые блоки платформы. Компоненты модуля разработаны на Java. Используется библиотеки Spring, JAX-RS. В качестве базы данных Oracle с некоторым количеством PL/SQL процедур. Обязанности:  Развертывать и поддерживать CI/CD на основе BitBucket и Jenkins; Контейнеризовывать всё, что не контейнеризовано; Развертывать и поддерживать dev и production кластеры; Конфигурировать всесторонний мониторинг среды; Поддерживать и развивать серверную инфраструктуру; Управлять небольшой командой DevOps-инженеров и системных администраторов.  Требования:  Отличное знание Linux, bash; Опыт работы с Ansible; Знание и применение на практике актуальных концепций CI/CD (GitFlow, jenkins pipelines, etc.); Наличие за плечами контейнеризованных приложений и задач, опыт работы с Docker, Kubernetes, Openshift; Понимание принципа Infrastructure as code и успешное его применение с любой из систем управления конфигурациями; Умение организовать мониторинг и сбор метрик для контроля состояния среды; Опыт работы с SQL базами данных, понимание схемы работы БД, умение написать простейшие DML/DDL SQL запросы; Стремление к автоматизации рутинных процессов на python/shell/ruby/go/etc.  Условия:  Официальное оформление, согласно ТК РФ; По З/П ориентируемся на финансовые пожелания успешного кандидата; Бесплатный фитнес-зал с душевыми кабинами и сауной, настольные игры на этажах; ДМС, страхование от несчастных случаев, социальные гарантии, корпоративные мероприятия; Сниженные ставки по кредитованию, программы лояльности для сотрудников; ";Развертывать и поддерживать CI/CD на основе BitBucket и Jenkins. Контейнеризовывать всё, что не контейнеризовано. Развертывать и поддерживать dev и...;Отличное знание Linux, bash. Опыт работы с Ansible. Знание и применение на практике актуальных концепций CI/CD (GitFlow, jenkins pipelines...;;
