;Unnamed: 0;name;area;min_salary;max_salary;employer;created_at;days_passed;experience;employment;schedule;description;responsibility;requirement;conditions;key_skills
733;733;Автор по информационной безопасности;Воронеж;30000.0;;Ворк;2019-11-17;17;Нет опыта;Частичная занятость;Удаленная работа;Work5 помогает студентам, когда нужно сделать все строго по методичке и успеть в срок.   Кому подходит работа автором Есть законченное высшее образование? У Вас свободный доступ в интернет — не проблема? Попробуйте себя в новом амплуа, если хоть что-то из этого можно сказать о Вас:   грамотный,   дотошный,   исполнительный,   ответственный,   умеете укладываться в дедлайн.   Мы предлагаем:   Задания на выбор.   Дополнительный доход, зависящий от Ваших умений.   Свободный график.   Работать удаленно у нас — прибыльно   Всегда много новых заказов.   Оплата стабильно раз в 2 недели.   Бонус за выполненные работы.   Как стать автором Сдав тест, Вы становитесь нашим автором и можете откликаться на заказы по своей тематике. Если Вы кандидат или доктор наук‚ тестирование проходить не нужно. Просто пришлите скан диплома с подтверждением Вашей степени. Делайте то, что нравится, в удобном для Вас графике и получайте дополнительный доход, работая с Work5.  ;Кому подходит работа автором. Всегда много новых заказов. Как стать автором.;Есть законченное высшее образование? У Вас свободный доступ в интернет — не проблема? Попробуйте себя в новом амплуа, если хоть что...;;"Пользователь ПК;Грамотность;Грамотная речь"
1454;1454;Автор по информационной безопасности;Иркутск;30000.0;;Ворк;2019-11-17;17;Нет опыта;Частичная занятость;Удаленная работа;Work5 помогает студентам, когда нужно сделать все строго по методичке и успеть в срок.   Кому подходит работа автором Есть законченное высшее образование? У Вас свободный доступ в интернет — не проблема? Попробуйте себя в новом амплуа, если хоть что-то из этого можно сказать о Вас:   грамотный,   дотошный,   исполнительный,   ответственный,   умеете укладываться в дедлайн.   Мы предлагаем:   Задания на выбор.   Дополнительный доход, зависящий от Ваших умений.   Свободный график.   Работать удаленно у нас — прибыльно   Всегда много новых заказов.   Оплата стабильно раз в 2 недели.   Бонус за выполненные работы.   Как стать автором Сдав тест, Вы становитесь нашим автором и можете откликаться на заказы по своей тематике. Если Вы кандидат или доктор наук‚ тестирование проходить не нужно. Просто пришлите скан диплома с подтверждением Вашей степени. Делайте то, что нравится, в удобном для Вас графике и получайте дополнительный доход, работая с Work5.  ;Кому подходит работа автором. Всегда много новых заказов. Как стать автором.;Есть законченное высшее образование? У Вас свободный доступ в интернет — не проблема? Попробуйте себя в новом амплуа, если хоть что...;;"Пользователь ПК;Грамотность;Грамотная речь"
1659;1659;Автор по информационной безопасности;Новосибирск;30000.0;;Ворк;2019-11-17;17;Нет опыта;Частичная занятость;Удаленная работа;Work5 помогает студентам, когда нужно сделать все строго по методичке и успеть в срок.   Кому подходит работа автором Есть законченное высшее образование? У Вас свободный доступ в интернет — не проблема? Попробуйте себя в новом амплуа, если хоть что-то из этого можно сказать о Вас:   грамотный,   дотошный,   исполнительный,   ответственный,   умеете укладываться в дедлайн.   Мы предлагаем:   Задания на выбор.   Дополнительный доход, зависящий от Ваших умений.   Свободный график.   Работать удаленно у нас — прибыльно   Всегда много новых заказов.   Оплата стабильно раз в 2 недели.   Бонус за выполненные работы.   Как стать автором Сдав тест, Вы становитесь нашим автором и можете откликаться на заказы по своей тематике. Если Вы кандидат или доктор наук‚ тестирование проходить не нужно. Просто пришлите скан диплома с подтверждением Вашей степени. Делайте то, что нравится, в удобном для Вас графике и получайте дополнительный доход, работая с Work5.  ;Кому подходит работа автором. Всегда много новых заказов. Как стать автором.;Есть законченное высшее образование? У Вас свободный доступ в интернет — не проблема? Попробуйте себя в новом амплуа, если хоть что...;;"Пользователь ПК;Грамотность;Грамотная речь"
