;Unnamed: 0;name;area;min_salary;max_salary;employer;created_at;days_passed;experience;employment;schedule;description;responsibility;requirement;conditions;key_skills
103;103;Тестировщик ПО;Казань;37000.0;63000.0;Тензор;2019-11-21;13;Нет опыта;Полная занятость;Полный день;"Тензор – крупная российская IT-компания. Наш основной продукт – СБИС – сеть деловых коммуникаций. СБИС объединяет людей и компании, системы управления и учета, бизнес-процессы и документы в одной системе. Мы постоянно выпускаем новые продукты и обновляем сервисы. Это стало возможным благодаря усилиям большой команды талантливых и инициативных людей. В их числе 300 специалистов по тестированию – они отвечают за качество сервисов. Присоединившись к нашей команде, у вас будет возможность усовершенствовать систему СБИС. Результатом вашей работы будут пользоваться более миллиона людей – на компьютерах, планшетах и смартфонах. Для успешной работы вам потребуется:  знание фундаментальных основ тестирования ПО; желание развиваться в области тестирования.  Вам предстоит:  Создавать и поддерживать в актуальном состоянии тестовую документацию; Тестировать наши сервисы; Документировать обнаруженные ошибки и контролировать их исправление разработчиками  Мы предлагаем:  заработную плату в зависимости от квалификации и уровня ответственности; премии от 5 до 20% по итогам работы за месяц; корпоративное обучение; перспективы карьерного и профессионального роста; корпоративные праздники и различные совместные мероприятия.   ";Создавать и поддерживать в актуальном состоянии тестовую документацию. Тестировать наши сервисы. Документировать обнаруженные ошибки и контролировать их исправление разработчиками.;Знание фундаментальных основ тестирования ПО. Желание развиваться в области тестирования.;;
1701;1701;Тестировщик ПО;Москва;80000.0;;Финсервис;2019-12-03;1;От 1 года до 3 лет;Полная занятость;Полный день;"Коротко о нас: Мы являемся разработчиком и правообладателем ведущей на рынке POS-кредитования платформы – Poslogic. Платформа интегрирована со всеми банками-лидерами в данном сегменте и позволяет оптимизировать процессы, связанные с выдачей потребительских кредитов, увеличивать выручку торговых организаций и удовлетворять любые запросы клиентов. Стремление создать лучший сервис для наших партнеров и ориентация на активное развитие по всей России позволяют нам занимать лидирующие позиции на рынке POS-кредитования. На сегодняшний день компания имеет офисы в Москве, Санкт-Петербурге, Казани, Екатеринбурге, Новосибирске, Владивостоке, Краснодаре и других южных регионах страны. Технологический стек - Ruby On Rails, MongoDB, Elasticsearch, ReactJS, Kubernetes, Docker.   На данный момент у нас открыта позиция Тестировщика на ручное тестирование. В перспективе переход на автотестирование.    Какие задачи выполняет Тестировщик: Разрабатывает планы, графики, методики и описания тестирования. Моделирует ситуации, которые могут возникнуть в условиях эксплуатации программного обеспечения. Выполняет тестирование программных продуктов. Составляет документацию для проведения функционального тестирования. Участвует в проведении опытных эксплуатаций программных продуктов. Анализирует результаты, полученные во время прохождения тестов. Классифицирует выявленные ошибки и заносит их в базу данных для текущего программного продукта. Контролирует процесс ликвидации выявленных ошибок разработчиком ПО. Требования: Опыт работы на позиции тестировщика от 1 года. Желание развиваться в области автоматизации тестирования. Условия: График работы: 5/2 Современный комфортабельный офис м. Тульская (10 минут пешком от метро). Работа в офисе. &quot;Белая&quot; заработная плата - от 80 тыс. рублей нет. ДМС со стоматологией после испыт. срока.  ";Разрабатывает планы, графики, методики и описания тестирования. Моделирует ситуации, которые могут возникнуть в условиях эксплуатации программного обеспечения. Выполняет тестирование программных...;Опыт работы на позиции тестировщика от 1 года. Желание развиваться в области автоматизации тестирования.;;
240;240;Тестировщик ПО;Москва;;;ЭЛЕКТРОННЫЕ ОФИСНЫЕ СИСТЕМЫ;2019-11-19;15;От 1 года до 3 лет;Полная занятость;Полный день;Обязанности:  Тестирование ПО, разрабатываемого компанией.  Требования:  Опыт ручного тестирования от 6 мес. Опыт работы с технической и пользовательской документацией. Навыки оформления ошибок, навыки создания тестовых сценариев. Необходимо умение и желание работать в команде, принимать самостоятельные решения. Приветствуются знания программ автоматизированного тестирования.  Условия:  Испытательный срок 3 месяца. Оформление в соответствии с ТК РФ. Достойная заработная плата (оклад + премия) - по результатам собеседования. Премия по итогам работы за год, материальная помощь к отпуску, интересные корпоративные мероприятия, дружный молодой коллектив. Возможность профессионального роста. ;Тестирование ПО, разрабатываемого компанией.;Опыт ручного тестирования от 6 мес. Опыт работы с технической и пользовательской документацией. Навыки оформления ошибок, навыки создания тестовых сценариев. ;;
663;663;Тестировщик ПО;Москва;;;Лендсбэй;2019-11-07;27;От 1 года до 3 лет;Полная занятость;Полный день;"Обязанности:  Написание тестовых сценариев; Проверка багов и их устранение Работа с баг-трекером; Контроль проведения релизов; Составление документации по проекту Сбор пользовательской аналитики и сведение результатов в отчет.  Требования:  Опыт пользовательского тестирования мобильного приложения Опыт написание тестовых сценариев Аналитический склад ума Exсel продвинутый пользователь  Условия:  Современный офис в 7 минутах от м. Ленинский проспект Возможности для профессионального роста Интересные и сложные задачи Полный день с гибким графиком работы Дружный и амбициозный коллектив ";Написание тестовых сценариев. Проверка багов и их устранение. Работа с баг-трекером. Контроль проведения релизов. Составление документации по проекту. ;Опыт пользовательского тестирования мобильного приложения. Опыт написание тестовых сценариев. Аналитический склад ума. Exсel продвинутый пользователь.;;"Функциональное тестирование;Тестирование;Грамотность;Проведение тестирований;Ведение документации;Atlassian Jira;SQL"
