;Unnamed: 0;name;area;min_salary;max_salary;employer;created_at;days_passed;experience;employment;schedule;description;responsibility;requirement;conditions;key_skills
522;522;PHP-разработчик;Ростов-на-Дону;60000.0;80000.0;Рабочие решения;2019-11-08;26;От 1 года до 3 лет;Полная занятость;Полный день;Привет! Мы специализируемся на разработке и развитии web проектов под бизнес -задачи. Как раз сейчас к нам приходят новые проекты, для реализации которых мы расширяем команду. Факты о нас:  в IT более 10 лет проекты развиваются с нами в среднем 4 года 20 + сотрудников в команде in - house, плюс удаленная поддержка 1 млн.в год - расходы на сертификацию и обучение сотрудников средний опыт сотрудника - 3 года  Мы ищем специалиста с:  Коммерческим опытом работы с любым ООП фреймворком: Yii, Laravel, Symfony Желателен опыт разработки высоконагруженных проектов Уверенным знанием PHP (на проектах используется PHP7) Опытом работы с системой управления версиями кода git Опытом проектирования проектов Знанием протокола HTTP, Пониманием принципов работы СУБД MySql Инициативностью, ответственностью, желанием развиваться Знание JavaScript будет плюсом  Что будем делать в команде:  Разрабатывать и поддерживать высоконагруженные проекты Разрабатывать новые сервисы Рефакторить текущий код  Актуальный стек:  PHP7, Yii, Laravel, Symfony, MySQL, Git, Docker, REST API  Что предлагаем еще:  Работу в команде, возможность роста и развития Удобное начало рабочего дня Оплачиваемые учебные курсы, пополняемая библиотека для повышения профессионального уровня, уровня английского языка и расширения кругозора. Комфортную зону для обеда и отдыха Оформление согласно ТК РФ  Мы адекватны в оплате труда и всегда готовы к диалогу с опорой на твой профессиональный уровень.    ;Разрабатывать и поддерживать высоконагруженные проекты. Разрабатывать новые сервисы. Рефакторить текущий код.;В IT более 10 лет. Проекты развиваются с нами в среднем 4 года. 20 + сотрудников в команде in - house...;;"PHP;Yii;Laravel;Git;MySQL;Symfony;Zend Framework;Docker"
898;898;PHP-разработчик;Москва;80000.0;80000.0;Финансовый университет при Правительстве РФ;2019-12-02;2;От 1 года до 3 лет;Полная занятость;Полный день;Обязанности:  Поддержка и сопровождение информационных систем на базе веб технологий Доработка и модификация отчетных и печатных форм, разработка новых Проектирование, согласование, последующая разработка и поддержка средств и методов интеграции, их документирование и развитие Конвертация (перенос) данных между системами и конфигурациями Мониторинг выхода новых версий ПО, их принципиальных отличий, разработка рекомендаций и плана обновления сопровождаемых конфигураций  Требования:  Английский язык - чтение технической документации  Опыт разработки веб-сервисов на PHP, PYTHON и HTML5 без применения фреймворков (знание фреймворков приветствуется)   Профессиональная верстка HTML с применением SCSS /CSS, понимание основ Bootstrap   Знание JavaScript (JQuery, AJAX)   Умение работать с базами данных MySQL из кода и через клиенты   Понимание принципа кроссбраузерной верстки   Опыт установки и использования CMS, LMS, CRM и подобных систем   Условия:  Оформление по ТК РФ Полный соц. пакет Пятидневная рабочая неделя. График работы: пн-чт с 09:00 до 18:00, пт. с 09:00 до 16:45 Окончательный уровень з/п будет обсуждаться с финальным кандидатом ;Поддержка и сопровождение информационных систем на базе веб технологий. Доработка и модификация отчетных и печатных форм, разработка новых. ;Английский язык - чтение технической документации. Опыт разработки веб-сервисов на PHP, PYTHON и HTML5 без применения фреймворков (знание фреймворков...;;
909;909;PHP-разработчик;Томск;80000.0;100000.0;R-брокер;2019-11-26;8;От 3 до 6 лет;Полная занятость;Удаленная работа;Для работы над крупным проектом требуется PHP-разработчик. Удаленная работа. ФУЛТАЙМ!   Обязанности:  Думать Проектировать Программировать Тестировать свои творения  Требования:  PHP (ООП) Понимание шаблонов проектирования Написание технической документации jQuery (работа с элементами, атрибутами, стилями, ajax) MySQL (CRUD и объединение таблиц обязательно) fireBug (html, сеть, отладка js) Любая IDE: NetBeans,Eclipse phpStorm Умение работать с GIT Пользоваться отладчиком и использовать трассировку (Xdebug) Опыт работы с Yii 1/2 или другими PHP-фреймворками. Внимание! Требуется именно разработчик, а не кодер!  Условия:,  График работы с 10 до 19 Заработная плата от 80 т.р и выше Молодой коллектив, пока небольшой. По результатам работы возможна оплата участия в различных конференциях. ;Думать. Проектировать. Программировать. Тестировать свои творения.;PHP (ООП). Понимание шаблонов проектирования. Написание технической документации. JQuery (работа с элементами, атрибутами, стилями, ajax). MySQL (CRUD и объединение таблиц...;;
1007;1007;PHP-разработчик;Москва;;117000.0;Студио Модерна;2019-11-25;9;От 1 года до 3 лет;Полная занятость;Полный день;"Международный холдинг Студио Модерна – лидер дистанционной торговли ТНП (интернет магазины, телемаркетинг, ТВ шоп, розничные магазины...), приглашает WEB -разработчика Ваш будущий функционал:   Разработка и поддержка ERP  Требования:  Знание PHP (7х.) Знание SQL (Mysql, PostgreSQL и т.д.); Базовые знания HTML и CSS; Умение соблюдать существующие стандарты кодирования; Приветствуется:  опыт работы с любым JS фреймворком (Vue, React, Backbone); опыт разработки REST API опыт работы с SVN/GIT; опыт работы с чужим кодом;    Мы предлагаем:  ЗП по итогам собеседования Развитие в быстро растущей компании; Интересные задачи; Оформление по ТК РФ, оплачиваемый отпуск и больничный; График работы: 5/2 с 9.00 до 18.00 или 10.00 до 19.00; Работа в комфортном офисе, 10 минут пешком от метро Кантемировская ";Разработка и поддержка ERP.;Знание PHP (7х.). Знание SQL (Mysql, PostgreSQL и т.д.). Базовые знания HTML и CSS. Умение соблюдать существующие стандарты...;;
1764;1764;PHP-разработчик;Москва;95000.0;150000.0;Веб-Мост;2019-12-02;2;От 1 года до 3 лет;Полная занятость;Полный день;"Основной продукт нашей компании — ЭлЖур, электронный журнал для школ, детских садов, а также колледжей и даже институтов. Наша система помогает образовательным организациям вести учет успеваемости и своевременно получать отчеты, а обучающимся и их родителям узнавать актуальную информацию: текущие оценки, домашние задания, изменения в расписании и т.д. C нами работает более 2000 школ по всей России, каждый день они выставляют более 600 тысяч оценок. Среди наших клиентов ведущие школы, гимназии и лицеи РФ: Школа Летово, Школа Сотрудничества, Лицей НИУ ВШЭ, Лицей №1511 при МИФИ, ФизТех Лицей и многие другие. Особенность работы в ЭлЖур - быстрая обратная связь от пользователей. Кроме того, наша команда небольшая, и вклад каждого сотрудника важен и заметен. Для разработки новых модулей системы и поддержки уже существующих мы хотим найти опытного PHP-разработчика. Основные требования к кандидату:  опыт разработки на PHP; понимание принципов SOLID, KISS, DRY; опыт работы с реляционными СУБД, в частности MySQL; уверенное знание протокола HTTP; представление об архитектуре больших/нагруженных веб-приложений.  Будет плюсом:  опыт фронтенд-разработки; знания об уязвимостях веб-приложений (CSRF, XSS); кругозор в сфере IT.  Условия:  Интересная и динамичная работа в стабильной компании с 10-ти летней историей; Офис компании находится в 8 минутах пешком от м. Красносельская/Сокольники, бизнес-центр класса B+; Официальное оформление; Отдельный опенспейс для разработчиков ~120м2; Полный рабочий день в офисе (начало рабочего дня с 8 до 11 часов, обед в середине дня); Испытательный срок не более двух месяцев. ";Основной продукт нашей компании — ЭлЖур, электронный журнал для школ, детских садов, а также колледжей и даже институтов. Наша система помогает...;Опыт разработки на PHP. Понимание принципов SOLID, KISS, DRY. Опыт работы с реляционными СУБД, в частности MySQL. Уверенное знание протокола...;;"PHP;HTML;MySQL;Git;Python"
1805;1805;PHP-разработчик;Санкт-Петербург;80000.0;;АКМЭ сервис;2019-12-04;0;От 1 года до 3 лет;Полная занятость;Полный день;"АКМЭ - известная компания на рынке аутсорсинга и аутстаффинга персонала в СПб, реализующая проекты в различных сегментах рынка уже 15 лет! Кратко о проекте: внутренняя ERP-cистема управления кадровыми процессами, предназначенная для аутсорсинговых, клининговых, аутстаффинговых компаний. Решает задачи автоматизации процессов: подбора персонала, планирования сотрудников на смены, расчета заработной платы, согласования документов и много чего еще. Чем предстоит заниматься : • Разработка и поддержка программных продуктов компании. • Предложения по оптимизации и прототипирование возможных решений, которые будут использоваться при разработке. • Создание нового функционала существующих приложений. • Поиск и устранение ошибок. • Анализ работы пользователей и улучшения работы ERP. Требования: • Опыт работы в области веб-программирования не менее 2-ух лет. • Отличное знание PHP и MySQL. • Опыт работы с одним из фреймворков Codeigniter, Zend, Yii2 не менее года; • Базовый HTML, CSS, JavaScript (jquery). • Хорошее знание методологий проектирования ПО и командной разработки. • Умение оценивать объем и сроки работ. • Опыт работы с системой контроля версий. Условия: • График работы 5/2 c 10.00 до 19.00 или возможен индивидуальный график. • Оформление по ТК РФ. • Амбициозные проекты и интересная работа в небольшой команде разработчиков, делающих БОЛЬШОЙ проект. • Обучение за счёт компании. • Интересные, с профессиональной точки зрения, задачи. • Релокационный пакет. Ждем Ваше резюме!  ";Кратко о проекте: внутренняя ERP-cистема управления кадровыми процессами, предназначенная для аутсорсинговых, клининговых, аутстаффинговых компаний. Решает задачи автоматизации процессов: подбора...;Опыт работы в области веб-программирования не менее 2-ух лет. Отличное знание PHP и MySQL. Опыт работы с одним...;;"PHP;Git;Codegniter;Zend Framework;MySQL"
477;477;PHP-разработчик;Москва;100000.0;;ИКРАТКОЕ;2019-12-02;2;От 1 года до 3 лет;Полная занятость;Полный день;В команду для работы на постоянной основе требуется талантливый backend-разработчик с опытом программирования от 3 лет. Интересные задачи, адекватное руководство гарантировано. От Вас:   Владение PHP 5-7   Во всех новых задачах мы используем самые свежие версии PHP (При этом есть один проект, использующий PHP 5.6)   Понимание принципов ООП, SOLID, MVC, паттерны проектирования.   Понимание основных парадигм ООП и лучших практик за годы работы.   Использование стандартов PSR   Опыт работы с базой данных (преимущественно Mysql), умение составлять большие sql запросы.   Знание основ HTML, CSS и Javascript   Умение пользоваться системой контроля версий Git   Стремление развиваться и впитывать новое, писать качественный код, общаться с такими же энтузиастами.     Дополнительными плюсами будут:   Профиль и наличие кода на Github   Опыт написания unit-тестов   Опыт работы с Laravel и Vue.js   Опыт(был) или текущая работа с UNIX сис-ми   Опыт работы со сторонними API   Опыт работы с библиотеками: Symfony Components, Intervention Image, Faker и тд.   От Нас:   Возможность влиять на продукт: прислушиваемся к мнению каждого члена команды     Интересная работа, способствующая развитию наших сотрудников   Заработная плата от 100 000 руб/месяц (зависит от вашего уровня)   Оформление по ТК   График работы 5/2 (м.Авиамоторная ТЦ Синица Плаза) гибкое начало рабочего дня — с 9-11 часов  ;Использование стандартов PSR.;В команду для работы на постоянной основе требуется талантливый backend-разработчик с опытом программирования от 3 лет. Интересные задачи, адекватное...;;"laravel;PHP;MySQL;Vue;Linux;Git"
1226;1226;PHP-разработчик;Новосибирск;100000.0;;ВебТим;2019-12-03;1;От 3 до 6 лет;Полная занятость;Полный день;"Наша компания занимается интернет-маркетингом, генерацией продаж по всему миру.   Обязанности:  Поддержка существующих проектов Разработка новых проектов    Мы ожидаем:  Уверенное знание PHP, JavaScript Понимание принципов построения современных веб-приложений Опыт использования одного из фреймворков: ZF/Yii/etc Знание MySQL Опыт использования систем контроля версий Git/SVN    Вашим плюсом будет:  Опыт использования Golang    Наши условия:  Своевременная заработная плата 2 раза в месяц; Современный офис по линии метро (5 мин. пешком от ст. м. пл.Ленина); Молодой коллектив; Чай/печеньки Много интересных задач. PlayStation    Уровень заработной платы определяется по результатам собеседования.  ";Поддержка существующих проектов. Разработка новых проектов.;Уверенное знание PHP, JavaScript. Понимание принципов построения современных веб-приложений. Опыт использования одного из фреймворков: ZF/Yii/etc. Знание MySQL. ;;"PHP;SQL;JavaScript;HTML;CSS;Golang"
701;701;PHP-разработчик;Москва;130000.0;;Original Group;2019-11-27;7;От 3 до 6 лет;Полная занятость;Сменный график;"В крупном IT холдинге Original Group открыта вакансия PHP разработчик в г. Москва Мы разрабатываем собственные IT продукты — от идеи Hard &amp; Soft Ware решения до его вывода на российский и зарубежные рынки. Наша основная деятельность связана с разработкой платформ для маркетинговых коммуникаций и организации центров обработки вызовов (контакт-центров), Track&amp;Trace систем и систем защиты подлинности продукции. Задачи: В составе продуктовой scrum-команды участвовать в полном цикле разработки новых фич для конечных пользователей.  Разработка новых и поддержка работоспособности существующих облачных сервисов; Участие в проектировании и разработке архитектур веб приложений; Разработка структур баз данных, хранимых процедур, представлений; Соблюдать баланс между скоростью разработки и перфекционизмом; Учиться новому и делиться знаниями с коллегами.  Технологический стек:  PHP, Yii; PostgreSQL; Nginx, Docker, Gitlab; REST; Memcache.  Основные требования к кандидату:  Опыт разработки и последующей поддержки приложений на Yii. Понимание принципов масштабирования Yii приложений. Знание OOП, паттернов и умение их применять. Понимание принципов RESTful API. Опыт работы с PostgreSQL, умение составлять сложные запросы, оптимизировать существующие на уровне чистого SQL. Опыт работы с системами кеширования, желательно с memcache. Следование стандартам разработки: стайлгайды, тесты, code review;Следование стандартам разработки: стайлгайды, тесты, code review.  Мы предлагаем:  Работу в стабильной, успешной и развивающейся Компании. Дружный коллектив профессионалов. Достойный уровень оплаты труда обсуждается с успешным кандидатом. Официальное трудоустройство, «белая заработная плата». Возможность профессионального роста, бесплатное корпоративное обучение. ";Разработка новых и поддержка работоспособности существующих облачных сервисов. Участие в проектировании и разработке архитектур веб приложений. Разработка структур баз данных...;Опыт разработки и последующей поддержки приложений на Yii. Понимание принципов масштабирования Yii приложений. Знание OOП, паттернов и умение их применять. ;;"Atlassian Jira;PostgreSQL;SQL;Jetbrains Phpstorm;PHP;Yii;ООП;Git;REST;Memcached;Nginx"
30;30;PHP-разработчик;Москва;;;Центр Методического Обеспечения Оптимизации Процессов Государственного Управления в Московской области;2019-12-02;2;От 1 года до 3 лет;Полная занятость;Полный день;"Министерство государственного управления Московской области является одним из лидеров по внедрению цифровых технологий в социальной и экономической сфере. Подведомственная организация «Московский областной центр информационно-коммуникационных технологий» занимается разработкой новых, а также поддержкой и развитием крупных IT-проектов Московской области, охватывающих более 7 млн жителей региона. Обязанности:  Разработка back-end и сопутствующих сервисов. Интеграция приложение с различными автоматизированными системами; Написание программного кода,оптимизация БД и запросов; Требования: Знание языков программирования и технологий:HTML,PHP 7, JavaScript; Bitrix, Symfony 3 (или другой MVC фреймворк) GIT PostgreSql/Mysql Linux Умение грамотно планировать свою работу и придерживаться установленных сроков. Плюсом будет знание React, Redux, ES6, Webpack и сопутствующих библиотек Умение работать в команде  Если какая-то технология вам не известна - не беда, мы вас научим. Условия:  Работа в молодом,дружном коллективе; Работа постоянная,долгосрочная; Оформление по ТК РФ. Заработная плата (полностью &quot;белая&quot;) по результатам собеседования и выполненного тз Возможность удаленной работы.   ";Разработка back-end и сопутствующих сервисов. Интеграция приложение с различными автоматизированными системами. Написание программного кода,оптимизация БД и запросов.;Знание языков программирования и технологий:HTML,PHP 7, JavaScript. Bitrix, Symfony 3 (или другой MVC фреймворк). GIT. PostgreSql/Mysql. Linux. ;;
