;Unnamed: 0;name;area;min_salary;max_salary;employer;created_at;days_passed;experience;employment;schedule;description;responsibility;requirement;conditions;key_skills
335;335;Разработчик Delphi\SQL в Дирекцию информационных технологий;Кострома;;;Diasoft;2019-11-21;13;От 1 года до 3 лет;Полная занятость;Полный день;"  Департамент информационных технологий – непроизводственное подразделение нашей компании, которое создает системы для комфортной и удобной работы каждого сотрудника Диасофт. В настоящий момент мы работаем над развитием внутренней системы документооборота. Нам очень нужен опытный разработчик Delphi\MS SQL, который вместе с другими сотрудниками нашей дружной и стабильной команды будет работать на благо сотрудников компании Диасофт. Задачи должности:   Разработка, сопровождение и поддержка Delphi приложений;   Разработка структуры Баз данных и бизнес логики на сервере Баз данных;   Фиксация изменений кода в GIT;   Оптимизация кода Delphi, SQL;   Оказание консультаций;   Своевременное и качественное исполнение поставленных задач.   Профессиональные компетенции:   Опыт работы и уверенное знание Delphi, в особенности при разработке клиент-серверных приложений по технологии ADO, понимание принципов ООП в программировании;   Опыт работы с MS SQL Server и хорошее знание T -SQL. Опыт в написании хранимых процедур. Понимание принципов работы реляционных СУБД;   Умение разбираться в чужом коде;   Желательно знание компонентов DevExpress VCL;   Приветствуется опыт в оптимизации SQL кода.   Личностные компетенции:   Дисциплинированность;   Исполнительность;   Ответственность;   Умение работать в команде.  ";Разработка, сопровождение и поддержка Delphi приложений. Разработка структуры Баз данных и бизнес логики на сервере Баз данных. Фиксация изменений кода...;Опыт работы и уверенное знание Delphi, в особенности при разработке клиент-серверных приложений по технологии ADO, понимание принципов ООП в...;;
781;781;Разработчик Delphi\SQL в Дирекцию информационных технологий;Владимир;;;Diasoft;2019-11-21;13;От 1 года до 3 лет;Полная занятость;Полный день;"  Департамент информационных технологий – непроизводственное подразделение нашей компании, которое создает системы для комфортной и удобной работы каждого сотрудника Диасофт. В настоящий момент мы работаем над развитием внутренней системы документооборота. Нам очень нужен опытный разработчик Delphi\MS SQL, который вместе с другими сотрудниками нашей дружной и стабильной команды будет работать на благо сотрудников компании Диасофт. Задачи должности:   Разработка, сопровождение и поддержка Delphi приложений;   Разработка структуры Баз данных и бизнес логики на сервере Баз данных;   Фиксация изменений кода в GIT;   Оптимизация кода Delphi, SQL;   Оказание консультаций;   Своевременное и качественное исполнение поставленных задач.   Профессиональные компетенции:   Опыт работы и уверенное знание Delphi, в особенности при разработке клиент-серверных приложений по технологии ADO, понимание принципов ООП в программировании;   Опыт работы с MS SQL Server и хорошее знание T -SQL. Опыт в написании хранимых процедур. Понимание принципов работы реляционных СУБД;   Умение разбираться в чужом коде;   Желательно знание компонентов DevExpress VCL;   Приветствуется опыт в оптимизации SQL кода.   Личностные компетенции:   Дисциплинированность;   Исполнительность;   Ответственность;   Умение работать в команде.  ";Разработка, сопровождение и поддержка Delphi приложений. Разработка структуры Баз данных и бизнес логики на сервере Баз данных. Фиксация изменений кода...;Опыт работы и уверенное знание Delphi, в особенности при разработке клиент-серверных приложений по технологии ADO, понимание принципов ООП в...;;
1220;1220;Разработчик Delphi\SQL в Дирекцию информационных технологий;Нижний Новгород;;;Diasoft;2019-11-21;13;От 1 года до 3 лет;Полная занятость;Полный день;"  Департамент информационных технологий – непроизводственное подразделение нашей компании, которое создает системы для комфортной и удобной работы каждого сотрудника Диасофт. В настоящий момент мы работаем над развитием внутренней системы документооборота. Нам очень нужен опытный разработчик Delphi\MS SQL, который вместе с другими сотрудниками нашей дружной и стабильной команды будет работать на благо сотрудников компании Диасофт. Задачи должности:   Разработка, сопровождение и поддержка Delphi приложений;   Разработка структуры Баз данных и бизнес логики на сервере Баз данных;   Фиксация изменений кода в GIT;   Оптимизация кода Delphi, SQL;   Оказание консультаций;   Своевременное и качественное исполнение поставленных задач.   Профессиональные компетенции:   Опыт работы и уверенное знание Delphi, в особенности при разработке клиент-серверных приложений по технологии ADO, понимание принципов ООП в программировании;   Опыт работы с MS SQL Server и хорошее знание T -SQL. Опыт в написании хранимых процедур. Понимание принципов работы реляционных СУБД;   Умение разбираться в чужом коде;   Желательно знание компонентов DevExpress VCL;   Приветствуется опыт в оптимизации SQL кода.   Личностные компетенции:   Дисциплинированность;   Исполнительность;   Ответственность;   Умение работать в команде.  ";Разработка, сопровождение и поддержка Delphi приложений. Разработка структуры Баз данных и бизнес логики на сервере Баз данных. Фиксация изменений кода...;Опыт работы и уверенное знание Delphi, в особенности при разработке клиент-серверных приложений по технологии ADO, понимание принципов ООП в...;;
