;Unnamed: 0;name;area;min_salary;max_salary;employer;created_at;days_passed;experience;employment;schedule;description;responsibility;requirement;conditions;key_skills
358;358;Программист Java;Москва;60000.0;120000.0;КОМПАНИЯ «ААМ Системз»;2019-11-08;26;Нет опыта;Полная занятость;Полный день;Молодая дружная команда ищет Java-разработчика для реализации интересных и сложных задач. Предметная область – интегрированные системы безопасности. Разрабатываемый программный комплекс — распределенное кроссплатформенное приложение. Широкий спектр задач:  интеграция с оборудованием: системы контроля доступа (в т. ч. биометрия), видеонаблюдение, охранные системы, разработка логических модулей, разработка пользовательского интерфейса.  Обязанности  Участие в проектировании программных модулей и их разработка Поддержка и рефакторинг существующего кода  Требования  Законченное высшее техническое образование. В порядке исключения готовы рассмотреть учащихся последних курсов ВУЗа Знание Java SE (в т.ч. Java Collections, Java Multithreading) Практический опыт разработки на языке Java Понимание нюансов ООП Знание шаблонов проектирования Желание совершенствоваться, осваивать новые технологии  Дополнительным плюсом будет (что-либо из перечисленного)  Опыт коммерческой разработки на языке Java в составе команды Опыт использования Spring Framework Опыт работы с VCS, Bug tracking системами Опыт разработки ПО для интеграции с оборудованием Базовые знания SQL Знание технологии разработки Web-сервисов Опыт работы с распределенными системами Опыт работы с различными операционными системами  Инструменты, которые мы используем  IDEA, Git, GitLab, Gradle, RabbitMQ Java 8, Spring 5  Условия  Испытательный срок до 3-х месяцев Заработная плата - оклад+премии Оклад - от 60 до 120 тыс. р. по результатам собеседования, в зависимости от имеющегося опыта и знаний Анализ роста и пересмотр зарплат проводится индивидуально Пятидневная рабочая неделя с 9:00 до 18:00, по пятницам - до 17:00. Возможно плавающее время прихода и ухода Возможность частично удаленной работы (по согласованию с руководителем) Корпоративные мероприятия, праздники, выезды на природу и в дома отдыха Корпоративные турниры: шахматы, боулинг, преферанс, настольный хоккей, пинг-понг (участие добровольное) Офис компании: метро Авиамоторная ;Интеграция с оборудованием: системы контроля доступа (в т. ч. биометрия), видеонаблюдение, охранные системы. Разработка логических модулей. Разработка пользовательского интерфейса. ;Законченное высшее техническое образование. В порядке исключения готовы рассмотреть учащихся последних курсов ВУЗа. Знание Java SE (в т.ч. ;;"Java SE;Java Collections;Java Multithreading;ООП;Шаблоны проектирования"
878;878;Программист Java;Москва;;;Центральный банк Российской Федерации;2019-11-29;5;От 3 до 6 лет;Полная занятость;Полный день;В связи с формированием внешнего кадрового резерва Главное Управление Банка России рассматривает кандидатов на будущие вакансии: Обязанности:  Написание и модификация программного кода при создании и развитии ПО Участие в работах по документированию программного кода    Требования:  Опыт разработки корпоративного ПО Опыт работы с JAVA, С#, Oracle Опыт работы с документами проектов по ГОСТ    Условия:  Стабильная зарплата Работа в крупной компании ;Написание и модификация программного кода при создании и развитии ПО. Участие в работах по документированию программного кода.;Опыт разработки корпоративного ПО. Опыт работы с JAVA, С#, Oracle. Опыт работы с документами проектов по ГОСТ.;;
1434;1434;Программист Java;Брянск;;;М.Б.А. Финансы;2019-11-18;16;От 1 года до 3 лет;Полная занятость;Полный день;Обязанности:  программирование на языке JAVA поиск технологический решений проведение тестирования ПО отладка созданного продукта в том случае, если на этапе тестирования были выявлены ошибки внедрение и интеграция ПО последующее сопровождение ПО (техническая поддержка, документация, инструкции и другие работы)  Требования:  опыт работы от 2-х лет опыт работы с СУБД MS SQL знание языка C# приветствуется знание PHP приветствуется  Условия:  официальное трудоустройство в рамках ТК РФ полное предоставление соц. пакета (оплата больничных листов, отпускных) график работы 5/2 (с 8.00 до 17.00), сб, вс - выходные дни з/п по результатам собеседования ;Программирование на языке JAVA. Поиск технологический решений. Проведение тестирования ПО. Отладка созданного продукта в том случае, если на этапе тестирования...;Опыт работы от 2-х лет. Опыт работы с СУБД MS SQL. Знание языка C# приветствуется. Знание PHP приветствуется.;;
