;Unnamed: 0;name;area;min_salary;max_salary;employer;created_at;days_passed;experience;employment;schedule;description;responsibility;requirement;conditions;key_skills
1249;1249;Разработчик C#;Екатеринбург;60000.0;120000.0;Сапфир НПО;2019-12-02;2;От 3 до 6 лет;Полная занятость;Полный день;"Компания НПО Сапфир ищет сильных разработчиков, которых не пугают сложные алгоритмы бизнес-логики.   Мы один из ведущих разработчиков в сфере решений по управлению общественными финансами на рынке информационных технологий России. Также мы обладаем наивысшим партнерским статусом корпорации Microsoft – Gold Certified Partner. В своих проектах используем: C#, .NET (Core), ASP.NET MVC, WebAPI, HTML, CSS, JavaScript (jQuery, Knockout), Devexpress, Unit testing, Mercurial, SQL и другие современные платформы и технологии. Для работы у нас не обязательно знать все, но необходимо обладать талантом, энтузиазмом и тянуться к профессиональному развитию.   Требования:  Законченное высшее техническое образование. Технический английский язык - мы считаем, что каждый разработчик должен уметь читать документацию на английском, сделать pull-request зарубежным коллегам на гитхабе, а так же обсудить решения в issues. Базовые навыки общения с живыми людьми - мы понимаем, что разработчики любят прятаться за монитором, но нам нужны люди, которые могут оттуда выглянуть, хотя бы иногда!:) Знание алгоритмов и структур данных, умение распознать плохой код и исправить его. Понимание построения программной архитектуры корпоративных приложений. Знание методологий и принципов построения процесса разработки, опыт работы с системами баг‑трекинга, контроля версий, управление требованиями. Светлая голова на плечах и как минимум одна пара рук - можно больше!    Дополнительные преимущества:  Наличие собственных проектов, Интерес к новым технологиям. Опыт разработки программной архитектуры Опыт работы с front-end приветствуется Понимание принципов проектирования реляционных БД, знание SQL, опыт работы с MSSQL и PostgreSQL;    Условия работы:  Официальное трудоустройство, дружный коллектив, гибкий рабочий график - 40 часов в неделю. Возможность удаленной работы Обучение на различных профессиональных курсах и посещение конференций для разработчиков за счет компании. Комфортный офис в центре города, корпоративные занятия спортом.    Рассмотрим ожидания успешных соискателей по заработной плате.";;В своих проектах используем: C#, .NET (Core), ASP.NET MVC, WebAPI, HTML, CSS, JavaScript (jQuery, Knockout), Devexpress, Unit testing, Mercurial, SQL...;;"C#;Git;.NET Framework;Entity Framework;ASP.NET;MVC;NoSQL;SQL"
987;987;Разработчик C#;Москва;100000.0;150000.0;КАШЕМИР И ШЕЛК;2019-11-25;9;От 1 года до 3 лет;Полная занятость;Полный день;"Наша IT команда ведет активную разработку различных IT проектов: учетную ERP систему, ряд Web порталов, служебного софта и много другое. Сейчас мы в поисках талантливого Разработчика C#  Основные задачи это развитие учетной модульной ERP системы, включающую WPF (с автогенерацией форм), Web порталы, а так же интернет-магазин и служебный софт. Наш основной стэк технологий: .Net (часть проектов Core, декстоп – WPF, фронт Angular и AngularJS), SQL 2017, ORM EF и ServiceStack OrmLite. Вас ждут интересные задачи в очень атмосферной компании! Наши ожидания   Знание С#, .Net , WCF, понимание паттернов и принципов ООП. Знание MS SQL Server, T-SQL, оптимизация запросов, stored procedure; Умение разбираться в чужом коде; Навыки работы в команде; Чтение технической литературы на английском языке.  Будут плюсом:  Опыт разработки на WPF Опыт работы с SSRS Знание .net Core Знакомство с OrmLite Знакомство с DevExpress  Мы рассматриваем кандидатов с частичным совпадением наших ожиданий и ваших умений, а также продвинутых профессионалов с опытом более 2-х лет. Основные задачи нового сотрудника, это ..   Участие в разработке новых проектов в компании (приложений, сервисов, webApp). Поддержка и развитие существующих приложений и сервисов. Контроль качества реализованных решений. Активно следить за актуальными технологиями!  Мы предлагаем:   Современные технологии и подходы к разработке, спринты Agile (на Jetbrains YouTrack) Позитивную атмосферу и дружный коллектив, демократичную обстановку График работы 5/2, часы работы обсуждаются Оформление и соц. пакет в соответствии с Трудовым Кодексом Корпоративные скидки на весь портфель брендов Корпоративные подарки на праздники Ароматный кофе и чай в неограниченном количестве Уютный Open space на 7-8 человек Офис в 10 мин. от м. Спортивная и МЦК Лужники   ";Участие в разработке новых проектов в компании (приложений, сервисов, webApp). Поддержка и развитие существующих приложений и сервисов. Контроль качества реализованных...;Знание С#, .Net , WCF, понимание паттернов и принципов ООП. Знание MS SQL Server, T-SQL, оптимизация запросов, stored procedure. ;;"WPF;WCF;LINQ;C#;Entity Framework;jetbrains YouTrack;Agile;Net;Transact-SQL;MS SQL;net.core;OrmLite;ServiceStack;SQL 2017"
502;502;Разработчик C#;Казань;60000.0;;Бизапс;2019-11-21;13;От 1 года до 3 лет;Полная занятость;Гибкий график;Разработка и поддержка проекта (систем автоматизации внутреннего учета) в сфере финансов.Требования:  Опыт написания хранимых процедур, триггеров, сложных запросов Понимание оптимизации запросов, индексы, транзакционность.  Плюсом будет:  Знание C#  Компания предлагает:  Работа на постоянной основе Достойную заработную плату (по результатам собеседования) Комфортные условия труда Социальные гарантии Возможность личностного и профессионального роста Работу в сплоченном и дружном коллективе Гибкий график и печеньки Бесплатные курсы английского языка Компенсация занятий спортом В будущем возможна удаленная работа. ;Разработка и поддержка проекта (систем автоматизации внутреннего учета) в сфере финансов.;Опыт написания хранимых процедур, триггеров, сложных запросов. Понимание оптимизации запросов, индексы, транзакционность. Плюсом будет: Знание C#.;;"MS SQL;C#"
