;Unnamed: 0;name;area;min_salary;max_salary;employer;created_at;days_passed;experience;employment;schedule;description;responsibility;requirement;conditions;key_skills
1814;1814;Инженер-программист 1С;Набережные Челны;30000.0;110000.0;Группа Компаний Альфа;2019-11-11;23;От 1 года до 3 лет;Полная занятость;Удаленная работа;"Обязанности:  программирование на 1Сv.8.x (УПП, ERP); доработка типовых и нетиповых конфигураций 1Сv.8x, внесение изменений в типовые и нетиповые конфигурации; участие в проектах автоматизации; анализ ошибок ведения учета и выработка рекомендаций по их исправлению; участие в проекте по разработке и внедрению дополнительных программных модулей в 1С; тестирование разработанного функционала; обучение пользователей работе с разработанными механизмами.  Требования:  владение ПК на уровне программиста; опыт в программировании на 1Сv.8.x; опыт работы в соответствующей должности более 1 года; аналитические способности, нацеленность на результат, самостоятельность.  Условия:  оформление по ТК РФ; своевременная заработная плата; корпоративная мобильная связь; развитая система нематериального стимулирования сотрудников(корпоративные мероприятия, спортивные соревнования); график работы с 8 до 17, СБ,Вс-выходной вахта по городу РАССМАТРИВАЕМ КАНДИДАТОВ НА УДАЛЕННУЮ РАБОТУ ";Программирование на 1Сv.8.x (УПП, ERP). Доработка типовых и нетиповых конфигураций 1Сv.8x, внесение изменений в...;Владение ПК на уровне программиста. Опыт в программировании на 1Сv.8.x. Опыт работы в соответствующей должности более 1...;;
803;803;Инженер-программист 1С;Москва;80000.0;120000.0;КИТ;2019-12-04;0;Нет опыта;Полная занятость;Полный день;Обязанности: - Внедрение 1С Розница,УТ,Далион - Интеграция торгового оборудования (кассы,сканеры штрих кода,весы) с конфигурациями на базе 1с - настройка торгового оборудования - Техническая поддержка пользователей - Подготовка документации для пользователей о работе с оборудованием и программным обеспечением Требования: - Высшее техническое образование - Опыт работы не обязателен - Базовые знания устройств ПК,Серверов - Базовые знания ОС семейства Windows - Базовые знания платформы 1с и типового функционала конфигураций   Условия: - график 5/2 с возможностью взять выходный в будний день - возможна удаленная работа - на данной должности предусмотрено оплачиваемое обучение (стипендия) - социальные гарантии по ТК - дружный коллектив;Внедрение 1С Розница,УТ,Далион. - Интеграция торгового оборудования (кассы,сканеры штрих кода,весы) с конфигурациями на базе 1с. - ;Высшее техническое образование. - Опыт работы не обязателен. - Базовые знания устройств ПК,Серверов. - Базовые знания ОС семейства Windows. - Базовые знания платформы...;;"1С: Розница;1С: Торговля;1С: Предприятие 8;1С: Управление Торговлей;1С: Документооборот;кассы"
1211;1211;Инженер-программист 1С;Бийск;30000.0;;АНИКС, Торговый Двор;2019-11-12;22;От 1 года до 3 лет;Полная занятость;Полный день;"Обязанности:   Обеспечить стабильную работу программного обеспечения; Разработка технических заданий; Написание программного кода, тестирование, внедрение; Написание документации; Сопровождение Программного обеспечения.  Мы ждем от вас:  Образование высшее; Опыт работы программистом более 1 года; Грамотный читаемый код; Коммуникабельность и клиентоориентированность; Приветствуется опыт работы в предприятиях, занимающихся торговлей; Знание платформы 1С Предприятие 8.  Условия:   Официальное трудоустройство; График работы 5/2, с 8:00 до 17:00; Работа в стабильной развивающейся компании; Интересные задачи, возможность участия в проектах развития IT-инфраструктуры; Возможности профессионального развития и карьерного роста в компании; Стабильный доход от 30 000 руб.(размер заработной платы обсуждается при собеседовании); Скидки у корпоративных партнеров (бассейн &quot;Заря&quot;, фитнес клуб &quot;Апельсин&quot; и тд.); Дружный коллектив!   ";Обеспечить стабильную работу программного обеспечения. Разработка технических заданий. Написание программного кода, тестирование, внедрение. Написание документации. Сопровождение Программного обеспечения.;Образование высшее. Опыт работы программистом более 1 года. Грамотный читаемый код. Коммуникабельность и клиентоориентированность. Приветствуется опыт работы в предприятиях, занимающихся...;;
983;983;Инженер-программист 1С;Ижевск;60000.0;;Увадрев-Холдинг;2019-12-03;1;От 1 года до 3 лет;Полная занятость;Полный день;"Обязанности:   Разработка функционала на 1С 8.2, 8.3 (управляемые формы) (УПП, ERP, 1с Документооборот)   Написание отчетов   Поддержка текущего функционала   Требования:   Опыт разработки на платформе 1С 8.3 не менее года   Умение строить отчеты в СКД   Опыт работы с онлайн-кассами   Условия:   Официальное трудоустройство   Полностью &quot;белая&quot; заработная плата   Компенсация питания   Режим работы: пн-чт с 8-30 до 17-30, пт. с 8-30 до 15-30  ";Разработка функционала на 1С 8.2, 8.3 (управляемые формы) (УПП, ERP, 1с Документооборот). Написание отчетов. ;Опыт разработки на платформе 1С 8.3 не менее года. Умение строить отчеты в СКД. Опыт работы с онлайн...;;
