;Unnamed: 0;name;area;min_salary;max_salary;employer;created_at;days_passed;experience;employment;schedule;description;responsibility;requirement;conditions;key_skills
1154;1154;Программист Python;Пермь;45000.0;45000.0;ЭР-Телеком;2019-11-26;8;Нет опыта;Полная занятость;Полный день;"АО ЭР-Телеком Холдинг - ведущий независимый федеральный оператор телеком-услуг в России. Мы динамично развиваемся с 2001 года, предоставляем телекоммуникационные решения: широкополосный доступ в интернет, цифровое ТВ, телефонная связь, VPN, видеонаблюдение, Wi-Fi, IoT. «ЭР-Телеком» работает в 566 населённых пунктах на базе собственных телекоммуникационных сетей, построенных с нуля по технологии «оптика до дома» и радиодоступа. По количеству обслуживаемых клиентов мы занимаем 2-е место среди интернет провайдеров и 3-е - среди операторов платного ТВ. По результатам Speedtest компании Ookla мы признаны самым скоростным провайдером домашнего интернета в России в 2017 и 2018 году. Сегодня мы открывает поиск Программиста Python в наш перспективный и долговременный проект &quot;Цифровая страна&quot;, предполагающий подключение социально значимых объектов (учебные заведения и больницы) в удалённых городах и сёлах по широкополосному доступу к сети Интернет и реализующийся в рамках федерального проекта &quot;Цифровая инфраструктура&quot;. Чем тебе предстоит заниматься:  Разработка нового, поддержка и актуализация базового функционала систем мониторинга сети; Оптимизация оборудования; Программирование на языках Python, Perl и SQL  Мы ждем от тебя:  Знание скриптовых языков Python/Perl; Знание SQL; Опыт работы с базами данных Oracle, PostgeSQL, MS SQL; Знание принципов работы сетевого оборудования; Готовность обучаться.  Мы предлагаем:  Работу в федеральной динамично развивающейся компании; Наставничество, профессиональное развитие и карьерный рост; Официальное трудоустройство, полный соц.пакет (оплачиваемый отпуск, больничные); Белую зарплату, своевременные выплаты 2 раза в месяц; ДМС для всей семьи на льготных условиях; Удобную парковку, комфортный офис и дружелюбную атмосферу в коллективе профессионалов! ";Разработка нового, поддержка и актуализация базового функционала систем мониторинга сети. Оптимизация оборудования. Программирование на языках Python, Perl и SQL.;Знание скриптовых языков Python/Perl. Знание SQL. Опыт работы с базами данных Oracle, PostgeSQL, MS SQL. Знание принципов работы сетевого...;;"Python;Perl;SQL"
971;971;Программист Python;Сочи;50000.0;50000.0;Фастпицца;2019-11-18;16;От 1 года до 3 лет;Полная занятость;Удаленная работа;"требуемый опыт работы: 1–3 годаПолная занятость, удаленная работаНаша компания занимается разработкой крупного проекта. У нас современный формат работы - офис там, где вы! Все наши сотрудники успешно работают удаленно. Мы ищем ответственного и целеустремленного коллегу с высоким уровнем личной мотивации. Работа над одним проектом. Обязанности:  Читать чужой код на Python; Разработка модулей Python 3.7 с нуля для нашей системы, по ТЗ; Выполнять в срок работы; Обновлять свой/чужой код для увеличения производительности; Четко оценивать свое время на написание программы; Умение писать качественный безотказный код (обработка все возможных ошибок, без вылета программы).  Требования:  Отличное знание модулей mysql, lxml, subprocess, json, requests, bs4, sys, os; Умение быстро разбираться в чужом коде, находить в нем ошибки и модифицировать его; Умение решать нестандартные задачи / разрабатывать нестандартный функционал; Опыт в программировании - от 2 лет; Знание unix на уровне пользователя.  Условия:  Испытательный срок 1 месяц; Рабочий день с 9 до 18 по мск; Сб – Вс выходные ";Читать чужой код на Python. Разработка модулей Python 3.7 с нуля для нашей системы, по ТЗ. Выполнять в срок...;Отличное знание модулей mysql, lxml, subprocess, json, requests, bs4, sys, os. Умение быстро разбираться в чужом коде, находить в...;;"Python;MySQL"
1161;1161;Программист Python;Санкт-Петербург;110000.0;;Стоинг;2019-11-12;22;От 1 года до 3 лет;Полная занятость;Полный день;100ing.ru-это единственная интернет b2b платформа по продаже пищевых ингредиентов. Это уникальный и масштабный проект, и мы предлагаем стать тебе частью данного проекта. Наша команда – лучшие программисты и маркетологи, дизайнеры и менеджеры, увлечённые своим делом. Сегодня мы ищем в команду опытного Python разработчика, которому предстоит работать в команде вместе с ведущим программистом, дизайнером и верстальщиком.   Вам предстоит:  Работа над уникальным проектом. Разработка новых и поддержка существующих сервисов. Интеграция со сторонними сервисами. Работа в команде с дизайнером и верстальщиком.  Требования:  Хорошее знание Python 2/3. Опыт разработки с использованием Django. Опыт работы с реляционными СУБД (в приоритете PostgreSQL).   Базовые знания HTML, CSS, JS. Опыт работы с Linux.   Работа с системами управления версиями.  Project Stack: Python 2.7/3.0, Django, PostgreSQL/Oracle. Будет плюсом:  Опыт работы с внешними API. Опыт работы с SOAP сервисами.  Вы получите:  Работу в успешной компании Работа в динамичной и творческой среде в окружении профессионалов своего дела. Работу на растущем рынке. Демократичный стиль управления. Уютный офис в 5 мин. от ст. м. Выборгская. Уровень заработной платы обсуждается на собеседовании ;Работа над уникальным проектом. Разработка новых и поддержка существующих сервисов. Интеграция со сторонними сервисами. Работа в команде с дизайнером и...;Хорошее знание Python 2/3. Опыт разработки с использованием Django. Опыт работы с реляционными СУБД (в приоритете PostgreSQL). ;;
1157;1157;Программист Python;Москва;;;ФГУП ГосНИИАС;2019-11-06;28;От 3 до 6 лет;Полная занятость;Полный день;Описание вакансии Подразделение искусственного интеллекта ГосНИИ АС предлагает интересную прикладную работу для программиста python. Мы ищем в наш проект талантливых программистов с опытом коммерческой разработки. Обязанности:  разработка и поддержка клиент-серверного приложения для агрегации и анализа данных. написание проектной документации  Требования:  опыт работы Python программистом более 3х лет. опыт коммерческой разработки в команде (в том числе навыки работы с системами контроля версий - Git/Mercurial, системами управления разработкой - Jira/Trac/Redmine) опыт работы с какими-либо базами данных (любого типа - SQL, NoSQL)  Плюсом является:  знакомство с C++ опыт работы с Docker опыт работы с web-фреймворками (Django/Pyramid/Flask) опыт работы с библиотеками анализа и визуализации данных (pandas, matplotlib и т.д.) понимание принципов работы HTTP и REST API опыт работы с офисными документами, PDF и HTML из кода умение работать в bash  Условия:  Оформление по ТК РФ Возможности для профессионального развития. Командная работа, общение и обмен опытом. Дружный и творческий коллектив. Спортзал, детсад для детей ;Разработка и поддержка клиент-серверного приложения для агрегации и анализа данных. Написание проектной документации.;Опыт работы Python программистом более 3х лет. Опыт коммерческой разработки в команде (в том числе навыки работы с системами...;;"Python;Django Framework;Mercurial;Git;SQL"
1259;1259;Программист Python;Москва;;;ИнПлат;2019-12-02;2;От 3 до 6 лет;Полная занятость;Полный день;Обязанности:  Реализация бэкенд-сервисов на языке Python Полная ответственность за финальный продукт, в том числе за разработку, настройку инфраструктуры, тестирование, вывод в продуктивную среду и дальнейшее развитие Разработка архитектуры и решений по повышению ее производительности и устойчивости Взаимодействие с другими членами команд для совместной выработки архитектурных решений Проведение code review, написание автотестов Написание технической документации  Требования:  Опыт разработки на Python 3 не менее 2-х лет Хорошее знание SQL Умение писать асинхронный код (asyncio) Опыт работы с pytest/unittest  Будет плюсом:  Опыт работы в финансово-банковской сфере: знакомство с процессами выдачи кредитов, процессингом карточных платежей и т.д. Опыт участия в интеграционных проектах или проектировании API  Условия:  Работа в профессиональной команде с серьёзным опытом Оформление по ТК, отличная зарплата, годовые бонусы, социальный пакет, ДМС Комфортный офис Дополнительное обучение за счет компании, участие в профессиональных конференциях и форумах  Мы ищем коллег, для которых создание крутых продуктов, высокая скорость работы и умение работать в командах с неформальными процессами — не пустой звук. Если ты понял, что подходишь нам по духу, оставляй нам контакты — мы с тобой свяжемся.;Реализация бэкенд-сервисов на языке Python. Полная ответственность за финальный продукт, в том числе за разработку, настройку инфраструктуры, тестирование, вывод...;Опыт разработки на Python 3 не менее 2-х лет. Хорошее знание SQL. Умение писать асинхронный код (asyncio). ;;"Python;asyncio;pytest/unittest;PostgreSQL"
