;Unnamed: 0;name;area;min_salary;max_salary;employer;created_at;days_passed;experience;employment;schedule;description;responsibility;requirement;conditions;key_skills
471;471;Frontend разработчик;Москва;50000.0;60000.0;ИЗОЛЮКС;2019-11-15;19;От 1 года до 3 лет;Полная занятость;Полный день;"АО &quot;ИЗОЛЮКС&quot; - один из крупных интернет магазинов по продаже стройматериалов в Москве. В нашу команду требуется Frontend разработчик. Обязанности:   Разработка нового функционала;   Рефакторинг и оптимизация существующего кода;   Самостоятельное решение поставленных задач;   Уметь оценивать объем и сроки работ, делать обещанное вовремя без лишних напоминаний;   Написание тестов;   Требования:   Знание фреймворка LESS;   Отличное владение чистым JS (ES6);   Хорошее знание HTML и CSS;   Умение работать с GIT;   Опыт клиентской разработки для веба не менее 2 лет;   Jquery;   Gulp;   Babel.   Желательны:   Знание Node.js будет большим плюсом;   Опыт написания тестов;   Знание гибких методологий Agile.   Условия:   Очень гибкий график работы 5/2, возможна удаленная работа;   Оформление по ТК РФ;   Оклад 50.000 - 60.000;   Молодой дружный коллектив.  ";Разработка нового функционала. Рефакторинг и оптимизация существующего кода. Самостоятельное решение поставленных задач. Уметь оценивать объем и сроки работ, делать обещанное...;Знание фреймворка LESS. Отличное владение чистым JS (ES6). Хорошее знание HTML и CSS. Умение работать с GIT. ;;
1024;1024;Frontend разработчик;Москва;30000.0;150000.0;Группа компаний «Триумф»;2019-11-26;8;Нет опыта;Полная занятость;Полный день;Мы ведем разработку амбициозного международного проекта. Наша цель - объединить популярные сервисы интернета на одной платформе, обойти конкурентов за счет синергии сервисов, переопределить то, как люди живут в интернете. Нам нужны разработчики и Junior и Middle и Senior уровня. Главное, чтобы человек подошел к нам в команду, и ему хотелось реализовать наш проект Обязанности:  Участие в разработке крупного веб-сайта в качестве Frontend разработчика, с ростом до Full stack Участие в обсуждении, принятии решений по вопросам разработки и смежным вопросам Проектирование архитектуры сервисов Программирование нового функционала Рефакторинг Документирование кода Оптимизация под высокие нагрузки Освоение новых технологий    Требования: Личностные качества:  Умение систематизировать информацию, логически рассуждать Желание изменить / улучшить мир Высокий уровень самоорганизации, зрелость личности Инициативность, честность, прямота Стремление к саморазвитию Перфекционизм  Не обязательно в совершенстве владеть всеми ниже перечисленными технологиями, но чем больше вы знаете, тем больше вы стоите. Минимумом является отличное знание верстки и базового javascript Профессиональные навыки:  HTML, CSS, JavaScript Web Components (нативные), Polymer, или понимание компонентного подхода (React / Vue / Angular), передачи данных между компонентами Общение клиентов с сервером (SPA, Rest API, WebSockets) MySQL Erlang Git, Ubuntu Навык построения масштабируемой архитектуры, понимание проблем и решений под Highload  Навык писать чистый, читаемый код   Навык самостоятельно решать поставленные задачи, принимать обоснованное, оптимальное решение   Условия:  График 5 / 2, с 10:00 до 19:00 Комфортный офис в 3 мин. от метро Пролетарская Оформление по ТК Ubuntu Молодой коллектив Интересные задачи на любом уровне Уровень зарплаты определяется по итогам собеседования, с возможностью регулярно пересматривать, по мере роста уровня профессиональных навыков Перспективы роста вместе с компанией ;Участие в разработке крупного веб-сайта в качестве Frontend разработчика, с ростом до Full stack. Участие в обсуждении, принятии решений...;Умение систематизировать информацию, логически рассуждать. Желание изменить / улучшить мир. Высокий уровень самоорганизации, зрелость личности. Инициативность, честность, прямота. Стремление к саморазвитию. ;;"JavaScript;HTML;CSS;MySQL;Git;Erlang;Polymer;Web components"
238;238;Frontend разработчик;Санкт-Петербург;100000.0;160000.0;АРЕС;2019-11-27;7;От 1 года до 3 лет;Полная занятость;Полный день;"На данный момент открыта вакансия Frontend разработчика в международной IT компании, которая занимается разработкой различных сервисов и приложений как для крупных и всем известных компаний, так и для небольших, но перспективных стартапов в России и за рубежом. Офисы компании располагаются в России (Санкт-Петербурге, Москве и Томске) и США (Сан-Франциско), сотрудники работают распределенно, но в командах царит дружественная атмосфера и поддерживается уникальная корпоративная культура.Сейчас ребята открывают офис в Санкт-Петербурге, в который активно набирают команду. У Вас есть уникальная возможность присоединиться к разработке международного современного продукта, а также постоянно совершенствовать свои навыки за счет оплачиваемых компанией курсов и взаимодействия с российскими и иностранными коллегами - профессионалами своего дела. Стек: JS, React/Redux, HTML, CSS, Webpack, Git. Обязанности:  Разработка frontend-части проекта; Написание компонентов React.js; Опционально: кроссбраузерная и адаптивная верстка (в зависимости от проекта).  Требования:  Опыт работы с JavaScript от 1,5 лет; Уверенные знания React/Redux; Знание HTML, CSS и опыт верстки; Владение английским языком (от Intermediate, B1)  Условия:  Работу в современном и уютном офисе в историческом центре города; Удобный формат работы и гибкое начало рабочего дня (совмещать работу в офисе и удаленный формат - до 3х дней в офисе); Конкурентную заработную плату; Организованные обеды; Компенсация курсов английского английского языка; Возможность посещать вебинары и конференции. ";Разработка frontend-части проекта. Написание компонентов React.js. Опционально: кроссбраузерная и адаптивная верстка (в зависимости от проекта).;Опыт работы с JavaScript от 1,5 лет. Уверенные знания React/Redux. Знание HTML, CSS и опыт верстки. ;;"JavaScript;React.js;HTML;CSS;Git"
551;551;Frontend разработчик;Москва;60000.0;;WeJET;2019-12-01;3;От 1 года до 3 лет;Полная занятость;Полный день;Обязанности:  Решать разные интересные задачи Использовать современные подходы, инструменты и технологии Оживлять сайты, верстать их адаптивно Разрабатывать интерфейсы, продумывать логику Проверять результаты своей работы  Требования:  Неполное высшее Опыт работы от 1 года Знание HTML и CSS, Java Script, ajax, sass, pug, git, gulp, особенностей отображения в разных браузерах Понимание frontend/backend-архитектуры Представление о методологиях верстки Опыт адаптивной верстки, понимание mobile first Умение распределять время, расставлять приоритеты и не бояться спрашивать  Плюсом будет:  Опыт работы frontend-разработчиком Понимание принципов работы HTTP и REST Практики оптимизации (rendering, repaint, reflow) Знание Битрикс Управление сайтом  Условия для профессионального и карьерного роста :  Комфортное рабочее место, все необходимое для работы оборудование и ПО Гибкий рабочий график (в пределах разумного) Адекватное отношение Уровень дохода обсуждается с успешными кандидатами на встрече офис г. Королев ;Решать разные интересные задачи. Использовать современные подходы, инструменты и технологии. Оживлять сайты, верстать их адаптивно. Разрабатывать интерфейсы, продумывать логику. ;Неполное высшее. Опыт работы от 1 года. Знание HTML и CSS, Java Script, ajax, sass, pug, git, gulp, особенностей отображения...;;
1519;1519;Frontend разработчик;Санкт-Петербург;120000.0;;Dialog;2019-12-03;1;От 1 года до 3 лет;Полная занятость;Полный день;"Привет! Мы разрабатываем современное решение для эффективных коммуникаций в крупных компаниях, небольших командах и сообществах. Платформа dialog сочетает в себе привычные функции мессенджеров, высокий уровень безопасности и инструменты для автоматизации рутинных задач. В нашей компании dialog стал основным средством коммуникации. Мы пользуемся продуктом, который разрабатываем, и ежедневно улучшаем его.В нашу быстро растущую команду требуется Frontend разработчик для разработки клиентской части месседжинг платформы. Технологии:  JavaScript; Flow; React (обязательно); Redux; RxJS.  Будет плюсом:  Node.js; самостоятельность и инициативность, не ждать, что за вас решат проблемы, а предлагать решения; быстрая смекалка и «гибкость» в решении проблем; хорошая ориентация в функционале современного месседжинга.  Что предлагаем мы:  белая зарплата и годовые премии; гибкий график; участие в разработке open-source проектов компании и активная работа с сообществом; ДМС (после прохождения испытательного срока); возможность корпоративного обучения; техника Apple для работы; супер-адекватная и профессиональная команда; возможность оказывать влияние на продукт: обсуждать задачи не только с точки зрения методов реализации, но и с точки зрения рациональности и необходимости разрабатываемых фич, вносить свои идеи.  Несколько слов о себе всегда, как огромный плюс! :)";Flow. Участие в разработке open-source проектов компании и активная работа с сообществом. Возможность оказывать влияние на продукт: обсуждать задачи...;Технологии: JavaScript. React (обязательно). Будет плюсом: Самостоятельность и инициативность, не ждать, что за вас решат проблемы, а предлагать решения. ;;
294;294;Frontend разработчик;Москва;;;Сбербанк;2019-12-02;2;Нет опыта;Полная занятость;Полный день;"Ищем frontend разработчика в на проекты дивизиона &quot;Корпоративное взыскание&quot;: Требования  • Уверенное знание HTML5, CSS3, JavaScript • Знание React.js / Vue.js • Опыт работы с Git • Bootstrap • Опыт сборки фронтэнда с использованием Webpack • Опыт работы с CSS-препроцессорами • Знание шаблонизаторов slim/erb (как плюс) • Понимание принципов и умение пользоваться инструментами современной верстки • Понимание работы CRUD бэкенда • Умение работать по принципам Agile/Scrum (работа по спринтам, использование стандартных ритуалов: ежедневные стендапы, планирование, демо, ретро) • работа в крупнейшем банке России;• трудоустройство согласно ТК РФ;• регулярное корпоративное обучение;• ДМС, страхование от несчастных случаев и тяжелых заболеваний;• материальная помощь и социальная поддержка, корпоративная пенсионная программа;• льготные условия кредитования;• интересные и инновационные бизнес-задачи• яркая и насыщенная корпоративная жизнь• место работы м. Кутузовская ";Умение работать по принципам Agile/Scrum (работа по спринтам, использование стандартных ритуалов: ежедневные стендапы, планирование, демо, ретро).;Уверенное знание HTML5, CSS3, JavaScript. Знание React.js / Vue.js. Опыт работы с Git. Bootstrap. Опыт сборки фронтэнда с использованием...;;
570;570;Frontend разработчик;Москва;;;Logic Systems;2019-12-02;2;От 1 года до 3 лет;Полная занятость;Полный день;"Работа в стабильной компании, надежном и сертифицированном партнере мировых производителей оборудования и программного обеспечения. Более 15 лет мы успешно осуществляем проекты любого уровня сложности на рынке IT. На позицию Front-end разработчик требуется кандидат, обладающий значительным техническим багажом в области веб-технологий. Мы готовы предложить интересные проекты, профессиональную команду, конкурентоспособную заработную плату. Задачи:  — Разработка frontend на Vue+Vuex+Vue Router, поддержка существующих проектов. — Взаимодействие с командой бекэнда. — Вёрстка интерфейсов по макетам. — Участие в принятии технических решений.   Требования:  — Отличное знание Javascript/VueJS. — Опыт разработки веб-приложений на Vue+Vuex. — Опыт работы с REST-интерфейсами, понимание принципа работы микросервисной архитектуры. — Умение верстать аккуратно, адаптивно и кроссбраузерно на html5/css3 (в т.ч. IE11+). — Опыт работы с D3/GSAP/HighCharts будет плюсом.   Мы предлагаем:  Достойная и своевременная заработная плата (обсуждается с успешным кандидатом); Оформление по ТК РФ (отпуск, больничный). График работы: 5/2, 10:00-19:00. Реальная перспектива карьерного роста. Уютный офис рядом со ст.метро Войковская. ";Разработка frontend на Vue+Vuex+Vue Router, поддержка существующих проектов. — Взаимодействие с командой бекэнда. — Вёрстка интерфейсов по макетам. — Участие в принятии технических...;Отличное знание Javascript/VueJS. — Опыт разработки веб-приложений на Vue+Vuex. — Опыт работы с REST-интерфейсами, понимание принципа работы микросервисной архитектуры. — ;;"PHP;JSON API;jQuery;CSS3;Ajax;MySQL;Vue"
1107;1107;Frontend разработчик;Пермь;;;Xsolla Inc.;2019-11-26;8;От 1 года до 3 лет;Частичная занятость;Удаленная работа;Мы ищем Frontend разработчика, который будет заниматься поддержкой сайта developers.xsolla.com на удаленной основе. Если тебе интересны эти задачи и ты готовы уделять им несколько дней в месяц - нам стоит пообщаться. Тебе предстоит:   Дорабатывать текущие шаблоны страниц для сайта developers.xsolla.com и разрабатывать новые с использованием шаблонизатора Hugo (gohugo.io)   Выполнять кроссбраузерную и адаптивную верстку страниц   Наши ожидания:   Отличные знания:   HTML, SASS/SCSS   JavaScript     Знание инструментов автоматизации сборки (make, Gulp)   Опыт работы с Git   Высокая обучаемость   Ответственность   Соблюдение сроков   Полный восторг, если ты:   Знаешь генератор статических сайтов Hugo или можешь быстро его изучить   Имеешь опыт разработки на Go   Условия:   Долгосрочный проект   Занятость до 20 часов в месяц   Размер оплаты обсуждается индивидуально с кандидатом  ;Дорабатывать текущие шаблоны страниц для сайта developers.xsolla.com и разрабатывать новые с использованием шаблонизатора Hugo (gohugo.io). Выполнять кроссбраузерную и адаптивную верстку...;Отличные знания: HTML, SASS/SCSS. JavaScript. Знание инструментов автоматизации сборки (make, Gulp). Опыт работы с Git. Высокая обучаемость. Ответственность. ;;"Sass;JavaScript;Git;jQuery;HTML;CSS"
1305;1305;Frontend разработчик;Москва;;;Федеральное государственное бюджетное учреждение «Центр экспертизы и координации информатизации» (ФГБУ «ЦЭКИ»);2019-12-03;1;От 1 года до 3 лет;Полная занятость;Полный день;"Мы ищем middle-разработчика в нашу команду для работы над существующими проектами и разработки новых модулей и систем. Список задач очень разнообразный:  От работы над порталом с JQuery и (практически) статикой до SPA приложения с React и REST API. Дополнительно есть несколько модулей другой системы, написанные на Vue2  Команда:  Fullstack разработчики, системные аналитики, бизнес-аналитик, тестировщики; На backend&#39;e мы используем преимущество Ruby On Rails.  Основные задачи:  Участие в разработке новых и существующих проектов организации Адаптивная и кроссбраузерная верстка Оптимизация верстки и кода, рефакторинг  Требования:  Опыт работы по фронтенду от 1 года Уверенно знать один из современных fronted фреймворков: React и/или Vue2 JavaScript (ES5/ES6), CSS, JQuery, JSON, HTML, опыт работы с git и настройками webpack. Rest API  Мы - электронная экспертная IT-площадка Минкомсвязи России. Центр экспертизы и координации информатизации занимается проектированием, разработкой, администрированием и экспертизой государственных информационных систем. Системы, которые мы создаем, имеют федеральный масштаб и тысячи активных пользователей по всей стране. Они позволяют сделать работу государственных органов прозрачнее и надёжнее. Что мы можем предложить Вам:​​​​​​​  Весёлый молодой дружный коллектив; Быстроразвивающиеся IT-проекты федерального масштаба; Заработная плата оговаривается на собеседовании (зависит от квалификации и опыта работы) и индексируется каждый год; Офис в собственном здании в центре Москвы, м. Павелецкая радиальная (шаговая доступность); В ближайшее время будет доступен пакет ДМС для сотрудников; Бесплатная парковка на территории офиса; Кабинетная система размещения; ";От работы над порталом с JQuery и (практически) статикой до SPA приложения с React и REST API. Дополнительно есть несколько...;Опыт работы по фронтенду от 1 года. Уверенно знать один из современных fronted фреймворков: React и/или Vue2. ;;"jQuery;JavaScript;Git;Ruby On Rails;CSS"
1503;1503;Frontend разработчик;Москва;;;Сбербанк;2019-11-19;15;Нет опыта;Полная занятость;Полный день;"Наша дружная команда в поисках талантливого Frontend разработчика.Единая система зонтичного мониторинга:Разработка интерфейса для отображения отклонений в работе контакт-цента, включая работу операторов, автоматизированных голосовых и чат-обращений. Интерфейс призван помогать оперативному контролю быстро получать информацию об отклонениях в работе бизнес-сервисов для минимизации ущерба клиентам и компании.  Обязанности:- Участие в процессе анализа и постановке требований.- Разработка и поддержка SPA веб-приложений в команде разработки, работа с REST API.- Рефакторинг и поддержка существующих web-приложений.- Участие в тестировании, анализ рисков и причин возникновения ошибок- Соблюдение базовых требований к процессу разработки и качеству продукта- Code review Требования: -Высшее техническое образование (можно незаконченное)-Знание Javascript (ES2016), HTML/HTML5, CSS/CSS3, POSTCSS -Знание фреймворка Vue.js (VueRouter, Vuex, VueCLI,Vuetify)-Опыт работы с библиотекой Axios-Опыт работы с инструментами Babel, Figma/Scetch-Владение кроссбраузерной адаптивной версткой-Умение быстро разбираться в чужом коде-Наличие завершенных проектов-Опыт работы со сборщиками проектов (Webpack)-Опыт работы с системой управления версиями Git, понимание GitFlow-Умение работать в команде-Желателен опыт работы по Agile Что мы предлагаем/ Чем позиция может быть интересна кандидату:Интересные задачи, работа в команде профессионалов: необходимо разрабатывать интерфейс для работы ролевой модели, отрисовывать графики, piechart , графы, таблицы для оnline мониторинг отклонений бизнес метрик.Возможность по релокации;Возможность обучения и сертификации за счет компании;Бесплатный тренажерный зал на территории офис;Официальное оформление по ТК РФ;Рыночный фикс и годовая премия (обсуждается с успешным кандидатом);Социальный пакет + ДМС;Отсутствие строгого дресс-кода;Дисконт-программа от компаний партнеров;Офис в шаговой доступности м Кутузовская/Парк Победы.";Единая система зонтичного мониторинга: Разработка интерфейса для отображения отклонений в работе контакт-цента, включая работу операторов, автоматизированных голосовых и чат...;Высшее техническое образование (можно незаконченное). -Знание Javascript (ES2016), HTML/HTML5, CSS/CSS3, POSTCSS. -Знание фреймворка Vue.js (VueRouter...;;
