;Unnamed: 0;name;area;min_salary;max_salary;employer;created_at;days_passed;experience;employment;schedule;description;responsibility;requirement;conditions;key_skills
389;389;Java-разработчик;Курган;;120000.0;ХОСТ, Группа компаний;2019-11-10;24;От 1 года до 3 лет;Полная занятость;Полный день;"Приглашаем в нашу Команду Java-разработчика для работы на масштабными проектами. Мы - компания с доброй репутацией надежного партнера в бизнесе и хорошего работодателя на рынке труда. Входим в ТОП-100 крупнейших IT-компаний России. Нашими клиентами являются более 2 тысяч государственных и коммерческих организаций по всей стране. Офисы компании представлены в 6 городах РФ: Екатеринбург, Санкт-Петербург, Тюмень, Пермь, Курган и Новый Уренгой. Одним из ключевых направлений бизнеса является разработка информационно-аналитических систем для автоматизации процессов в области здравоохранения. Продукты:  интеграционная шина система сбора отчетности региональная информационно-аналитическая система автоматизация административных регламентов  Задачи:  разработка веб-сервисов; разработка микросервисов; разработка веб-приложений.  Требования к технологическому стеку:  языки программирования: Java 8 EE, SQL, XML; базы данных: Oracle, MS SQL, PostgreSQL; библиотека – Hibernate; фреймворки – Spring, Maven, ZK; контейнер для запуска веб-приложений – Apache Tomcat; система контроля версий - Git.  Мы предлагаем:  возможность удаленной работы; полноценную проектную команду: менеджер проектов, аналитик, разработчик, тестировщик, технический писатель; внутреннее и внешнее обучение; заботу компании о своих сотрудниках (ДМС, софинансирование спорта и изучения иностранных языков, дополнительно 7 дней социального отпуска); уровень заработной платы обсуждается индивидуально и зависит от уровня компетенций; каждый год мы ездим на сплав, отмечаем Новый год, играем в интеллектуальные игры, ходим в походы. За 2018 год покорили Конжак, Юрму и Зюраткуль. ";Продукты: Интеграционная шина. Система сбора отчетности. Региональная информационно-аналитическая система. Автоматизация административных регламентов. Задачи: Разработка веб-сервисов. Разработка микросервисов. ;Языки программирования: Java 8 EE, SQL, XML. Базы данных: Oracle, MS SQL, PostgreSQL. Библиотека – Hibernate.;;
884;884;Java-разработчик;Москва;100000.0;200000.0;РАБЛЗ;2019-12-03;1;От 1 года до 3 лет;Полная занятость;Полный день;Мы, компания Rubbles (SBDA Group за рубежом), ищем на полную занятость Java разработчика уровня junior и выше в наш московский офис. Кто мы и чем мы занимаемся Наша компания разрабатывает аналитические решения для различных индустрий: системы предсказания спроса на товары для оффлайн-ритейлов, поисковые системы по товарам для онлайн-ритейлеров, системы предсказания поломок оборудования для промышленности, рекомендательные системы в банках с возможностью формирования персонализированных предложений и советов. Мы активно развиваемся как в России (среди клиентов Сбербанк, Пятёрочка, KFC, Перекрёсток, Альфа Банк и др.), так и за рубежом. У нас молодой, дружный и опытный коллектив, многие сотрудники - выпускники МГУ, МФТИ или ШАД Яндекса (однако это не является ограничением для кандидатов). Требования · Опыт коммерческой разработки на Java от 1 года · Опыт работы со Spring стеком (Spring Boot, Spring Data, Spring MVC) · Уверенное знание Java Core · Умение работать с любой SQL базой данных · Знание алгоритмов и структур данных и умение их применять · Умение понятно и аргументированно доносить свои идеи до других Будет плюсом · Опыт работы с NoSQL СУБД (MongoDB или другие) · Опыт использования систем распределенной обработки и хранения данных (Hadoop, Spark и т.п.) · Опыт разработки многопоточных и распределенных приложений · Опыт работы с Docker · Опыт работы с Kubernetes · Понимание принципов работы HTTP, REST, сетевого взаимодействия и т.п. · Опыт работы с инструментами CI/CD (Jenkins, Ansible) Обязанности · Проектирование и написание понятного, эффективного и масштабируемого кода · Работа с существующим кодом · Участие как в разработке ключевых продуктов, так и в проектах с заказчиками · Устранение критических ошибок в существующих работающих системах С нас · Участие в быстром росте компании, работающей на перспективном финансовом рынке · Поддержка кандидата в профессиональном и карьерном росте · Совместная работа с опытными разработчиками, аналитиками данных, менеджерами, продуктологами · Интересные задачи по анализу реальных данных больших объёмов из разных индустрий · Гибкий график работы · Оформление полностью белое по ТК РФ · Заработная плата полностью белая, в вилке 100.000 – 200.000 рублей gross, сильно зависит от уровня кандидата и определяется после собеседования · Уютный офис в центре Москвы (2 минуты от м. Сухаревская) с кикером, пинг-понгом и разными вкусностями.;Проектирование и написание понятного, эффективного и масштабируемого кода. Работа с существующим кодом. Участие как в разработке ключевых продуктов, так и...;Опыт коммерческой разработки на Java от 1 года. Опыт работы со Spring стеком (Spring Boot, Spring Data, Spring MVC). ;;"Java;Spring Framework;SQL"
135;135;Java-разработчик;Санкт-Петербург;;;СИГМА;2019-11-05;29;От 1 года до 3 лет;Полная занятость;Полный день;Обязанности:  Разработка новой функциональности в продуктах Разработка модульных тестов Анализ и исправление дефектов Контроль качества разрабатываемых технических решений Оценка трудозатрат по запросам на изменение  Требования:  Опыт работы разработчиком в IT сфере от 1 года Знание архитектурных принципов разработки программных продуктов Знание Java SE/EE,JSP Понимание принципов и шаблонов ООП, основных алгоритмов и структур данных Понимание принципов REST Опыт работы с системами контроля версий (Git)  Будет являться преимуществом:  Spring framework(MVC, Core) Знание PL/SQL Знание front end технологий (HTML, JS, ExtJS, etc.) Опыт работы c ORM (MyBatis, Hibernate, Spring Data)  Условия:  Оформление в соответствии с ТК РФ Конкурентная заработная плата (обсуждается индивидуально с успешным кандидатом) ДМС после испытательного срока Доступ к корпоративной электронной библиотеке ;Разработка новой функциональности в продуктах. Разработка модульных тестов. Анализ и исправление дефектов. Контроль качества разрабатываемых технических решений. Оценка трудозатрат по...;Опыт работы разработчиком в IT сфере от 1 года. Знание архитектурных принципов разработки программных продуктов. Знание Java SE/EE,JSP. ;;
177;177;Java-разработчик;Москва;;;Ростелеком;2019-11-11;23;От 1 года до 3 лет;Полная занятость;Полный день;"Обязанности:  Разработка на Java серверных приложений в высоконагруженных проектах видеонаблюдения (решения CCTV), представляющих собой систему записи, хранения и вещания контента, предназначенную для управления видео- и аудио в IP-сетях, а также его функциональных модулей.  Требования:  Хорошее знание Java SE 8, Java EE 5,6; Знание и опыт работы с РСУБД (MySQL); Знание и опыт работы с Spring, JPA/Hibernate, Web-Services; Опыт работы с Git; Знание принципов проектирования; Понимание принципов разработки многопоточных приложений; Желание и умение изучать новые технологии; Умение работать с чужим кодом; Технический английский язык; Желание и умение работать в команде; Опыт работы с Unix/Linux; Понимание основ MVC, MVVM; Опыт работы с Groovy/Scala; Опыт разработки приложений для крупных/средних заказчиков.  Условия:  Работа в крупных высоконагруженных проектах (HighLoad); Компенсация (фикс) обсуждается по результатам собеседования в зависимости от проф.опыта; Гибкость рабочего времени (по приходу на работу до 11.00).; Оформление в соответствии с ТК РФ (оплата отпусков и больничных); Соцпакет (ДМС после исп.срока, оплата моб.телефона); Завтраки, своя кухня (кофе, чай, молоко, фрукты, булочки по утрам); В офисе массажные кресла, Play Station, настольный теннис, настольный хоккей; Офис м. Кожуховская (7 мин пешком от метро). ";Разработка на Java серверных приложений в высоконагруженных проектах видеонаблюдения (решения CCTV), представляющих собой систему записи, хранения и вещания контента, предназначенную...;Хорошее знание Java SE 8, Java EE 5,6. Знание и опыт работы с РСУБД (MySQL). Знание и опыт работы...;;"Hibernate ORM;Java;Git;MySQL;Spring Framework"
470;470;Java-разработчик;Москва;;;ОТР;2019-11-20;14;Нет опыта;Полная занятость;Полный день;"Для реализации крупного проекта для Федерального Казначейства Российской Федерации, ищем талантливых java-разработчиков. У нас большая ИТ команда, крутейших специалистов, есть возможности для обучения и реализации. Требования:  знание Java; практический опыт использования Java, Hibernate и Spring Framework; Maven3; XML; понимание основных принципов работы реляционных СУБД.  Желательный опыт:  Oracle/ Postgre; WebLogic/Jetty, JUnit, ZKoss.  Условия:  Официальное трудоустройство по ТК РФ, выплаты 2 раза в месяц. Конкурентная заработная плата. Мы предоставляем технику для работы. Сильная команда специалистов: Вы сможете учиться у коллег. Удобный график работы: мы за комфорт и удобство каждого сотрудника. Вы можете построить график сами, но договариваетесь с руководителем, чтобы процесс не страдал.(работа по московскому часовому поясу) Мы за то, чтобы наши сотрудники реализовали свои свои амбиции: мы помогаем с обучением, прислушиваемся к вашим пожеланиям, по возможности оплачиваем учебу и курсы. У нас нет формальностей и бюрократии. Гибкий соцпакет. Возможность работать удаленно. ";;Знание Java. Практический опыт использования Java, Hibernate и Spring Framework. Maven3. XML. Понимание основных принципов работы реляционных СУБД. ;;"JUnit;Spring Framework;Hibernate ORM;Java;JDBC"
526;526;Java-разработчик;Москва;;;Лига Цифровой Экономики;2019-12-03;1;От 1 года до 3 лет;Полная занятость;Полный день;Требования :  Обязательно:  Опыт работы разработчиком на Java от 1 года Опыт разработки на Java8 Опыт работы со Spring, SpringBoot Опыт работы с СУБД Oracle, Postgres, MySql Навыки работы с ORM (Hibernate или другие)  Желательно:  Опыт работы с Kotlin Опыт работы с Docker Навыки работы с Apache POI Опыт работы на проекте с микросервисной архитектурой  Обязанности :   Разработка нового функционала Доработка существующего функционала Решение дефектов  Условия:   полный пакет гарантий ТК РФ.   дополнительный пакет уже персонально от нашей компании: ДМС со стоматологией, оплата 50% стоимости фитнеса, оплачиваемая мобильная связь и много других приятных составляющих.   возможность расти и развиваться в команде профессионалов.   возможность обучаться у коллег-экспертов и получать новые знания за пределами организации.  ;Разработка нового функционала. Доработка существующего функционала. Решение дефектов.;Опыт работы разработчиком на Java от 1 года. Опыт разработки на Java8. Опыт работы со Spring, SpringBoot. ;;"Java;Spring Framework;PostgreSQL;Apache Tomcat;Java EE"
677;677;Java-разработчик;Москва;;;КРЕДИТ ЕВРОПА БАНК;2019-12-02;2;От 1 года до 3 лет;Полная занятость;Полный день;  В связи с большим количеством амбициозных задач по автоматизации необходим разработчик в нашу команду ИТ-профессионалов   Что предстоит делать:  Разрабатывать новый функционал системы АБС (автоматизированная банковская система, собственная разработка) Поддерживать и оптимизировать текущий функционал АБС Участвовать в аналитической проработке задач и их внедрении    Мы ищем кандидата :  С высшим техническим/ математическим образованием  Обязательно:  Уверенное владение Core Java Понимание принципов ООП Знание SQL, UML Опыт командной разработки с использованием системы контроля версий, управления требованиями и конфигурациями Умение разбираться в чужом коде    Приветствуется:  Опыт работы в банковской сфере Понимание паттернов проектирования Spring, Spring MVC, JMS React Native Mongo DB    Что предлагаем:  Возможность работы в международной команде программистов. Гибкая методология разработки (Agile software development). Интересные задачи, участие в развитии инновационных продуктов и технологий. Обучение и наставничество График 5/2, 9.00-18.00 Территориально м. ул. Академика Янгеля (шаговая доступность) Конкурентная заработная плата, обсуждается индивидуально Свободный офисный стиль в одежде Тимбилдинги, корпоративные мероприятия Оформление в соответствие с ТК РФ, соц. пакет, медицинская страховка Расширенный соц. пакет для кандидатов с ограниченными возможностями   ;Разрабатывать новый функционал системы АБС (автоматизированная банковская система, собственная разработка). Поддерживать и оптимизировать текущий функционал АБС. Участвовать в аналитической проработке...;С высшим техническим/ математическим образованием. Уверенное владение Core Java. Понимание принципов ООП. Знание SQL, UML. Опыт командной разработки с использованием...;;
691;691;Java-разработчик;Москва;;;ТЕХНОСЕРВ;2019-11-28;6;От 1 года до 3 лет;Полная занятость;Полный день;"Компания «Техносерв» – крупнейший российский системный интегратор, работающий в России, странах СНГ и Европе, основан в 1992 году. Мы входим в пятерку крупнейших российских ИТ-компаний. Обязанности:   Разработка ПО;   Подготовка документации;   Рефакторинг ПО.   Требования:    Опыт работы от 3-х лет Уверенное знание Java (core, collections, io, generics) Уверенное знание Spring Framework (Core, AOP, MVC) Понимание ООП, знание базовых шаблонов проектирования  Желательно:  Java concurrency, Java security Опыт работы c Spring Cloud Опыт работы с Apache Kafka Опыт работы с Netflix OSS стеком Понимание принципов SOLID Знание Фреймворков тестирования: Junit, TestNG, Mockito Опыт работы с Docker, Ansible, Kuberneties  Опыт работы с Jira/TFS, Confluence, Jenkins, Nexus  Умение разбираться в чужом коде Уверенное владение Hibernate Опыт работы с Maven / Git Опыт работы в одной из СУБД: PostgreSQL / Oracle / MS SQL Server Наличие интереса к профессиональному развитию. Инициативность и умение нести личную ответственность за поставленную задачу.  Работа в нашей Компании:   Возможность участвовать в масштабных и разнообразных проектах;   Удобный офис недалеко от м. Бауманская; Новая Басманная 37А   Обучение: мы ездим на профильные конференции, учимся на курсах и тренингах, получаем сертификаты;   Даем все, что нужно для успешной работы: дополнительные мониторы, мощное железо, компенсируем расходы на мобильную связь;   Полностью официальная заработная плата;   Пакет льгот для сотрудников от наших партнеров: ДМС, скидки на фитнес, льготное кредитование и страхование.  ";Разработка ПО. Подготовка документации. Рефакторинг ПО.;Опыт работы от 3-х лет. Уверенное знание Java (core, collections, io, generics). Уверенное знание Spring Framework (Core, AOP, MVC). ;;"Hibernate ORM;Spring Framework;JUnit;Java"
739;739;Java-разработчик;Москва;;;Авангард, АКБ;2019-11-11;23;От 3 до 6 лет;Полная занятость;Полный день;"Обязанности:  Разработка серверной части проекта (Backend: Java/JEE, JAX-RS, JPA, JDBC); Уточнение и согласование требований с разработчиками клиентской части (Android-клиент); Написание запросов и процедур для работы с данными (Oracle, PL/SQL).    Требования:  Хорошее владение ООП; Уверенные знания Java Core; Уверенные знания серверной части Java: JEE, JAX-RS, JPA, JDBC, транзакции и т.п.; Знание принципов HTTP; Опыт работы с системами контроля версий (git и/или Subversion); Опыт разработки на Java от 3 лет; Опыт работы в команде.    Дополнительными плюсами будет:  Опыт работы с HTML, JavaScript; Опыт написания сложных SQL запросов, PL/SQL процедур, оптимизации SQL запросов.  Условия:  Интересные проекты (сельское хозяйство, система быстрых платежей); Высокая заработная плата (по результатам собеседования); Компенсация расходов на питание; Офис в центре Москвы (м. Новокузнецкая/Третьяковская); График 5/2, гибкое начало рабочего дня; Оформление по ТК РФ.     ";Разработка серверной части проекта (Backend: Java/JEE, JAX-RS, JPA, JDBC). Уточнение и согласование требований с разработчиками клиентской части (Android...;Хорошее владение ООП. Уверенные знания Java Core. Уверенные знания серверной части Java: JEE, JAX-RS, JPA, JDBC, транзакции и т...;;
762;762;Java-разработчик;Москва;;;Брокеркредитсервис;2019-11-18;16;От 1 года до 3 лет;Полная занятость;Полный день;"«БКС Брокер» – брокер №1 в рейтинге Московской Биржи. Компания с максимальным рейтингом надёжности – ААА. В 1995 году мы были одними из первых, кто начал оказывать брокерские услуги в России. Уже больше 20 лет мы каждый день работаем над тем, чтобы нашим клиентам было проще и удобнее управлять своими финансами.   Мы запускаем новый проект в сфере финтех, в связи с этим расширяем штат. Проект связан с корпоративными действиями, которые происходят на рынке ценных бумаг: сервисы сопровождения и участия клиентов в корпоративных действиях (голосования, выкупы и др.)Для разработки мы будем использовать Java 11, Spring Boot 2, Spring Cloud, Kubernetes, у нас есть CI/CD в гитлабе, мы проводим код-ревью и обсуждаем архитектурные решения, которые еще не приняты, потому что разработка ведется с нуля Задачи:  Программирование логики автоматических уведомлений; Программирование логики обработки и хранения сообщений; Участие в обсуждении задач, ревью кода и продумывание архитектуры; Разработка и тестирование нового функционала.  Ждем от кандидатов:  Опыт коммерческой разработки от 2 лет; Знание Java (8+), Spring Boot, Rest, Hibernate, опыт проектирования БД, опыт написания Unit-тестов.  Будет плюсом:  Знание Doker, Helm, Message bus (RabbitMQ, Kafka etc), Testcontainers, Websockets.  Мы предоставляем:  Оформление в соответствии с ТК РФ, все по правилам порядочных работодателей; Комфортный офис в центре города (7 мин. от м. Проспект Мира); Собственные интересные и инновационные продукты, которые разрабатываются внутренними командами; Мощное железо (макбуки и стационарные компьютеры с линуксом, 4к мониторы), а так же любое необходимое ПО; Минимум бюрократии (особенно по меркам банковского сектора) и отсутствие дресс-кода; Более чем конкурентную заработную плату; ДМС (по льготным условиям); Уютную недорогую столовую на территории Компании (завтраки, обеды); Льготное приобретение фитнеса в компании World Class; Вечерние занятия в танцевальной студии. ";Программирование логики автоматических уведомлений. Программирование логики обработки и хранения сообщений. Участие в обсуждении задач, ревью кода и продумывание архитектуры. ;Опыт коммерческой разработки от 2 лет. Знание Java (8+), Spring Boot, Rest, Hibernate, опыт проектирования БД, опыт написания Unit...;;
