;Unnamed: 0;name;area;min_salary;max_salary;employer;created_at;days_passed;experience;employment;schedule;description;responsibility;requirement;conditions;key_skills
1785;1785;Frontend-разработчик;Набережные Челны;30000.0;50000.0;Справмедика;2019-11-21;13;От 1 года до 3 лет;Полная занятость;Полный день;Обязанности:  разработка шаблонов и сайтов на PHP верстка HTML, CSS, SASS написание кода на javascript, JQuery поддержка существующего кода  Требования:  знание PHP, MVC, HTML, CSS, SASS, javascript, JQuery, Git умение создавать собственные решения, а также находить и эффективно использовать готовые реализации умение работать в команде знание bootstrap/foundation/etc  Условия:  работа в офисе/удаленно ;Разработка шаблонов и сайтов на PHP. Верстка HTML, CSS, SASS. Написание кода на javascript, JQuery. Поддержка существующего кода.;Знание PHP, MVC, HTML, CSS, SASS, javascript, JQuery, Git. Умение создавать собственные решения, а также находить и эффективно использовать готовые...;;"JavaScript;jQuery;HTML;PHP;MVC;Bootstrap;Sass;CSS;Git"
604;604;Frontend-разработчик;Москва;30000.0;80000.0;ИДАГРУПП;2019-12-01;3;От 1 года до 3 лет;Полная занятость;Полный день;Мы — digital-продакшн номер один в сфере недвижимости, создаем сложные и инновационные продукты. ______________________________________________________________ Что мы готовы предложить:  Пиво по пятницам (кофе, печеньки... ну это же так скучно) Ежедневные интересные лекции Кальян и летняя веранда (на крыше) PS4 Современная яблочная техника Интересные задачи Крутой коллектив и начальство Стабильную рыночную зарплату и её рост 5 минут (реально 5) от метро  ______________________________________________________________ Что хотим мы от вас  JS, VUE, NUXT, CSS, WEBPACK Быть адекватным и классным членом команды Если умеешь в Canvas и анимации будет круто, но не обязательно.  ______________________________________________________________ Если ты джун - отзывайся, мы не против и готовы тебя научить, если знаешь теорию, но мало практики мы возьмёмся. Собеседование будет особо притязательным, так что лучше подготовиться. Но в целом на позицию ищем миддла или выше. Если у вас есть вопросы пишите нам на Facebook и мы с радостью пообщаемся  ;;Что хотим мы от вас. JS, VUE, NUXT, CSS, WEBPACK.;;"JavaScript;HTML5;jQuery;CSS3;Git"
578;578;Frontend-разработчик;Санкт-Петербург;50000.0;80000.0;Манзони;2019-11-29;5;От 1 года до 3 лет;Полная занятость;Полный день;"Мы расширяем департамент блокчейн разработки и ищем талантливого Frontend разработчика. Наша команда успешно реализовала ряд проектов для блокчейнов Ethereum, NEO, EOS, TRON и WAVES. Компания является победителем акселератора TRON, обладателем гранта от WAVES, официальным партнером NEO и Binance, лауреатом премии Деловой Петербург среди всех блокчейн компаний. Среди собственных проектов - mywish.io &amp; swaps.network. Итак, Вам предстоит:  Разработка front-end компонентов и верстка; Интеграция с существующими компонентами проектов, анализ кода; Участие в оценке требований и планировании работ  Требования:   Знание JS (es5, es6+, TS)   Знания HTML, CSS (SASS/LESS/PostCSS)   Кроссбраузерная адаптивная/responsive верстка   Знание принципов REST   Опыт работы хотя бы с одним из популярных фреймворков (Angular, AngularJS, React, Vuejs)   Умение разбираться в чужом коде;   Опыт работы с git, git-flow   Условия:  Работа в динамичной области и быстро развивающейся компании; Самые современные технологии и отсутствие старого кода; Амбициозные проекты и возможность профессионального роста в сильной команде разработчиков; ДМС после испытательного срока; Лёгкость в принятии решений, мы против бюрократии; Гибкое начало рабочего дня; Видовой офис в 3-х минутах от метро Петроградская; Социальные программы после окончания испытательного срока; Официальное оформление, полное соблюдение ТК РФ; Хороший кофе, чтобы проснуться. ";Разработка front-end компонентов и верстка. Интеграция с существующими компонентами проектов, анализ кода. Участие в оценке требований и планировании работ.;Знание JS (es5, es6+, TS). Знания HTML, CSS (SASS/LESS/PostCSS). Кроссбраузерная адаптивная/responsive верстка. ;;"AngularJS;Less;Sass;Git;JavaScript"
422;422;Frontend-разработчик;Москва;60000.0;90000.0;Агентство Социальные Сети;2019-11-13;21;От 1 года до 3 лет;Полная занятость;Полный день;Приглашаем к сотрудничеству талантливых веб-разработчиков в динамично развивающуюся компанию, одного из лидеров в области Digital. У нас интересные и разнообразные задачи, применение передовых технологий. Условия: В нашей компании:  дополнительное медицинское страхование развитие профессиональных навыков хорошие перспективы роста зарплаты по результатам работы молодой дружный коллектив, активная корпоративная жизнь чай / кофе / сахар без ограничений :-)    Требования:  знание и опыт работы c HTML5 и CSS3 опыт адаптивной вертски знание и опыт Javascript / DOM / AJAX знание React / Angular опыт работы с jQuery наличие в резюме ссылок на выполненные работы коммуникабельность, желание работать в команде    Желательно:  базовые знания PHP опыт использования JS плагинов (moment.js, mansonry, highcharts) опыт работы с шаблонизаторами Twig опыт работы с SASS опыт работы c контролем версий git или subversion опыт работы с JSON API  Обязанности:  верстка Twig-шаблонов под Symfony-проект верстка UI (HTML + CSS + JS) поддержка темы оформления под Vaadin-проект  График работы:  полный день полная занятость ;Верстка Twig-шаблонов под Symfony-проект. Верстка UI (HTML + CSS + JS). Поддержка темы оформления под Vaadin-проект.;Знание и опыт работы c HTML5 и CSS3. Опыт адаптивной вертски. Знание и опыт Javascript / DOM / AJAX. ;;"HTML5;CSS3;jQuery;Ajax;JavaScript;JSON API"
1535;1535;Frontend-разработчик;Москва;;160000.0;Центр онлайн-обучения „Нетология-групп“;2019-12-02;2;От 3 до 6 лет;Полная занятость;Удаленная работа;Мы ищем уверенного в себе фронтенд разработчика middle / senior уровня, готового присоединиться к команде разработки одного из наших проектов.   Вы «наш человек», если вы:  Считаете свою работу своим главным местом самореализации, успех команды и компании считаете своим успехом, а провалы — своими провалами. Понимаете пользовательский взгляд на продукт, стараетесь вникнуть в пользу тех или иных фич для пользователя. Всегда в курсе новинок в своей профессиональной отрасли и готовы рассказывать о них своим коллегам. Разумно подходите к развитию кодовой базы проекта. Не любите писать сложный код, а любите упрощать. Стремитесь к порядку и улучшению. Понимаете, когда привнесение новой библиотеки или нового подхода принесёт пользу, а когда потребует только лишних усилий.    Над чем придётся работать: Фоксфорд — это онлайн-школа. У нас 2,5 миллиона пользователей — школьники, родители и даже учителя. Школьникам мы помогаем подтянуть знания, подготовиться к экзаменам и олимпиадам, ну и просто узнать что-то новое. Для родителей у нас есть отчёты об успеваемости детей и курсы о том, как быть классными родителями. А учителя у нас учатся лучше преподавать, развивать своих учеников и работать в своё удовольствие.   Что есть в наших проектах?  Все новые страницы разрабатываются на React и Redux. На бэкенде порталов у нас Ruby on Rails. Мы используем Flexbox, CSS Modules, ES2015, Webpack. Дизайн-макеты разрабатываются и передаются разработчикам в Figma. У нас есть UI-kit компонентов, которые мы прорабатываем вместе с дизайнерами. SCRUM с недельными спринтами и ежедневными 10-минутными обсуждениями текущих и будущих задач.    Что предстоит делать?  Верстать и программировать интерфейсы приложения. Проводить рефакторинг и ревью кода. Делиться своей экспертизой с командой, обсуждать технические решения и приходить к общему мнению. Взаимодействовать со всей продуктовой командой – разработчиками, дизайнерами и менеджерами продукта.    Что мы предлагаем?  Кристально чистую, белую зарплату. ДМС. MacBook Pro / iMac или мощный Linux компьютер на выбор. Если есть желание — можно часть времени поработать из дома. Или формат полностью удаленной работы. Бесплатное обучение на любых курсах Нетологии и Фоксфорда. Корпоративные курсы английского языка. Возможность полностью изменить то, как выглядит образование в России и русскоязычных странах.    Коротко о нас С 2009 года работаем в онлайн-образовании. У нас сотни тысяч зарегистрированных пользователей, две Премии Рунета, Премия Золотой сайт. Мы — крупнейшая в Европе компания в сфере онлайн-образования. Стремимся покрывать все ниши и возраста, предлагая клиенту образование длиною в жизнь. Работаем под брендами «Фоксфорд» и «Нетология». Будем рады рассказать подробней о команде, технологиях, продукте и стратегии. Откликайтесь.;Над чем придётся работать: Все новые страницы разрабатываются на React и Redux. На бэкенде порталов у нас Ruby on Rails. ;Понимаете пользовательский взгляд на продукт, стараетесь вникнуть в пользу тех или иных фич для пользователя. Понимаете, когда привнесение новой библиотеки...;;
1270;1270;Frontend-разработчик;Москва;120000.0;170000.0;Альтуэра Лабс;2019-12-02;2;Нет опыта;Полная занятость;Полный день;"Altuera - системный интегратор решений дистанционного обслуживания. Работает на IT-рынке РФ и СНГ с 2012 года. Altuera строит контактные центры нового поколения, внедряет и разрабатывает enterprise-решения для бизнеса. Команда Altuera - это сертифицированные эксперты и профессионалы, увлеченные современными технологиями и реализацией сложных масштабных проектов. Обязанности:  Разработка web интерфейса на различных проектах для бизнес пользователей (например конструктор ботов); Доработка существующих интерфейсов компании; Покрытие тестами; Написание начальной технической документации  Требования:  Уверенное знание JavaScript, CSS,HTML; Знание React/Redux или Vue.js, ES6, babel, npm; Технический английский язык; Высшее образование; Bootstrap версии 3 и выше, TypeScript желательно.  Условия:   Оформление согласно ТК РФ;   Достойный уровень заработной платы (обсуждается по результатам собеседования);   ДМС;   Гибкий график, возможность удаленной работы;   Профессиональное развитие и карьерный рост, гибкость в выборе технологий и выстраивании процессов;   Уютный офис, дружный коллектив,.  ";Разработка web интерфейса на различных проектах для бизнес пользователей (например конструктор ботов). Доработка существующих интерфейсов компании. Покрытие тестами. ;Уверенное знание JavaScript, CSS,HTML. Знание React/Redux или Vue.js, ES6, babel, npm. Технический английский язык. Высшее образование. ;;"JavaScript;Bootstrap;React;Redux;HTML;CSS"
643;643;Frontend-разработчик;Москва;100000.0;200000.0;Бизнес Успех;2019-12-04;0;От 1 года до 3 лет;Полная занятость;Полный день;"  Чем предстоит заниматься:  разработка проектов (frontend-части); доработка существующих проектов; разработка бизнес-логики и back-end системы для поддержки продукта; проектирование пользовательских интерфейсов; создание функциональных API (совместная работа c front-end разработчиками); кроссбраузерная и адаптивная верстка HTML5/CSS3.    Чего мы ждем от Вас: — понимание принципов и преимуществ функционального программирования— опыт проектирования frontend-части приложения  знание ActionScript 2\3 (желательно), HTML/CSS3, JavaScript наличие портфолио базовые знания по использованию Linux опыт разработки под KaiOS (желательно)  Условия:  Комфортабельный офис метро Добрынинская / Серпуховская (шаговая доступность) График работы 5/2 Уровень з/п 100-200 000 руб (определяется на собеседовании с Руководством) Возможен карьерный рост Оформление по ТК Дружный душевный коллектив ";Разработка проектов (frontend-части). Доработка существующих проектов. Разработка бизнес-логики и back-end системы для поддержки продукта. Проектирование пользовательских интерфейсов. ;Знание ActionScript 2\3 (желательно), HTML/CSS3, JavaScript. Наличие портфолио. Базовые знания по использованию Linux. Опыт разработки под KaiOS...;;
802;802;Frontend-разработчик;Москва;70000.0;300000.0;24Н Софт;2019-11-07;27;От 1 года до 3 лет;Полная занятость;Полный день;"Мы специализируемся на разработке программного обеспечения больших, высоко-нагруженных и производительных систем, созданием сервисов и клиентских приложений. Обязанности:Разработка и поддержка сайтов, веб-приложений.Требования:* опыт работы не менее 1 года;* любовь к решению сложных задач;* желание работать в коллективе единомышленников;* решение тестового задания (для junior и middle);* опыт коммерческой разработки;* прохождение личного собеседования; только граждане РФ.Используем в работе:* JavaScript;* TypeScript;* ReactJS;* AJAX;* HTML5;* CSS3;* SASS;* GIT;* WebStorm.Условия:* оформление по ТК;* комфортный офис;* персональный гибкий график;* бизнес-ланч в ресторане БЦ;* еженедельное посещение спортзала. Любые виды удалённой работы не рассматриваем.            ";Разработка и поддержка сайтов, веб-приложений. Используем в работе:;опыт работы не менее 1 года. * любовь к решению сложных задач. * желание работать в коллективе единомышленников. * решение тестового задания (для...;;
5;5;Frontend-разработчик;Москва;50000.0;;SystemGlobalServices;2019-11-13;21;Нет опыта;Полная занятость;Гибкий график;Мы – команда, которая создает и развивает Web и мобильные приложения. Нам нужны Frontend-разработчики для решения большого количества задач по созданию новых и поддержке существующих проектов. Текущий stack:  SPA приложения на React, VueJs, JsViews Пишем на TypeScript, JavaScript ES6 Modules, SASS, LESS Собираем WebPack Храним в Git  Требования:  Грамотная кроссбраузерная верстка Уверенные знания JavaScript Понимание REST, взаимодействие с backend (отправить Json, получить Json, отличать GET от POST) Опыт работы с системами контроля версий  Приветствуются:  Опыт работы с современными js фреймворками: Angular, React, Vue Работа с npm Знание препроцессоров SASS / LESS Опыт работы с js сборщиками WebPack, Gulp, Grunt  Условия:  оформление по ТК РФ оклад по результатам собеседования молодой развивающийся коллектив работа в офисе недалеко от м. Сокольники или м. Преображенская площадь оплачиваемый отпуск ;Текущий stack: SPA приложения на React, VueJs, JsViews. Собираем WebPack. Храним в Git. Работа с npm.;Грамотная кроссбраузерная верстка. Уверенные знания JavaScript. Понимание REST, взаимодействие с backend (отправить Json, получить Json, отличать GET от POST). ;;
1306;1306;Frontend-разработчик;Санкт-Петербург;50000.0;;Суши WOK;2019-12-03;1;От 1 года до 3 лет;Полная занятость;Полный день;"Обязанности:   Разработка новых проектов компании;   Разработка лендингов и продвинутых емейл-шаблонов;   Требования:   Продвинутое владение JavaScript, ES6, ES7;   Знание современного инструментария фронтенд-разработки: webpack, npm, babel;   Уверенная работа с Git.   Знание фреймворков Bootstrap, желательно - Foundation, Foundation for emails   Ответственность, умение планировать свое время, корректно оценивать необходимое на задачу время, соблюдать сроки.   Дополнительным плюсом будет:   Знание принципов построения React приложения   Опыт разработки бэкенд на node.js   Опыт работы над e-commerce проектами   Опыт работы с SVG-анимациями   Знание принципов функционального программирования     Условия:   Бесплатный спортзал.   Бесплатное 2-х разовое питание.   Комфортный офис в 7 минутах пешком от метро Ладожская.   Пятидневная неделя, полный рабочий день, с гибким началом (9:00-12:00).   Возможность карьерного и материального роста.  ";Разработка новых проектов компании. Разработка лендингов и продвинутых емейл-шаблонов.;Продвинутое владение JavaScript, ES6, ES7. Знание современного инструментария фронтенд-разработки: webpack, npm, babel. Уверенная работа с Git. ;;"Bootstrap;Пользователь ПК;Планирование карьеры"
569;569;Frontend-разработчик;Санкт-Петербург;80000.0;;Специальный Технологический Центр;2019-11-18;16;От 1 года до 3 лет;Полная занятость;Полный день;"Крупный холдинг, занимающий лидирующее место на отечественном рынке разработки и производства средств связи, телекоммуникаций и навигации, приглашает на работу: Frontend-разработчика.   Обязанности:- разработка Single Page Application на одном из современных фреймворков (ReactJS, AngularJS, Vue.js);- работа в команде с другими frontend-разработчиками;- написания быстрого, интерактивного, отзывчего ui. Требования:- опыт работы frontend-разработчиком;- опыт работы с REST API, websocket;- хорошие знания JS, CSS3, HTML5; Будет плюсом:- умение работать с git; Условия:- работа на территории работодателя;- график работы 5/2, гибкое начало дня с 10:00 до 19:00;- официальное оформление, оплачиваемый отпуск, больничный;- работа в команде высококвалифицированных специалистов;- свобода в выборе и создании инновационных технологий, внесение вклада и возможность влияния на конечный вид продукта. Адрес Санкт-Петербург, проспект Непокоренных, БЦ «Берег»";разработка Single Page Application на одном из современных фреймворков (ReactJS, AngularJS, Vue.js). - работа в команде с другими frontend-разработчиками. - ;опыт работы frontend-разработчиком. - опыт работы с REST API, websocket. - хорошие знания JS, CSS3, HTML5. Будет плюсом: - умение...;;"разработка SPA приложений;;AngularJS;CSS;HTML"
929;929;Frontend-разработчик;Москва;100000.0;;IConsult;2019-12-03;1;От 1 года до 3 лет;Полная занятость;Полный день;"Мы Среди наших разработок есть как веб-сервисы, так и менее тривиальные проекты(captive-портал, IoT камера). Ваши задачи:  Разработка проектов (front-end части) с нуля; доработка существующих проектов; разработка бизнес-логики и front-end системы для поддержки продукта; проектирование пользовательских интерфейсов; создание функциональных API (совместная работа c back-end разработчиками); кроссбраузерная и адаптивная верстка HTML5/CSS3.  Наши требования:  VUE.js, React, JS, Jquery, HTML5, CSS3 - обязательно; знание SASS, Webpack 4.0, WebRTC, OSM - Ваше конкурентное преимущество.  Наши условия:  зарплата обсуждается и зависит от Ваших возможностей; полная занятость (удаленную работу готовы рассматривать) ; заработная плата белая, оформление по ТК РФ. ";Разработка проектов (front-end части) с нуля. Доработка существующих проектов. Разработка бизнес-логики и front-end системы для поддержки продукта. ;VUE.js, React, JS, Jquery, HTML5, CSS3 - обязательно. Знание SASS, Webpack 4.0, WebRTC, OSM - Ваше конкурентное преимущество.;;
241;241;Frontend-разработчик;Москва;110000.0;;Ticketland.ru;2019-11-12;22;От 1 года до 3 лет;Полная занятость;Полный день;"Обязанности: · Программирование Web-интерфейсов с использованием указанных технологий, · Участие в обсуждении требований к разрабатываемым системам Требования: · Уровень Middle; · Отличные знания JS, HTML и CSS; · Знание jQuery, ES, sass или less; · Опыт использования систем сборки; · Опыт использования любой из системы контроля версий; · Инициативность, тяга к знаниям и ответственность; · Умения писать качественный поддерживаемый код; · Опыт работы в команде; Будет плюсом: · знание Angular и опыт работы с ним; · знание bootstrap; · Разработка с использованием CSS методологий БЭМ; · наличие технического В/О Условия: · Работа в SCRUM команде над интересными и сложными задачами; · Официальное оформление в полном соответствии с Трудовым Кодексом РФ; · Удобный офис с отличным видом на Шлюзовую набережную и в шаговой доступности от м. Павелецкая; · Гибкое начало и окончание рабочего дня; · Заработная плата обсуждается индивидуально на собеседовании; · Участие в конференциях и курсы повышения квалификации; · Возможность бесплатно посещать развлекательные мероприятия; ·Собеседование проводится очно в офисе в Москве.";Программирование Web-интерфейсов с использованием указанных технологий. Участие в обсуждении требований к разрабатываемым системам. Уровень Middle.;Отличные знания JS, HTML и CSS. Знание jQuery, ES, sass или less. Опыт использования систем сборки. Опыт использования любой из...;;
1;1;Frontend-разработчик;Москва;120000.0;;Кон Цертеза;2019-11-11;23;От 1 года до 3 лет;Полная занятость;Полный день;Обязанности:  Разработка корпоративных веб интерфейсов поверх веб-сервисов.  Требования:  Знание JavaScript ES6+, HTML, CSS3 Знание технологий AJAX, REST Опыт разработки single-page приложений Опыт адаптивной верстки Опыт работы с фреймворком Reactjs и Redux  Желательно:  Опыт написания unit тестов для JavaScript Опыт работы с unix системами Опыт работы с системами контроля версий (мы используем git)  Условия:  Работа в офисе Гибкий график Оформление по договору подряда, либо по трудовому договору ;Разработка корпоративных веб интерфейсов поверх веб-сервисов.;Знание JavaScript ES6+, HTML, CSS3. Знание технологий AJAX, REST. Опыт разработки single-page приложений. Опыт адаптивной верстки. ;"JavaScript;HTML;CSS;Ajax;REST";
