;Unnamed: 0;name;area;min_salary;max_salary;employer;created_at;days_passed;experience;employment;schedule;description;responsibility;requirement;conditions;key_skills
481;481;Senior frontend developer;Москва;;;Spice Agency;2019-11-29;5;Нет опыта;Полная занятость;Полный день;Наш клиент - инновационная компания - разработчик ищет в команду Ведущего Frontend разработчика в компании Дэшборд Системс. Проект: разработка новой версии инструмента, автоматизирующего работу руководителей компаний крупного и среднего бизнеса (легаси не будет). Стек проекта: React, Redux, JS, TypeScript, CI на базе Microsoft – TFS. Требования: - Уверенное владение JavaScript- Опыт разработки на React и TypeScript Условия:- Достойная зарплата по результатам интервью - Официальное оформление по ТК. белая зарплата - Гибкое начало рабочего дня - Комфортный офис компании в шаговой доступности от м. Коломенская - Есть парковка- Здоровая рабочая атмосфера с минимумом бюрократии и отсутствием дресс-кода- Отличные условия для самореализации и профессионального развития  ;;Уверенное владение JavaScript. - Опыт разработки на React и TypeScript.;;"JavaScript;React;TypeScript"
1856;1856;Senior frontend developer;Москва;;;Сбербанк;2019-11-21;13;От 1 года до 3 лет;Полная занятость;Полный день;"Наша команда занимается разработкой линейки мобильных приложений &#39;Сбербанк Бизнес Онлайн&#39;. У нас сотни тысяч активных пользователей, и их количество постоянно растет. У нас амбициозная цель - сделать самый большой и самый современный корпоративный банк! В рамках данного проекта мы запускаем новое направление: Сбер Бизнесс. Команда занимается интеграцией партнеров банка (как пример интеграционных продуктов: онлайн бухгалтерия, проверка контрагентов, гарантия сделки и многое другое) с нашей системой Сбербанк Бизнес Онлайн через API. Обязанности:  Создание новых и поддержка существующих сервисов Проектирование и разработка модулей системы Сопровождение текущего функционала Refactoring, code-review Участие в обсуждении и принятии архитектурных решений.  Требования:  Прекрасное знание JavaScript (es6/es7: классы, импорты декораторы, arrow-функции, генераторы, промисы) Экспертное знание HTML, HTML5, SASS/LESS/CSS Опыт работы с js-фреймоврками (например, Backbone, Angular, React, Reflux). Опыт работы с Webpack: уметь собрать проект с картинками и стилями, скриптами. Опыт работы с REST-сервисами Понятие о принципах разработки ПО, ООП, паттернах проектирования Умение работать с Git Будет плюсом Знание React Опыт работы с Bootstrap, Ionic, Foundation и т.д. Умение разрабатывать прототипы UI с помощью, например, Axure, Pixate, Invision, Proto.io и т.п.  Условия:  Отличный офис AgileHome рядом со станцией метро Кутузовская:  столовые и множество кафе; кухни с холодильниками, кофемашинами и пр.; бесплатный спортзал; бесплатная подземная парковка на 1000+ мест.   Полный рабочий день, но гибкий график работы (можно выбрать режим начала работы в промежутке 7:00 - 10:30). Достойная заработная плата (оклад + внушительные премии). Оформление по ТК РФ. Социальный пакет (ДМС). Возможность посещения конференций, обучения и сертификации за счет компании (в т.ч. английский язык). Программа льготного кредитования в Сбербанке. Дисконт-программы от множества компаний партнеров. Возможность принять участие в других крупных и уникальных проектах банка. ";Создание новых и поддержка существующих сервисов. Проектирование и разработка модулей системы. Сопровождение текущего функционала. Refactoring, code-review. Участие в обсуждении...;Прекрасное знание JavaScript (es6/es7: классы, импорты декораторы, arrow-функции, генераторы, промисы). Экспертное знание HTML, HTML5, SASS...;;
